price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,province,market_type,price_per_m2,property_age,room_density,luxury_score,accessibility_score,space_efficiency
850,1.0,3.0,15,84148195,90,87.0,Vitoria-Gasteiz,Álava,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,alava,rental,9.444444444444445,49.0,0.03333333333333333,1.0,1.0,0.9666666666666667
820,2.0,3.0,15,84635135,85,80.0,Vitoria-Gasteiz,Álava,1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,alava,rental,9.647058823529411,49.0,0.03529411764705882,0.0,1.0,0.9411764705882353
700,1.0,2.0,15,82371665,60,55.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,11.666666666666666,49.0,0.03333333333333333,0.0,1.0,0.9166666666666666
850,2.0,2.0,15,83109863,70,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bizkaia,rental,12.142857142857142,49.0,0.02857142857142857,1.0,0.0,1.0
900,2.0,4.0,16,83543803,122,85.0,Muskiz,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,7.377049180327869,49.0,0.03278688524590164,1.0,1.0,0.6967213114754098
850,2.0,4.0,15,83305207,95,85.0,Leioa,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,8.947368421052632,49.0,0.042105263157894736,0.0,0.0,0.8947368421052632
1000,1.0,3.0,15,83170677,76,74.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,bizkaia,rental,13.157894736842104,49.0,0.039473684210526314,0.0,2.0,0.9736842105263158
1000,1.0,1.0,17,40578293,50,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bizkaia,rental,20.0,49.0,0.02,1.0,0.0,1.0
700,1.0,2.0,15,372372,50,85.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,14.0,49.0,0.04,0.0,0.0,1.0
1000,2.0,3.0,15,29714470,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bizkaia,rental,10.0,49.0,0.03,1.0,2.0,0.85
900,2.0,4.0,15,83515653,120,110.0,Santurtzi,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,7.5,49.0,0.03333333333333333,1.0,1.0,0.9166666666666666
650,2.0,3.0,15,36146927,120,110.0,Mundaka,"Busturialdea, Vizcaya",1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bizkaia,rental,5.416666666666667,49.0,0.025,0.0,0.0,0.9166666666666666
950,2.0,3.0,15,82111792,90,85.0,Gernika-Lumo,"Busturialdea, Vizcaya",1976.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,10.555555555555555,49.0,0.03333333333333333,3.0,1.0,0.9444444444444444
750,2.0,2.0,15,82308631,65,63.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,bizkaia,rental,11.538461538461538,49.0,0.03076923076923077,1.0,1.0,0.9692307692307692
800,2.0,3.0,15,83400360,93,85.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,bizkaia,rental,8.602150537634408,49.0,0.03225806451612903,1.0,1.0,0.9139784946236559
700,1.0,3.0,15,27749398,100,95.0,Gorliz,"Uribe-Butroe, Vizcaya",1976.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,bizkaia,rental,7.0,49.0,0.03,2.0,0.0,0.95
850,1.0,4.0,15,83707873,86,80.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bizkaia,rental,9.883720930232558,49.0,0.046511627906976744,1.0,1.0,0.9302325581395349
