,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
count,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127,127,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,86,113,121,89,127,127
unique,,,,,,,,17,7,,,,,,,,,,,,,3,19,42,85,1,47
top,,,,,,,,Vitoria-Gasteiz,Álava,,,,,,,,,,,,,en trámite,planta 4ª exterior,Distrito Centro,Paseo de la musica,2019-03-29,Anuncio actualizado el 27 de marzo
freq,,,,,,,,100,101,,,,,,,,,,,,,47,17,17,2,127,15
mean,1015.2125984251968,2.1023622047244093,2.937007874015748,16.062992125984252,71843025.62204725,174.60629921259843,109.44094488188976,,,1992.3307086614172,0.031496062992125984,0.12598425196850394,0.4566929133858268,0.0,0.3543307086614173,0.2125984251968504,0.905511811023622,0.08661417322834646,0.4094488188976378,0.031496062992125984,0.3700787401574803,,,,,,
std,596.2998291038044,3.3353199929044464,3.059588185527078,2.1921506128597357,23330339.1111012,310.15480408932495,174.56820441521106,,,6.528393562714053,0.175345820396178,0.33314580401703725,0.500093729497496,0.0,0.48020430597618063,0.41076624604072476,0.29366514961344636,0.2823827765568184,0.4936795874432301,0.175345820396178,0.4847376905826657,,,,,,
min,350.0,1.0,0.0,15.0,1811730.0,35.0,39.0,,,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
25%,717.5,1.0,2.0,15.0,81764170.5,75.0,80.0,,,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
50%,850.0,2.0,3.0,15.0,84180864.0,90.0,87.0,,,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
75%,1100.0,2.0,3.0,16.0,84675660.5,120.0,90.0,,,1993.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,
max,5000.0,38.0,35.0,24.0,84861203.0,2000.0,2000.0,,,2015.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
