price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
750,1.0,3.0,15,84861203,95,90.0,Vitoria-Gasteiz,Álava,1965.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,planta 5ª exterior,Distrito Aranzabela - Aranbizkarra,extremadura,2019-03-29,Anuncio actualizado el 29 de marzo
750,1.0,3.0,15,83306410,89,80.0,Vitoria-Gasteiz,Álava,1993.0,0,1,0,0,0,0,1.0,0,0,0,0,,planta 1ª exterior,Distrito Adurtza,"Calle Heraclio Fournier, 33",2019-03-29,más de 2 meses sin actualizar
1000,2.0,4.0,15,83537586,120,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,1,no indicado,planta 1ª exterior,Distrito Lovaina - Aranzabal,"Avenida Gasteiz, 50",2019-03-29,más de 2 meses sin actualizar
1200,2.0,3.0,15,26011638,120,101.0,Labastida,"Laguardia-Rioja Alavesa, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,no indicado,planta 1ª exterior,"Calle Marrate, 2",,2019-03-29,más de 2 meses sin actualizar
700,1.0,2.0,15,83624854,52,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,bajo exterior,Distrito Armentia - Ciudad Jardín,"Calle Maite Zuñiga, 2",2019-03-29,Anuncio actualizado el 21 de marzo
550,1.0,3.0,15,84139748,80,87.0,Okondo,"Ayala, Álava",1993.0,0,0,0,0,0,0,0.0,0,0,0,0,no indicado,planta 1ª exterior,"Jandiola Entitatea, 16",,2019-03-29,Anuncio actualizado el 4 de febrero
1500,5.0,4.0,16,84100618,360,300.0,Villabuena de Álava,"Laguardia-Rioja Alavesa, Álava",1993.0,0,1,1,0,1,1,1.0,1,1,1,1,,4 plantas,"Calle Viura, 1",,2019-03-29,Anuncio actualizado el 31 de enero
650,1.0,1.0,15,84737072,42,41.0,Vitoria-Gasteiz,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,bajo exterior,Distrito Zabalgana - Ariznabarra,"Gaztelako Atea, 54",2019-03-29,Anuncio actualizado el 21 de marzo
800,2.0,2.0,15,84248636,80,87.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,0,0,1.0,0,1,0,1,en trámite,planta 6ª exterior,Distrito Lakua,Urb. Estacion,2019-03-29,Anuncio actualizado el 12 de febrero
650,2.0,3.0,15,84684858,90,87.0,Iruña de Oca,"Añana, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,planta 2ª,Plaza Rita Oraá,,2019-03-29,Anuncio actualizado el 15 de marzo
1150,2.0,3.0,15,84393334,100,94.0,Vitoria-Gasteiz,Álava,1993.0,0,0,1,0,1,0,1.0,0,1,0,1,en trámite,planta 8ª exterior,Distrito San Martín,"Avenida Gasteiz, Vitoria-Gasteiz",2019-03-29,Anuncio actualizado el 11 de marzo
