,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
count,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679,3679,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,3679.0,2379,3180,3370,2060,3679,3679
unique,,,,,,,,51,7,,,,,,,,,,,,,3,45,1103,1299,1,249
top,,,,,,,,Vitoria-Gasteiz,Álava,,,,,,,,,,,,,en trámite,planta 1ª exterior,Distrito Lakua,Olarizu Hiribidea,2019-03-29,Anuncio actualizado el 24 de marzo
freq,,,,,,,,2197,2374,,,,,,,,,,,,,1609,523,210,30,3679,211
mean,244807.6855123675,1.900516444686056,3.172601250339766,3.2063060614297365,60997534.39032346,456.45827670562653,108.0752921989671,,,1990.1016580592552,0.017939657515629245,0.1193259037782006,0.3128567545528676,0.021473226420222886,0.44686055993476487,0.25958140799130197,0.8426202772492525,0.08997010057080729,0.6501766784452296,0.04457733079641207,0.5354715955422669,,,,,,
std,163366.110291011,1.118774116791783,1.3723952743379295,2.009656791229747,26341716.9395111,3931.05927730588,80.77446656693999,,,20.27934322891254,0.13275020248540226,0.32421567560354153,0.4637195868440883,0.14497530786064333,0.49723576287217847,0.4384645447226904,0.3642079088990984,0.2861778161293292,0.4769788308723241,0.20640196726447146,0.498807974611562,,,,,,
min,9300.0,0.0,0.0,0.0,299398.0,2.0,30.0,,,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
25%,145000.0,1.0,2.0,3.0,36519689.5,80.0,80.0,,,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
50%,199000.0,2.0,3.0,3.0,81734822.0,100.0,87.0,,,1993.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,
75%,298000.0,2.0,4.0,3.0,84065157.5,175.0,94.0,,,1993.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,
max,1700000.0,34.0,30.0,14.0,84861368.0,200000.0,2000.0,,,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
