price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace,energetic_certif,floor,loc_district,loc_neigh,obtention_date,ad_last_update
310000,2.0,4.0,0,81717634,1000,172.0,Urcabustaiz,"Zuya, Álava",1993.0,0,0,0,0,1,1,1.0,0,0,0,1,,2 plantas,La iglesia,,2019-03-29,Anuncio actualizado el 27 de marzo
139000,2.0,3.0,1,29588074,86,87.0,Legutiano,"Zuya, Álava",2006.0,0,0,0,0,0,0,1.0,1,1,0,0,no indicado,planta 2ª exterior,"la Union Plazatxoa, 8",,2019-03-29,más de 5 meses sin actualizar
480000,3.0,4.0,2,37453116,3000,87.0,Aramaio,"Zuya, Álava",1993.0,0,0,0,0,1,1,1.0,0,1,0,1,no indicado,3 plantas,Calle Etxaguen s/n,,2019-03-29,más de 5 meses sin actualizar
150000,1.0,4.0,2,82568918,86,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0,1,1,1,0,1,1.0,0,1,0,1,en trámite,3 plantas,"CP 01449, 1449 CP",,2019-03-29,más de 5 meses sin actualizar
90000,1.0,2.0,3,29135242,76,74.0,Urcabustaiz,"Zuya, Álava",1993.0,0,0,0,0,1,1,1.0,0,1,1,1,no indicado,planta 1ª exterior,"Calle Nueva Plaza, 9",,2019-03-29,más de 5 meses sin actualizar
545000,2.0,4.0,0,36141335,1000,273.0,Zuya,Álava,1993.0,0,0,0,0,1,0,1.0,0,0,0,0,no indicado,3 plantas,"Carretera Guillerna, 11",,2019-03-29,más de 5 meses sin actualizar
195000,2.0,3.0,3,38440698,100,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0,0,0,0,1,1,1.0,1,1,0,1,no indicado,planta 1ª exterior,"Calle Ugarte, 8",,2019-03-29,más de 5 meses sin actualizar
350000,3.0,7.0,4,81178589,800,87.0,Legutiano,"Zuya, Álava",1993.0,0,0,0,1,1,0,1.0,0,0,0,0,no indicado,,Calle olaeta s/n,,2019-03-29,más de 5 meses sin actualizar
139000,2.0,3.0,1,366036,82,80.0,Legutiano,"Zuya, Álava",1993.0,0,0,0,0,0,0,1.0,0,1,0,0,no indicado,planta 2ª exterior,"Plaza Unión, 8",,2019-03-29,más de 5 meses sin actualizar
499000,3.0,4.0,0,40219389,240,210.0,Zigoitia,"Zuya, Álava",1993.0,0,1,1,0,1,1,1.0,0,0,0,1,,2 plantas,"Basalanda Kalea, Etxabarri Ibiña, 19",,2019-03-29,más de 5 meses sin actualizar
595000,2.0,3.0,0,37268556,4324,243.0,Aramaio,"Zuya, Álava",1993.0,0,0,0,0,0,1,1.0,0,1,0,1,en trámite,2 plantas,"Barajuen , 22 a",,2019-03-29,más de 5 meses sin actualizar
310000,4.0,4.0,5,40141261,600,200.0,Zuya,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,,"Calle Biguillano, 26",,2019-03-29,más de 5 meses sin actualizar
447500,7.0,7.0,0,40422720,1350,300.0,Zigoitia,"Zuya, Álava",1993.0,0,1,1,0,1,1,1.0,0,1,0,1,,2 plantas,"Calle Berrikano, 10",,2019-03-29,más de 5 meses sin actualizar
150000,2.0,2.0,3,83883705,70,87.0,Aramaio,"Zuya, Álava",1993.0,0,1,0,0,1,0,0.0,0,1,0,0,no indicado,planta 1ª exterior,"Calle Aita Gabirel Jauregi, 4",,2019-03-29,Anuncio actualizado el 17 de enero
330000,2.0,4.0,0,36828307,552,87.0,Zuya,Álava,1993.0,0,0,0,0,0,0,1.0,0,0,0,1,en trámite,,,,2019-03-29,Anuncio actualizado el 22 de febrero
70000,2.0,4.0,2,27472323,220,87.0,Legutiano,"Zuya, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,,"Calle Goikuri, 21",,2019-03-29,Anuncio actualizado el 26 de noviembre
350000,3.0,3.0,2,83828882,90,180.0,Legutiano,"Zuya, Álava",1993.0,0,0,1,0,0,1,1.0,0,0,0,0,no indicado,3 plantas,"Itesasi, 4",,2019-03-29,Anuncio actualizado el 24 de marzo
423000,3.0,3.0,6,34008052,219,193.0,Zuya,Álava,1993.0,0,0,0,0,0,1,1.0,0,1,0,1,inmueble exento,,,,2019-03-29,Anuncio actualizado el 26 de noviembre
320000,3.0,3.0,6,39610444,220,87.0,Zuya,Álava,1993.0,0,0,0,0,1,1,1.0,0,1,0,1,en trámite,,,,2019-03-29,Anuncio actualizado el 26 de noviembre
107000,1.0,2.0,1,30638685,55,87.0,Legutiano,"Zuya, Álava",1993.0,0,0,0,0,0,0,1.0,0,1,0,0,no indicado,planta 2ª exterior,"Calle comercio, 19",,2019-03-29,Anuncio actualizado el 26 de marzo
285000,2.0,3.0,0,38236785,1000,137.0,Zigoitia,"Zuya, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,,1 planta,Calle Hegoalde s/n,,2019-03-29,Anuncio actualizado el 8 de marzo
360000,3.0,4.0,0,81817109,700,215.0,Zuya,Álava,1998.0,0,1,1,0,1,1,1.0,0,1,0,0,no indicado,3 plantas,Larrabizcal s/n,,2019-03-29,Anuncio actualizado el 6 de enero
440000,4.0,5.0,0,317685,1250,87.0,Zuya,Álava,1993.0,0,0,1,0,1,0,1.0,0,1,0,1,no indicado,2 plantas,"Calle Mendibe, 8",,2019-03-29,Anuncio actualizado el 21 de enero
160000,2.0,3.0,3,2133216,108,97.0,Zuya,Álava,1993.0,0,0,1,0,1,1,0.0,0,1,0,0,no indicado,planta 1ª exterior,"Calle San Martin, 3",,2019-03-29,Anuncio actualizado el 24 de marzo
100000,1.0,1.0,4,31739173,30000,87.0,Urcabustaiz,"Zuya, Álava",1993.0,0,0,0,0,0,0,1.0,0,0,0,0,no indicado,3 plantas,Urb. amarrojin,"Carretera altube, 622",2019-03-29,Anuncio actualizado el 18 de marzo
