,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,4469,4469.0,4469.0,4469.0,4469,4469,2534,4469,4469,1083
unique,835,,,,4455,508,248,86,7,72
top,120000,,,,house_id,90,90,Albacete,"Centro, Albacete",2008
freq,115,,,,15,206,258,1375,1960,77
mean,,1.7744461848288207,3.4003132691877376,2.327142537480421,,,,,,
std,,0.797354869766887,1.4614441694093594,2.295616741598429,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,1.0,,,,,,
50%,,2.0,3.0,1.0,,,,,,
75%,,2.0,4.0,3.0,,,,,,
max,,15.0,35.0,17.0,,,,,,
