price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
398000,3.0,7.0,0,83122970,414,400,Hellín,"Campo de Hellín, Albacete",
55000,1.0,3.0,1,81171345,85,,Hellín,"Campo de Hellín, Albacete",
60000,2.0,3.0,1,81204694,125,,Liétor,"Campo de Hellín, Albacete",
50000,2.0,3.0,1,81204698,130,,Liétor,"Campo de Hellín, Albacete",
75000,1.0,3.0,1,82853162,96,,Hellín,"Campo de Hellín, Albacete",
60000,1.0,3.0,2,369591,1000,,Albatana,"Campo de Hellín, Albacete",
60000,2.0,3.0,3,31532886,1500,,Tobarra,"Campo de Hellín, Albacete",
30000,1.0,3.0,1,39090303,70,65,Ontur,"Campo de Hellín, Albacete",
99900,1.0,2.0,1,2174120,115,90,Hellín,"Campo de Hellín, Albacete",
57000,2.0,2.0,2,32193708,1035,100,Ontur,"Campo de Hellín, Albacete",
60000,1.0,3.0,1,82307310,85,,Liétor,"Campo de Hellín, Albacete",
60000,1.0,3.0,1,28462703,82,,Hellín,"Campo de Hellín, Albacete",
95000,2.0,3.0,1,28165635,104,96,Tobarra,"Campo de Hellín, Albacete",
150000,2.0,4.0,1,36871421,138,120,Hellín,"Campo de Hellín, Albacete",
145000,1.0,3.0,2,38097970,120,,Hellín,"Campo de Hellín, Albacete",
75000,2.0,4.0,3,82029350,200,,Liétor,"Campo de Hellín, Albacete",
40000,2.0,4.0,3,82029353,200,,Liétor,"Campo de Hellín, Albacete",
122000,2.0,3.0,1,82549770,93,,Hellín,"Campo de Hellín, Albacete",
85000,2.0,2.0,1,29604115,75,,Hellín,"Campo de Hellín, Albacete",
250000,2.0,4.0,2,1766858,26000,190,Hellín,"Campo de Hellín, Albacete",
230000,2.0,5.0,1,30840060,180,,Hellín,"Campo de Hellín, Albacete",
60000,2.0,2.0,2,34978310,100,,Tobarra,"Campo de Hellín, Albacete",
85000,3.0,4.0,2,35681920,150,100,Pozohondo,"Campo de Hellín, Albacete",
120000,2.0,4.0,1,38420722,123,96,Hellín,"Campo de Hellín, Albacete",
130000,2.0,4.0,1,81138975,100,,Hellín,"Campo de Hellín, Albacete",
120000,5.0,4.0,2,82171406,1100,,Hellín,"Campo de Hellín, Albacete",
230000,1.0,4.0,3,82010632,1627,120,Hellín,"Campo de Hellín, Albacete",
98000,2.0,3.0,2,33966349,2100,,Tobarra,"Campo de Hellín, Albacete",
75000,3.0,5.0,4,37353277,100,90,Pozohondo,"Campo de Hellín, Albacete",
32000,1.0,3.0,3,82161598,94,195,Liétor,"Campo de Hellín, Albacete",
20000,1.0,2.0,1,81220371,60,,Hellín,"Campo de Hellín, Albacete",
65000,1.0,4.0,1,31058578,230,,Tobarra,"Campo de Hellín, Albacete",
39000,1.0,5.0,5,37532476,300,,Tobarra,"Campo de Hellín, Albacete",
110000,2.0,3.0,1,81723293,103,102,Hellín,"Campo de Hellín, Albacete",
60000,1.0,3.0,2,33036003,150,,Tobarra,"Campo de Hellín, Albacete",
95000,2.0,3.0,4,39774974,60,135,Tobarra,"Campo de Hellín, Albacete",
175000,2.0,3.0,1,81651400,125,110,Hellín,"Campo de Hellín, Albacete",
65000,2.0,6.0,5,40041349,320,250,Liétor,"Campo de Hellín, Albacete",2008
105000,2.0,4.0,1,81180795,110,90,Hellín,"Campo de Hellín, Albacete",1991
68900,1.0,5.0,3,81882736,127,122,Ontur,"Campo de Hellín, Albacete",
143000,3.0,4.0,1,81287827,144,,Hellín,"Campo de Hellín, Albacete",
70000,3.0,4.0,2,38126947,405,350,Tobarra,"Campo de Hellín, Albacete",
120000,2.0,4.0,4,83018068,120,,Tobarra,"Campo de Hellín, Albacete",
105000,2.0,4.0,3,83207118,100,,Hellín,"Campo de Hellín, Albacete",
80000,1.0,3.0,3,83229814,50,,Tobarra,"Campo de Hellín, Albacete",
27000,1.0,3.0,2,83363095,140,,Pozohondo,"Campo de Hellín, Albacete",
60000,2.0,3.0,1,83782846,180,,Tobarra,"Campo de Hellín, Albacete",
36000,1.0,4.0,2,83813923,2000,,Tobarra,"Campo de Hellín, Albacete",
30000,1.0,7.0,3,83819156,180,,Hellín,"Campo de Hellín, Albacete",
50000,1.0,6.0,3,83855497,200,,Tobarra,"Campo de Hellín, Albacete",
400000,1.0,3.0,6,83967195,140000,,Pozohondo,"Campo de Hellín, Albacete",
60000,2.0,3.0,4,452506,98,,Hellín,"Campo de Hellín, Albacete",
150000,2.0,3.0,1,84464728,140,,Tobarra,"Campo de Hellín, Albacete",
82000,1.0,2.0,1,1726000,65,55,Hellín,"Campo de Hellín, Albacete",
110000,2.0,4.0,1,1791886,121,90,Hellín,"Campo de Hellín, Albacete",
90000,1.0,3.0,1,40296512,90,87,Pozohondo,"Campo de Hellín, Albacete",
125000,2.0,4.0,1,83089858,107,,Hellín,"Campo de Hellín, Albacete",
58000,1.0,3.0,1,83207152,70,,Hellín,"Campo de Hellín, Albacete",
20000,1.0,3.0,2,84575666,150,,Tobarra,"Campo de Hellín, Albacete",
90000,1.0,4.0,3,84587225,350,,Pozohondo,"Campo de Hellín, Albacete",
9000,1.0,3.0,4,84611698,100,,Albatana,"Campo de Hellín, Albacete",
9000,0.0,0.0,3,84614312,100,,Albatana,"Campo de Hellín, Albacete",
70000,1.0,4.0,1,84643368,110,,Hellín,"Campo de Hellín, Albacete",
125000,2.0,3.0,4,84805594,120,,Tobarra,"Campo de Hellín, Albacete",
