,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1946,1946.0,1946.0,1946.0,1946,1946,951,1946,1946,395
unique,588,,,,1945,510,207,10,4,71
top,150000,,,,house_id,90,90,La Nucia,"Alt Vinalopó, Alicante",2006
freq,35,,,,2,86,60,684,1171,31
mean,,1.9614594039054472,3.3227132579650567,2.0369989722507706,,,,,,
std,,1.0074553592699798,1.2885367788049875,2.1510248736815867,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,1.0,,,,,,
50%,,2.0,3.0,2.0,,,,,,
75%,,2.0,4.0,2.0,,,,,,
max,,14.0,14.0,15.0,,,,,,
