price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
305000,3.0,5.0,0,84515051,4600,315,Villena,"Alt Vinalopó, Alicante",
144000,2.0,2.0,1,81456076,137,,Villena,"Alt Vinalopó, Alicante",
68000,1.0,3.0,2,81547993,101,,Villena,"Alt Vinalopó, Alicante",
120000,1.0,1.0,2,82294451,48,,Villena,"Alt Vinalopó, Alicante",
100000,1.0,2.0,1,81806893,60,,Sax,"Alt Vinalopó, Alicante",
52000,2.0,4.0,2,82039750,120,112,Biar,"Alt Vinalopó, Alicante",
80000,2.0,3.0,2,37262346,62,,Villena,"Alt Vinalopó, Alicante",
85000,2.0,3.0,2,37262306,90,,Villena,"Alt Vinalopó, Alicante",
115000,2.0,5.0,3,30035774,121,97,Salinas,"Alt Vinalopó, Alicante",
80000,1.0,4.0,1,37263956,200,,Villena,"Alt Vinalopó, Alicante",
230000,4.0,4.0,3,37566131,450,,Villena,"Alt Vinalopó, Alicante",
59000,1.0,5.0,2,82031795,100,,Villena,"Alt Vinalopó, Alicante",
60000,2.0,4.0,4,435914,143,,Salinas,"Alt Vinalopó, Alicante",1984
126000,2.0,3.0,5,27576852,120,,Campo de Mirra,"Alt Vinalopó, Alicante",
80000,2.0,4.0,2,37265655,135,,Villena,"Alt Vinalopó, Alicante",
120000,2.0,3.0,2,37265882,90,,Villena,"Alt Vinalopó, Alicante",
41900,1.0,3.0,2,37873483,84,,Villena,"Alt Vinalopó, Alicante",
100000,2.0,6.0,2,39351191,160,,Villena,"Alt Vinalopó, Alicante",1970
250000,3.0,7.0,1,27096706,14000,250,Sax,"Alt Vinalopó, Alicante",
170000,1.0,3.0,6,82459968,7500,,Sax,"Alt Vinalopó, Alicante",
115000,1.0,2.0,2,82605567,90,,Sax,"Alt Vinalopó, Alicante",
63000,1.0,4.0,1,26991754,70,130,Villena,"Alt Vinalopó, Alicante",
250000,3.0,4.0,1,28474804,1054,,Cañada,"Alt Vinalopó, Alicante",
55000,1.0,3.0,2,31758227,80,,Villena,"Alt Vinalopó, Alicante",
94000,1.0,2.0,1,2082254,7000,,Sax,"Alt Vinalopó, Alicante",
190000,3.0,7.0,6,35665748,2714,299,Campo de Mirra,"Alt Vinalopó, Alicante",1936
149000,1.0,3.0,7,36003775,2500,,Sax,"Alt Vinalopó, Alicante",
330000,4.0,4.0,3,36090999,650,350,Benejama,"Alt Vinalopó, Alicante",
39000,2.0,4.0,2,36631107,136,127,Villena,"Alt Vinalopó, Alicante",
75000,1.0,3.0,1,28165343,98,66,Biar,"Alt Vinalopó, Alicante",
118000,2.0,4.0,2,38902559,136,128,Sax,"Alt Vinalopó, Alicante",
45000,1.0,3.0,2,81176049,90,,Biar,"Alt Vinalopó, Alicante",
60000,2.0,3.0,2,81202085,90,,Villena,"Alt Vinalopó, Alicante",1994
52000,1.0,3.0,2,81443688,90,,Sax,"Alt Vinalopó, Alicante",
70000,1.0,3.0,3,82369264,172,140,Sax,"Alt Vinalopó, Alicante",
100000,3.0,3.0,5,82372495,160,145,Biar,"Alt Vinalopó, Alicante",
36000,2.0,4.0,2,433944,130,124,Sax,"Alt Vinalopó, Alicante",
139000,2.0,3.0,2,28323763,100,94,Villena,"Alt Vinalopó, Alicante",
115000,2.0,4.0,8,32461580,260,258,Sax,"Alt Vinalopó, Alicante",
200000,2.0,5.0,1,1764763,590,162,Biar,"Alt Vinalopó, Alicante",
142000,2.0,4.0,2,37133863,113,95,Villena,"Alt Vinalopó, Alicante",
142000,2.0,4.0,2,38092451,113,,Villena,"Alt Vinalopó, Alicante",
165000,2.0,3.0,3,374176,147,125,Villena,"Alt Vinalopó, Alicante",
139000,2.0,4.0,2,37126013,113,95,Villena,"Alt Vinalopó, Alicante",
250000,2.0,6.0,1,1634435,3800,200,Villena,"Alt Vinalopó, Alicante",
115500,1.0,2.0,2,1676815,73,67,Villena,"Alt Vinalopó, Alicante",
100000,1.0,3.0,5,35136730,85,78,Biar,"Alt Vinalopó, Alicante",
168000,1.0,3.0,1,37702552,160,,Sax,"Alt Vinalopó, Alicante",
65000,1.0,3.0,2,82135875,140,125,Villena,"Alt Vinalopó, Alicante",
295000,2.0,4.0,1,26091116,40000,150,Sax,"Alt Vinalopó, Alicante",
75000,1.0,3.0,3,1784539,160,147,Benejama,"Alt Vinalopó, Alicante",
83000,2.0,4.0,2,34028074,110,,Villena,"Alt Vinalopó, Alicante",2001
115000,2.0,0.0,9,82772551,90,,Villena,"Alt Vinalopó, Alicante",
139000,2.0,4.0,4,28392693,108,,Villena,"Alt Vinalopó, Alicante",
390000,2.0,3.0,1,39385967,15000,,Villena,"Alt Vinalopó, Alicante",
42000,2.0,3.0,2,82670952,130,,Villena,"Alt Vinalopó, Alicante",
90000,2.0,4.0,2,82975502,95,,Villena,"Alt Vinalopó, Alicante",
