city,sales_count,rental_count,total_properties,avg_sales_price,median_sales_price,min_sales_price,max_sales_price,avg_rental_price,median_rental_price,min_rental_price,max_rental_price,estimated_rental_yield
Alava,3679,127,3806,244807.6855123675,199000.0,9300.0,1700000.0,1015.2125984251968,850.0,350.0,5000.0,4.976376111560806
Albacete,0,0,0,,,,,,,,,
Alicante,0,0,0,,,,,,,,,
Balears,0,0,0,,,,,,,,,
Barcelona,885,0,885,212991.75028248588,150000.0,28585.0,5000000.0,,,,,
Bizkaia,21637,1560,23197,340013.6562832186,260000.0,4400.0,4000000.0,1084.2788461538462,950.0,300.0,6000.0,3.8267128138548037
Cadiz,787,0,787,103088.2210927573,80500.0,15000.0,1590000.0,,,,,
Ciudad_Real,0,0,0,,,,,,,,,
Coruna,0,0,0,,,,,,,,,
Gipuzkoa,0,0,0,,,,,,,,,
Girona,0,0,0,,,,,,,,,
Huelva,0,0,0,,,,,,,,,
Madrid,0,0,0,,,,,,,,,
Santa_Cruz_De_Tenerife,0,0,0,,,,,,,,,
Segovia,0,0,0,,,,,,,,,
Sevilla,0,0,0,,,,,,,,,
Soria,0,0,0,,,,,,,,,
Valencia,0,0,0,,,,,,,,,
Valladolid,0,0,0,,,,,,,,,
Zamora,0,0,0,,,,,,,,,
