,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,24880,24880.0,24880.0,24880.0,24880,24880,11704,24880,24880,10314
unique,2078,,,,24822,2733,655,75,5,185
top,450000,,,,house_id,100,100,Palma de Mallorca,"Mallorca, Balears (Illes)",1900
freq,374,,,,58,587,398,6538,19649,444
mean,,2.334726688102894,3.377290996784566,3.1871382636655947,,,,,,
std,,1.5025521402803255,1.7786756370154786,2.9874981291915526,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,1.0,,,,,,
50%,,2.0,3.0,2.0,,,,,,
75%,,3.0,4.0,5.0,,,,,,
max,,84.0,84.0,19.0,,,,,,
