price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
550000,2.0,2.0,0,36266563,150,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
240000,1.0,1.0,1,38223244,55,47,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
775000,2.0,3.0,1,81803540,130,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
300000,1.0,2.0,1,81380167,70,60,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
485000,2.0,3.0,0,82243761,150,144,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
950000,3.0,4.0,2,83571510,2305,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
1500000,3.0,7.0,2,26291651,300,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
550000,2.0,2.0,1,40142637,120,100,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
990000,2.0,3.0,3,40220038,199,166,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
457000,2.0,3.0,1,81511855,140,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
520000,2.0,3.0,1,81563335,100,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
545000,2.0,3.0,2,81883831,143,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2008
2000000,2.0,4.0,4,81906892,400,360,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
450000,1.0,2.0,1,82574486,99,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1976
550000,2.0,2.0,5,82614839,114,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2006
525000,2.0,2.0,1,82613332,96,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1999
355000,2.0,2.0,1,82613171,90,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1979
349000,1.0,2.0,1,82579700,84,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1980
620000,2.0,2.0,1,82575061,85,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1985
950000,5.0,6.0,2,82626372,2392,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1970
485000,2.0,2.0,1,82626508,144,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2001
750000,2.0,3.0,6,82627328,345,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2012
350000,3.0,3.0,1,82656647,129,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2003
965000,3.0,3.0,2,82681711,815,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1985
483000,2.0,3.0,1,82695118,115,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
690000,2.0,3.0,3,82708785,167,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
990000,2.0,3.0,1,82663544,140,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
330000,2.0,2.0,1,82047070,80,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
1500000,5.0,5.0,3,82362120,650,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
550000,2.0,2.0,1,82333072,80,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
560000,2.0,3.0,1,82349136,95,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
1430000,4.0,4.0,1,81784118,217,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
730000,2.0,3.0,1,81784119,112,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
1800000,3.0,4.0,2,83323318,8995,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1994
1870000,4.0,4.0,2,83359959,1300,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1979
3100000,3.0,6.0,2,83530570,15000,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1993
3750000,4.0,5.0,7,83606717,33734,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1900
1200000,3.0,3.0,2,83695147,1418,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1979
695000,2.0,2.0,5,83906603,107,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",2007
2500000,4.0,4.0,3,83916927,500,450,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
780000,3.0,3.0,3,83927423,581,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",1976
690000,2.0,3.0,3,83934524,167,,Santa Eulalia del Río,"Ibiza, Balears (Illes)",
