,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885,885,885.0
unique,,,,,,,,24,1,
top,,,,,,,,Vilafranca del Penedès,"Alt Penedès, Barcelona",
freq,,,,,,,,182,885,
mean,212991.75028248588,1.8451977401129944,3.680225988700565,2.5898305084745763,59592723.03050847,3335.0632768361584,132.40338983050847,,,1991.5276836158191
std,311462.69881821924,1.247527913159675,2.1080818292099313,3.352939629155361,27609798.17893882,38541.54267043297,151.1720910741059,,,24.814346213417256
min,28585.0,0.0,0.0,0.0,334861.0,1.0,5.0,,,1712.0
25%,99000.0,1.0,3.0,0.0,35492569.0,89.0,90.0,,,1996.0
50%,150000.0,2.0,3.0,2.0,81928720.0,150.0,99.0,,,1996.0
75%,217000.0,2.0,4.0,3.0,83027475.0,420.0,115.0,,,1996.0
max,5000000.0,18.0,30.0,15.0,85010817.0,850000.0,2434.0,,,2019.0
