price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
57000,1,2,0,84689154,70,55.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
120000,1,2,1,81252831,351,300.0,Torrelavit,"Alt Penedès, Barcelona",1960.0
620000,3,5,2,1941720,401,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
190000,2,3,0,37945359,87,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
450000,3,5,2,29190654,2200,420.0,Gelida,"Alt Penedès, Barcelona",1996.0
360000,2,7,3,37608772,370,270.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
103000,1,3,0,81235808,85,99.0,Santa Margarida i els Monjos,"Alt Penedès, Barcelona",1996.0
121000,1,2,0,35879258,70,99.0,Sant Quintí de Mediona,"Alt Penedès, Barcelona",1996.0
55000,1,3,0,82648406,60,55.0,Sant Quintí de Mediona,"Alt Penedès, Barcelona",1960.0
300000,3,6,2,37369375,240,99.0,Olèrdola,"Alt Penedès, Barcelona",1996.0
250000,2,3,3,418969,127,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
170000,2,4,2,419312,1800,99.0,Subirats,"Alt Penedès, Barcelona",1996.0
500000,4,5,2,31833729,300,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
185000,2,4,2,29568976,180,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
65000,2,2,2,28095621,520,99.0,Pontons,"Alt Penedès, Barcelona",1996.0
270000,2,3,2,82091122,480,230.0,Subirats,"Alt Penedès, Barcelona",1996.0
250000,2,5,2,82125040,750,200.0,Olèrdola,"Alt Penedès, Barcelona",1996.0
195000,3,4,4,36699203,180,99.0,Les Cabanyes,"Alt Penedès, Barcelona",1996.0
260000,2,4,0,1589965,115,101.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
150000,2,3,0,26747480,114,96.0,Sant Martí Sarroca,"Alt Penedès, Barcelona",1996.0
90000,1,2,0,37839801,70,65.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
184000,2,3,3,82193315,86,99.0,Puigdàlber,"Alt Penedès, Barcelona",1996.0
86500,1,3,0,29485790,72,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
250000,2,4,4,35717962,500,99.0,Sant Llorenç d'Hortons,"Alt Penedès, Barcelona",1996.0
110000,2,4,0,36290566,100,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
180000,2,7,2,37314662,1425,99.0,Torrelles de Foix,"Alt Penedès, Barcelona",1996.0
130000,2,2,3,30437527,100,99.0,Sant Martí Sarroca,"Alt Penedès, Barcelona",1996.0
110000,1,2,2,38941995,2200,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
81850,1,3,0,39198134,62,61.0,Sant Martí Sarroca,"Alt Penedès, Barcelona",1996.0
165000,1,3,0,82326168,82,99.0,Torrelavit,"Alt Penedès, Barcelona",1996.0
200000,2,4,0,82392157,114,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
199000,2,3,3,1812711,115,100.0,Sant Martí Sarroca,"Alt Penedès, Barcelona",1996.0
117000,1,2,5,1845905,72,99.0,Sant Pere de Riudebitlles,"Alt Penedès, Barcelona",1996.0
350000,3,5,2,1852196,732,179.0,Olèrdola,"Alt Penedès, Barcelona",1996.0
345000,2,7,3,393376,270,265.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
145000,1,3,6,25057919,1100,100.0,Mediona,"Alt Penedès, Barcelona",1996.0
100000,2,3,0,32918998,91,82.0,Torrelles de Foix,"Alt Penedès, Barcelona",1996.0
95000,1,3,0,33643604,80,70.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
170000,1,1,1,34714436,1048,99.0,Subirats,"Alt Penedès, Barcelona",1996.0
65000,1,2,2,35458400,700,65.0,Pontons,"Alt Penedès, Barcelona",1996.0
138000,2,4,0,36773989,110,90.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
165000,1,4,2,37315941,200,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
149000,2,4,0,37575290,146,99.0,Sant Pere de Riudebitlles,"Alt Penedès, Barcelona",1996.0
198000,2,3,0,1616126,90,80.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
310000,3,4,4,81156236,200,99.0,Olèrdola,"Alt Penedès, Barcelona",1996.0
175000,2,3,0,40221876,112,95.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",2000.0
165000,2,6,7,82128609,615,175.0,Subirats,"Alt Penedès, Barcelona",1977.0
350000,2,4,2,28628756,840,321.0,Gelida,"Alt Penedès, Barcelona",1996.0
150000,3,8,1,29947241,216,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
175000,3,5,4,36881437,190,99.0,Mediona,"Alt Penedès, Barcelona",2004.0
205750,2,4,0,37327904,120,110.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
675000,4,5,2,418376,360,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
395000,3,5,4,26970127,300,260.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",2000.0
220000,2,4,0,367908,115,100.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
350000,3,4,2,1871687,433,99.0,Pacs del Penedès,"Alt Penedès, Barcelona",1996.0
128000,2,4,2,30492824,300,120.0,Sant Pere de Riudebitlles,"Alt Penedès, Barcelona",1996.0
250000,1,4,6,32282575,12000,99.0,Torrelles de Foix,"Alt Penedès, Barcelona",1996.0
470000,3,6,8,35021588,200,648.0,Mediona,"Alt Penedès, Barcelona",1996.0
162000,2,3,3,37759764,90,87.0,Santa Margarida i els Monjos,"Alt Penedès, Barcelona",1996.0
175000,2,4,3,38313690,135,118.0,Santa Margarida i els Monjos,"Alt Penedès, Barcelona",1996.0
105000,1,2,5,26868088,82,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
350000,2,3,5,81993855,150,120.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
145000,1,2,2,82093939,520,70.0,Mediona,"Alt Penedès, Barcelona",2011.0
170000,2,3,3,82243426,75,70.0,Gelida,"Alt Penedès, Barcelona",1996.0
95000,2,5,2,445505,177,140.0,Font-Rubí,"Alt Penedès, Barcelona",1996.0
280000,2,3,2,82091646,600,230.0,Subirats,"Alt Penedès, Barcelona",1996.0
169000,1,2,2,25026827,180,173.0,Vilobí del Penedès,"Alt Penedès, Barcelona",1996.0
120000,1,3,0,1933206,85,75.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",1996.0
250000,2,4,4,33065473,180,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
265000,1,3,2,34737088,1100,99.0,Gelida,"Alt Penedès, Barcelona",1996.0
269000,2,4,3,39790286,139,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
126000,2,4,1,40202377,200,159.0,Torrelavit,"Alt Penedès, Barcelona",1996.0
560000,3,6,2,40486978,724,99.0,Olèrdola,"Alt Penedès, Barcelona",1996.0
299000,2,5,4,1973780,300,99.0,Santa Margarida i els Monjos,"Alt Penedès, Barcelona",1996.0
60000,1,2,0,81489448,84,74.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",1996.0
114840,1,2,0,83098321,55,99.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",1996.0
160000,1,4,0,36382190,100,99.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",1996.0
180000,1,4,2,37251063,1118,99.0,Sant Quintí de Mediona,"Alt Penedès, Barcelona",1996.0
475000,2,4,2,334861,480,99.0,Mediona,"Alt Penedès, Barcelona",1996.0
188000,3,4,8,83628033,237,99.0,Sant Quintí de Mediona,"Alt Penedès, Barcelona",1996.0
187000,3,4,3,84532289,140,100.0,El Pla del Penedès,"Alt Penedès, Barcelona",1996.0
167500,2,4,1,84592012,175,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
97000,2,4,0,84708406,95,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
1500000,1,5,2,828406,20000,99.0,Sant Sadurní d'Anoia,"Alt Penedès, Barcelona",1996.0
450000,4,4,0,37444082,369,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
148000,2,3,0,84733798,90,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
80000,1,2,0,84886893,71,99.0,Sant Quintí de Mediona,"Alt Penedès, Barcelona",1996.0
168000,2,3,0,84243231,80,70.0,Sant Pere de Riudebitlles,"Alt Penedès, Barcelona",2007.0
94700,1,2,0,33134192,58,99.0,Sant Llorenç d'Hortons,"Alt Penedès, Barcelona",1996.0
320000,9,10,9,33963400,6,825.0,Font-Rubí,"Alt Penedès, Barcelona",1996.0
87000,1,3,0,36233721,70,66.0,Sant Pere de Riudebitlles,"Alt Penedès, Barcelona",1996.0
154000,1,2,0,84957756,75,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
175000,2,3,0,84963582,95,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
100000,2,4,1,84678837,234,200.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
240000,2,2,3,84985306,140,99.0,Vilafranca del Penedès,"Alt Penedès, Barcelona",1996.0
28585,1,1,0,38624253,47,35.0,Torrelles de Foix,"Alt Penedès, Barcelona",1996.0
