,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
count,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560,1560,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0
unique,,,,,,,,67,7,,,,,,,,,,,,
top,,,,,,,,Bilbao,"Gran Bilbao, Vizcaya",,,,,,,,,,,,
freq,,,,,,,,966,1390,,,,,,,,,,,,
mean,1084.2788461538462,1.6166666666666667,2.473717948717949,15.330128205128204,72976976.6974359,118.22884615384615,85.89551282051282,,,1976.2679487179487,0.03012820512820513,0.16346153846153846,0.48205128205128206,0.0019230769230769232,0.28974358974358977,0.08141025641025641,0.8064102564102564,0.12435897435897436,0.19294871794871796,0.014743589743589743,0.308974358974359
std,460.9522895907728,0.7533405045249887,1.0494271126894033,1.2409994043988872,21765068.995296437,343.3405669329082,34.00882774684238,,,9.028853948041917,0.17099485222132466,0.36990481907034006,0.4998379698318153,0.04382476307283916,0.4537887665721007,0.27355181390649086,0.39523776544675177,0.3300964531174453,0.39473965397189953,0.12056340222071386,0.46221873299940297
min,300.0,1.0,0.0,15.0,372372.0,14.0,20.0,,,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,800.0,1.0,2.0,15.0,81803108.5,70.0,75.0,,,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50%,950.0,2.0,2.0,15.0,84210524.5,85.0,85.0,,,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75%,1200.0,2.0,3.0,15.0,84634536.5,105.0,85.0,,,1976.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
max,6000.0,7.0,7.0,26.0,84880076.0,10000.0,450.0,,,2019.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
