price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
700,1,2,15,82371665,60,55.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
850,2,2,15,83109863,70,85.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,1
900,2,4,16,83543803,122,85.0,Muskiz,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,0
850,2,4,15,83305207,95,85.0,Leioa,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1000,1,3,15,83170677,76,74.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,1,0,0,0
1000,1,1,17,40578293,50,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,0,0,0.0,0,0,0,1
700,1,2,15,372372,50,85.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
1000,2,3,15,29714470,100,85.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,0,0,0,1,0,1.0,1,0,0,0
900,2,4,15,83515653,120,110.0,Santurtzi,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,1
650,2,3,15,36146927,120,110.0,Mundaka,"Busturialdea, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
950,2,3,15,82111792,90,85.0,Gernika-Lumo,"Busturialdea, Vizcaya",1976.0,0,1,1,0,1,1,1.0,0,0,0,1
750,2,2,15,82308631,65,63.0,Bilbao,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,1,1.0,0,0,0,0
800,2,3,15,83400360,93,85.0,Barakaldo,"Gran Bilbao, Vizcaya",1976.0,0,1,0,0,1,0,1.0,0,1,0,0
700,1,3,15,27749398,100,95.0,Gorliz,"Uribe-Butroe, Vizcaya",1976.0,0,0,1,0,0,1,0.0,0,1,0,1
1300,2,7,18,25874167,4000,280.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,1,0,1
850,1,4,15,83707873,86,80.0,Getxo,"Gran Bilbao, Vizcaya",1976.0,0,1,1,0,0,0,1.0,0,0,0,1
2200,3,4,18,39944531,772,292.0,Muskiz,"Gran Bilbao, Vizcaya",1976.0,1,0,1,0,1,1,1.0,0,1,1,1
