,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
count,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637,21637,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0,21637.0
unique,,,,,,,,115,8,,,,,,,,,,,,
top,,,,,,,,Bilbao,"Gran Bilbao, Vizcaya",,,,,,,,,,,,
freq,,,,,,,,4357,14473,,,,,,,,,,,,
mean,340013.6562832186,1.9133891020012017,3.1387900355871885,2.8295974488145306,63620650.710449696,522.5455931968387,105.48028839487914,,,1976.3457503350742,0.014419743957110506,0.16180616536488424,0.3797661413319776,0.005083884087442806,0.3846651569071498,0.22156491195637104,0.748486389055784,0.09257290751952674,0.4348569579886306,0.05472107963211166,0.4255210981189629
std,276430.2413642023,1.0841743648038151,1.3267692959954456,2.53812422634532,25776342.081274282,4566.535109042761,99.59027006405277,,,56.50826709786904,0.11921607190706822,0.36828141237276174,0.4853397839573912,0.07112152971381142,0.48652730033402813,0.4153093706659737,0.4338930921772734,0.289839691687236,0.4957496775155248,0.22744026434481313,0.49443320237161087
min,4400.0,0.0,0.0,0.0,301651.0,1.0,1.0,,,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,169000.0,1.0,2.0,2.0,38299263.0,75.0,80.0,,,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,260000.0,2.0,3.0,2.0,82424130.0,95.0,85.0,,,1976.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
75%,420000.0,2.0,4.0,2.0,84096370.0,150.0,90.0,,,1976.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
max,4000000.0,17.0,34.0,27.0,84872928.0,320000.0,6722.0,,,9999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
