price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,air_conditioner,balcony,built_in_wardrobe,chimney,garage,garden,lift,reduced_mobility,storage_room,swimming_pool,terrace
630000,4,3,0,40391059,5600,85.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,1,1,0,1,1,1.0,0,1,1,0
199000,3,8,0,29962907,580,85.0,Arcentales,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,0,1.0,0,0,0,0
114000,1,3,1,36046434,260,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
147000,1,2,2,304179,80,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,0
40000,0,0,3,81987796,120,110.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
40000,3,5,1,82518974,430,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
180000,0,0,1,25511044,600,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,1,0,1,1.0,0,1,0,0
138000,2,3,4,25846411,94,92.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,1,0,1
249000,2,2,2,26556081,70,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,1,1.0,0,0,0,0
160000,2,3,5,33370153,127,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
100000,1,3,2,36123014,70,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
270000,2,3,2,25479817,120,96.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,1
149000,1,3,2,31122433,76,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,0.0,0,1,0,1
225000,2,3,2,35227313,111,97.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,1,0.0,0,1,0,1
162000,2,3,2,38316178,95,90.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,0
180000,2,4,6,39063492,6000,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
95000,1,2,2,39788572,65,60.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
148000,1,2,2,33969473,68,57.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
900000,5,5,0,40468971,1000,400.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,1,1.0,0,1,0,1
85000,1,3,2,35919827,86,83.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
52000,1,2,2,35997589,60,55.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
60000,1,5,6,33338734,200,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
85000,1,2,2,35917819,65,58.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
68000,1,2,2,35920172,60,55.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
150000,1,3,2,31127145,90,80.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
155000,1,3,2,27681234,100,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,0
200000,1,3,2,35406322,114,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
60000,1,5,3,36202923,400,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
75000,1,3,2,84301068,70,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
122000,1,3,2,25575129,75,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,0.0,0,0,0,1
115000,1,3,2,83310183,80,75.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,0
125000,1,4,0,26580432,350,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,0,0,0
66111,1,1,0,838211,200,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
150000,2,3,2,27330471,95,90.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,1,0.0,0,1,0,0
162500,2,3,2,498588,60,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
165000,1,1,2,498748,33,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,0
250000,1,5,7,838373,441,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,0,0,1
192500,2,3,2,498915,98,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,1,0,0
216000,2,4,2,672378,100,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
159268,1,3,2,32547100,80,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
153000,2,3,2,33276162,90,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,1
180000,1,2,3,84744520,700,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
85500,1,1,5,1902959,56,45.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
53000,1,2,2,84030267,75,70.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,0,0.0,0,0,0,0
180000,1,6,0,40336488,140,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,1
160000,2,3,2,28353205,90,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,1,0,0
238000,2,3,2,36387976,83,85.0,Güeñes,"Encartaciones, Vizcaya",1995.0,0,0,0,0,1,0,1.0,0,0,0,1
480000,2,4,0,36861922,1367,167.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
160000,2,3,7,39043286,300,250.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
495000,2,3,0,40021477,1300,120.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,1,0,0,1,1,1.0,0,1,0,1
120000,1,3,2,34494619,75,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
225000,5,20,6,35771906,2697,85.0,Lanestosa,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
241000,2,3,4,36699401,90,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,1,0,0
124000,1,3,2,30844735,80,70.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,1,0,0
90000,1,2,2,40050785,65,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
149000,2,2,2,83780280,85,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,1,0,0
148900,1,3,2,83780459,75,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
210000,2,3,2,84068811,111,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,1,0,0
270000,3,6,0,84298590,600,180.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,1,1,0,1,0,1.0,0,1,0,1
180000,1,2,2,31672143,85,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
150000,1,3,2,32237130,75,70.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
166000,2,3,2,32431462,92,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
103000,2,3,2,32432151,100,90.0,Arcentales,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
85000,1,2,2,32432208,61,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,0
50000,2,4,0,418205,120,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
124000,1,3,2,33548829,64,60.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
149800,2,3,7,33800446,110,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
350000,0,4,7,36490397,600,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
35000,1,3,3,37362194,11,270.0,Lanestosa,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
190000,2,3,2,37076937,110,100.0,Güeñes,"Encartaciones, Vizcaya",2001.0,0,0,0,0,1,0,1.0,0,1,0,1
95000,1,2,2,37535948,68,67.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
110000,1,3,2,37622101,77,68.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,1
98000,2,5,7,39126624,443,400.0,Arcentales,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
120000,1,3,2,39875108,95,90.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,0,0.0,0,0,0,0
120000,2,3,0,39923607,260,220.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
220000,2,2,2,39883753,89,79.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,1,0,0
200000,1,4,0,39968634,2700,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,1,0,1
60000,1,3,2,40323551,70,65.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
220000,3,5,8,81963382,720,650.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,0,0,0
240000,2,4,8,81963396,170,150.0,Galdames,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,1,0,1
210000,2,3,8,81963414,482,450.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
100000,1,3,2,32381337,70,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
180000,0,4,8,82913947,741,700.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,1,0,0
103000,1,3,2,83592760,97,81.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,1
120000,0,3,8,83745876,365,340.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
80000,0,0,0,1606485,467,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,0,0,0
115000,1,3,2,304821,75,70.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
200000,2,3,2,1793933,109,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,1,1,1.0,0,1,0,0
240000,3,4,4,1796806,198,154.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,1,0,1
260000,2,2,4,25373293,100,80.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,1,0,0
100000,1,2,2,25961152,65,60.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,1
39000,0,0,1,28289577,240,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,1,1.0,0,0,0,1
50000,1,4,3,29026237,675,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
200000,2,3,2,34195619,101,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,1,1.0,0,1,0,0
59000,0,3,3,35436968,53,85.0,Galdames,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,1,1.0,0,0,0,0
69000,1,3,6,36122070,140,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
150000,1,4,0,36387398,3100,85.0,Trucios,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
48000,0,0,1,37702604,130,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
220000,3,10,3,40101490,1595,85.0,Lanestosa,"Encartaciones, Vizcaya",1976.0,0,0,0,1,1,0,1.0,0,1,0,0
160000,1,3,2,81140055,70,85.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,0,1.0,0,0,0,0
7200,0,0,9,81380290,98,85.0,Galdames,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
134900,1,3,2,81450653,82,75.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,1,0,1
60000,0,0,0,81969902,400,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
240000,2,3,2,82399134,110,100.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,1,0,0,0,0,1.0,0,1,0,0
93000,1,2,2,347233,55,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
136000,1,3,2,82648001,70,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
55000,1,2,2,83947339,55,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
100000,1,3,2,32282215,80,75.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,1
155000,1,1,2,32994881,55,50.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,0,0,0
158800,1,2,2,33197114,70,69.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,1.0,0,1,0,0
103000,1,3,2,33203408,70,85.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,1,0,1
148000,1,2,2,32667927,70,65.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,0,0,0
80000,1,3,2,36083485,90,85.0,Carranza,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,1
370000,3,4,0,30931309,1660,220.0,Arcentales,"Encartaciones, Vizcaya",1976.0,0,0,1,0,1,1,1.0,0,1,0,1
100000,1,2,2,37866828,64,53.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,0.0,0,0,0,0
180000,1,3,10,38280277,250,85.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,1.0,0,0,0,0
164000,1,3,2,35918898,75,70.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,1,0,1,0,1.0,0,0,0,0
155000,1,4,2,39991750,110,100.0,Güeñes,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
205000,1,3,2,81259486,85,80.0,Zalla,"Encartaciones, Vizcaya",1976.0,0,0,1,0,0,0,0.0,0,1,0,0
120000,1,3,2,81362993,132,85.0,Sopuerta,"Encartaciones, Vizcaya",1976.0,0,0,0,0,1,0,0.0,0,1,0,0
330000,1,8,6,82498146,15000,85.0,Gordexola,"Encartaciones, Vizcaya",1976.0,0,1,0,1,0,1,1.0,0,0,0,0
140000,1,2,2,28900781,70,60.0,Balmaseda,"Encartaciones, Vizcaya",1976.0,0,0,0,0,0,0,1.0,0,0,0,0
