,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,787.0,787.0,787.0,787.0,787.0,787.0,787.0,787,787,787.0
unique,,,,,,,,18,1,
top,,,,,,,,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",
freq,,,,,,,,208,787,
mean,103088.2210927573,1.6010165184243965,2.9860228716645487,2.806861499364676,54463554.95933926,547.299872935197,87.7738246505718,,,2003.9542566709022
std,97440.31895350208,0.802920232163749,1.4658306017974208,2.7726956018720297,28212743.47608173,4246.738883732203,43.06152384214812,,,1.7475367033215863
min,15000.0,0.0,0.0,0.0,307429.0,9.0,4.0,,,1985.0
25%,60000.0,1.0,2.0,1.0,33652105.5,77.5,80.0,,,2004.0
50%,80500.0,1.0,3.0,2.0,39993779.0,95.0,80.0,,,2004.0
75%,115000.0,2.0,3.0,3.0,83581845.5,136.5,80.0,,,2004.0
max,1590000.0,9.0,15.0,14.0,85020389.0,80000.0,650.0,,,2018.0
