price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
65000,1,2,0,82211554,99,80.0,Espera,"Sierra de Cádiz, Cádiz",2009.0
43000,2,4,1,35127651,227,80.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
52000,1,2,2,37692012,56,80.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
85000,1,2,2,40558920,55,80.0,Benaocaz,"Sierra de Cádiz, Cádiz",2004.0
50000,1,3,2,81361345,62,80.0,Espera,"Sierra de Cádiz, Cádiz",2004.0
65000,1,1,2,82681453,75,80.0,Olvera,"Sierra de Cádiz, Cádiz",2004.0
130000,2,4,3,35075352,130,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
135000,2,3,2,35110504,130,80.0,Olvera,"Sierra de Cádiz, Cádiz",2004.0
85000,1,4,2,36749333,177,80.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
60000,1,2,2,37733580,67,80.0,Prado del Rey,"Sierra de Cádiz, Cádiz",2004.0
60000,1,3,2,37746986,78,80.0,Bornos,"Sierra de Cádiz, Cádiz",2004.0
62200,1,2,2,81278325,74,70.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
150000,3,5,1,81552719,170,165.0,Grazalema,"Sierra de Cádiz, Cádiz",2004.0
300000,2,3,0,82009963,150,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
140000,2,4,3,82146591,105,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
90000,1,3,0,82381007,103,80.0,Ubrique,"Sierra de Cádiz, Cádiz",2004.0
80000,2,4,2,82535257,167,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
69000,1,2,2,452477,72,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
135000,1,3,4,37339754,3000,98.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
80000,1,2,2,81138617,70,65.0,El Bosque,"Sierra de Cádiz, Cádiz",2004.0
100000,2,3,0,82531126,166,80.0,El Gastor,"Sierra de Cádiz, Cádiz",2004.0
260000,4,15,1,25388227,300,650.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
55000,1,2,0,32787875,115,100.0,Bornos,"Sierra de Cádiz, Cádiz",2004.0
44000,1,2,1,34940677,44,80.0,Setenil,"Sierra de Cádiz, Cádiz",2004.0
150000,2,4,3,35042496,140,80.0,Ubrique,"Sierra de Cádiz, Cádiz",2004.0
65000,1,3,2,28850286,82,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
150200,3,4,3,443630,100,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
95000,1,3,2,81813317,117,80.0,Bornos,"Sierra de Cádiz, Cádiz",2004.0
99000,1,2,5,1993427,80,80.0,Grazalema,"Sierra de Cádiz, Cádiz",2004.0
138000,1,4,0,28995445,120,113.0,Ubrique,"Sierra de Cádiz, Cádiz",2004.0
200000,2,3,1,36961962,320,80.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
126000,1,1,0,39993779,165,140.0,El Bosque,"Sierra de Cádiz, Cádiz",2004.0
85000,1,3,0,40017775,76,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
68000,2,2,2,81620949,75,70.0,Prado del Rey,"Sierra de Cádiz, Cádiz",2004.0
119950,2,2,2,82309593,70,65.0,Villamartin,"Sierra de Cádiz, Cádiz",2004.0
85000,2,2,0,82007728,180,122.0,Villamartin,"Sierra de Cádiz, Cádiz",2002.0
24900,1,1,1,34328586,69,80.0,Puerto Serrano,"Sierra de Cádiz, Cádiz",2004.0
50000,1,2,2,35104021,50,80.0,Benaocaz,"Sierra de Cádiz, Cádiz",2004.0
140000,1,5,1,35794552,230,200.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
125000,3,3,1,37608961,90,80.0,Puerto Serrano,"Sierra de Cádiz, Cádiz",2004.0
75000,1,1,2,369152,55,80.0,El Bosque,"Sierra de Cádiz, Cádiz",2004.0
260000,3,4,0,37786132,1000,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
38000,1,2,0,38988508,90,80.0,Espera,"Sierra de Cádiz, Cádiz",2004.0
119000,1,2,6,40021393,24000,80.0,Alcalá del Valle,"Sierra de Cádiz, Cádiz",2004.0
80000,1,2,2,40071532,150,80.0,Bornos,"Sierra de Cádiz, Cádiz",2004.0
80000,1,2,7,82309589,25,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
80000,1,3,3,394469,90,80.0,Prado del Rey,"Sierra de Cádiz, Cádiz",2004.0
108000,3,4,3,25566497,55,80.0,Arcos de la Frontera,"Sierra de Cádiz, Cádiz",2004.0
144000,2,4,3,25586790,40,138.0,Ubrique,"Sierra de Cádiz, Cádiz",2004.0
90000,1,2,1,29570558,9,80.0,Benaocaz,"Sierra de Cádiz, Cádiz",2004.0
