,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1819,1819.0,1819.0,1819.0,1819,1819,804,1819,1819,226
unique,562,,,,1817,365,175,35,6,52
top,120000,,,,house_id,100,90,Valdepeñas,"La Mancha, Ciudad Real",2009
freq,53,,,,3,80,54,685,685,31
mean,,1.5920835623969214,3.092358438702584,3.6646509070918087,,,,,,
std,,0.9530583055760893,1.7052439315096466,2.690021189643192,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,1.0,,,,,,
50%,,1.0,3.0,4.0,,,,,,
75%,,2.0,4.0,4.0,,,,,,
max,,14.0,26.0,15.0,,,,,,
