price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
390000,5.0,9.0,0,25523182,770,1100,Villanueva de los Infantes,"Montiel, Ciudad Real",1700
40000,1.0,4.0,0,28980361,182,,San Carlos del Valle,"Montiel, Ciudad Real",
95000,2.0,6.0,0,81620290,274,,Torre de Juan Abad,"Montiel, Ciudad Real",
33000,1.0,3.0,1,81926660,200,,Castellar de Santiago,"Montiel, Ciudad Real",
24000,1.0,4.0,0,82275911,230,,Carrizosa,"Montiel, Ciudad Real",
18000,1.0,2.0,0,33977108,273,,Carrizosa,"Montiel, Ciudad Real",
400000,9.0,7.0,1,432749,1500,,Almedina,"Montiel, Ciudad Real",
45000,2.0,6.0,1,28187821,230,,Villanueva de los Infantes,"Montiel, Ciudad Real",
60000,1.0,3.0,2,82270445,3385,,Castellar de Santiago,"Montiel, Ciudad Real",
100000,2.0,6.0,3,82502774,160,,Almedina,"Montiel, Ciudad Real",
30000,1.0,5.0,1,26221161,325,200,Cozar,"Montiel, Ciudad Real",
39000,2.0,5.0,1,34120678,150,146,Villanueva de los Infantes,"Montiel, Ciudad Real",
98000,2.0,5.0,4,39294142,120,,Villanueva de los Infantes,"Montiel, Ciudad Real",
32000,1.0,3.0,1,33124078,300,,Alcubillas,"Montiel, Ciudad Real",
105600,2.0,6.0,3,33806422,29,,Villamanrique,"Montiel, Ciudad Real",
27000,1.0,2.0,1,40136590,100,,Villanueva de los Infantes,"Montiel, Ciudad Real",
54000,1.0,4.0,0,29721088,197,,Montiel,Ciudad Real,
95000,2.0,3.0,1,29987585,75,,Villamanrique,"Montiel, Ciudad Real",
169000,2.0,6.0,0,37024284,300,,Villanueva de los Infantes,"Montiel, Ciudad Real",
85000,2.0,5.0,3,2039651,120,,Alhambra,"Montiel, Ciudad Real",
28000,1.0,3.0,4,40487011,96,,Alhambra,"Montiel, Ciudad Real",
22500,1.0,2.0,1,82137141,145,,Cozar,"Montiel, Ciudad Real",
180000,2.0,5.0,1,33383759,306,231,Torre de Juan Abad,"Montiel, Ciudad Real",
120000,2.0,4.0,4,81874402,175,,Castellar de Santiago,"Montiel, Ciudad Real",
400000,3.0,4.0,5,30521479,600,,Villanueva de los Infantes,"Montiel, Ciudad Real",
85000,1.0,5.0,6,82280528,190,180,Alhambra,"Montiel, Ciudad Real",
24000,1.0,2.0,7,25336138,270,,Cozar,"Montiel, Ciudad Real",
45000,1.0,2.0,0,84381374,160,,Villanueva de la Fuente,"Montiel, Ciudad Real",
58000,2.0,3.0,1,84437522,120,,Albaladejo,"Montiel, Ciudad Real",
88000,1.0,3.0,6,84470668,4760,,Castellar de Santiago,"Montiel, Ciudad Real",
30500,1.0,4.0,3,26396944,167,130,Cozar,"Montiel, Ciudad Real",
60000,3.0,5.0,0,34148350,120,,Villanueva de los Infantes,"Montiel, Ciudad Real",
26000,1.0,3.0,0,83123164,148,,Alhambra,"Montiel, Ciudad Real",
30000,3.0,3.0,0,84213378,98,,Villanueva de los Infantes,"Montiel, Ciudad Real",
29000,1.0,1.0,4,83751085,68,48,Villanueva de los Infantes,"Montiel, Ciudad Real",2000
39000,1.0,3.0,1,28379932,110,100,Albaladejo,"Montiel, Ciudad Real",
48000,1.0,5.0,0,36638069,300,200,Castellar de Santiago,"Montiel, Ciudad Real",
90000,2.0,8.0,1,38686620,320,,Cozar,"Montiel, Ciudad Real",
18500,1.0,1.0,1,39160495,45,80,Albaladejo,"Montiel, Ciudad Real",
360000,2.0,4.0,0,81909615,408,,Villanueva de los Infantes,"Montiel, Ciudad Real",1979
55000,2.0,7.0,0,82028087,240,230,Torre de Juan Abad,"Montiel, Ciudad Real",
17000,1.0,2.0,0,82544916,90,,Torre de Juan Abad,"Montiel, Ciudad Real",
29000,2.0,4.0,1,34814683,240,200,Cozar,"Montiel, Ciudad Real",
15000,1.0,3.0,1,1741693,80,,Villamanrique,"Montiel, Ciudad Real",
85000,2.0,5.0,3,28240207,352,220,Cozar,"Montiel, Ciudad Real",
20000,1.0,2.0,1,34626136,76,62,Torre de Juan Abad,"Montiel, Ciudad Real",
49000,1.0,3.0,4,36132496,100,90,Villanueva de la Fuente,"Montiel, Ciudad Real",
65000,1.0,3.0,1,38801673,85,,San Carlos del Valle,"Montiel, Ciudad Real",
60000,2.0,7.0,1,81844620,380,360,Torre de Juan Abad,"Montiel, Ciudad Real",
54000,1.0,2.0,8,82482094,93,,Villanueva de los Infantes,"Montiel, Ciudad Real",
12000,1.0,3.0,0,83547559,54,,Villanueva de los Infantes,"Montiel, Ciudad Real",
80000,2.0,4.0,1,423105,200,,San Carlos del Valle,"Montiel, Ciudad Real",
250000,7.0,8.0,1,436182,500,,Villahermosa,"Montiel, Ciudad Real",
65000,2.0,6.0,0,28194111,20,,Carrizosa,"Montiel, Ciudad Real",
185000,2.0,4.0,1,34331528,400,,Alhambra,"Montiel, Ciudad Real",
14500,2.0,2.0,0,35220062,80,70,Villanueva de los Infantes,"Montiel, Ciudad Real",
120000,1.0,4.0,0,39181190,400,,Villamanrique,"Montiel, Ciudad Real",
20000,1.0,2.0,3,82356052,120,,Villanueva de los Infantes,"Montiel, Ciudad Real",
88000,2.0,6.0,0,83016504,260,,Alhambra,"Montiel, Ciudad Real",
85000,2.0,4.0,1,84545873,105,150,Villanueva de los Infantes,"Montiel, Ciudad Real",
19700,1.0,7.0,8,34835791,210,,Cozar,"Montiel, Ciudad Real",
47000,2.0,6.0,9,26750725,160,140,Villanueva de los Infantes,"Montiel, Ciudad Real",
270000,7.0,7.0,1,27447871,180,,Villanueva de los Infantes,"Montiel, Ciudad Real",
72000,1.0,7.0,0,28834402,200,,Fuenllana,"Montiel, Ciudad Real",
150000,3.0,4.0,1,30021924,200,,Villanueva de los Infantes,"Montiel, Ciudad Real",
40000,1.0,4.0,0,31083949,140,120,Villanueva de los Infantes,"Montiel, Ciudad Real",
