,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,8341,8341.0,8341.0,8341.0,8341,8341,3955,8341,8341,2943
unique,1027,,,,8312,1152,350,72,18,105
top,120000,,,,house_id,70,90,Oleiros,"Área de A Coruña, A Coruña",2008
freq,217,,,,30,243,146,849,3006,190
mean,,2.02193981536986,3.2528473804100226,2.259441313991128,,,,,,
std,,1.1010669021435897,1.5809774802733043,2.921116557419296,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,0.0,,,,,,
50%,,2.0,3.0,1.0,,,,,,
75%,,2.0,4.0,4.0,,,,,,
max,,30.0,30.0,17.0,,,,,,
