price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
79500,2.0,5.0,0,84326617,800,,Santa Comba,"Xallas, A Coruña",1970
80000,1.0,2.0,1,27381814,70,57,Santa Comba,"Xallas, A Coruña",
30000,1.0,2.0,0,81199802,60,,Santa Comba,"Xallas, A Coruña",
235000,2.0,3.0,2,81742284,200,,Mazaricos,"Xallas, A Coruña",
75000,1.0,2.0,0,82040280,80,,Santa Comba,"Xallas, A Coruña",
65000,1.0,2.0,1,30577161,65,60,Santa Comba,"Xallas, A Coruña",
140000,2.0,3.0,0,81953271,5000,110,Santa Comba,"Xallas, A Coruña",
16000,0.0,0.0,3,28065841,250,,Mazaricos,"Xallas, A Coruña",
80000,1.0,4.0,2,35978429,160,,Santa Comba,"Xallas, A Coruña",
18000,2.0,3.0,4,1909238,50,,Mazaricos,"Xallas, A Coruña",
85000,1.0,2.0,5,83576825,85,,Santa Comba,"Xallas, A Coruña",
65000,1.0,2.0,1,82330527,75,,Santa Comba,"Xallas, A Coruña",1991
80000,2.0,3.0,0,31923749,100,80,Santa Comba,"Xallas, A Coruña",
240405,2.0,4.0,2,33491235,156,,Mazaricos,"Xallas, A Coruña",
50000,2.0,4.0,1,36486730,140,139,Santa Comba,"Xallas, A Coruña",
100000,3.0,5.0,4,2175891,247,,Santa Comba,"Xallas, A Coruña",
62000,2.0,3.0,1,40386250,100,95,Mazaricos,"Xallas, A Coruña",
160000,2.0,4.0,0,82233507,1500,,Santa Comba,"Xallas, A Coruña",
125000,2.0,5.0,0,82581468,1137,200,Mazaricos,"Xallas, A Coruña",
27000,1.0,3.0,2,84635602,120,,Santa Comba,"Xallas, A Coruña",
225000,3.0,4.0,6,84809340,1000,200,Santa Comba,"Xallas, A Coruña",
170000,2.0,4.0,7,83787192,394,,Mazaricos,"Xallas, A Coruña",
50000,1.0,3.0,1,38265845,70,65,Santa Comba,"Xallas, A Coruña",
12500,1.0,1.0,3,29651097,1871,1,Santa Comba,"Xallas, A Coruña",
25000,1.0,4.0,2,35571849,900,,Mazaricos,"Xallas, A Coruña",
129000,3.0,7.0,0,2063146,800,,Mazaricos,"Xallas, A Coruña",
90000,1.0,4.0,2,84500217,1604,,Santa Comba,"Xallas, A Coruña",1979
37440,2.0,3.0,1,32534861,130,,Santa Comba,"Xallas, A Coruña",
37440,1.0,3.0,1,39888648,130,,Santa Comba,"Xallas, A Coruña",
95000,1.0,4.0,7,84931271,224,,Mazaricos,"Xallas, A Coruña",
210000,2.0,4.0,0,37655166,5500,,Santa Comba,"Xallas, A Coruña",
120000,3.0,5.0,4,38168830,180,,Santa Comba,"Xallas, A Coruña",
140000,2.0,3.0,0,81953944,4800,110,Santa Comba,"Xallas, A Coruña",
96000,2.0,3.0,8,84560722,100,,Santa Comba,"Xallas, A Coruña",2001
99000,1.0,2.0,6,81546100,7200,100,Mazaricos,"Xallas, A Coruña",
80000,2.0,4.0,1,84641819,110,100,Santa Comba,"Xallas, A Coruña",
95000,1.0,5.0,0,84360004,8600,,Mazaricos,"Xallas, A Coruña",1940
169000,3.0,4.0,0,39497154,3300,,Mazaricos,"Xallas, A Coruña",
229000,2.0,4.0,0,83867627,7500,,Mazaricos,"Xallas, A Coruña",2016
119000,1.0,4.0,0,81973522,6721,139,Mazaricos,"Xallas, A Coruña",1964
160000,3.0,7.0,0,84525502,3500,250,Santa Comba,"Xallas, A Coruña",1975
price,0.0,0.0,9,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
240000,2.0,3.0,7,82538791,2183,246,Valdoviño,"Área de Ferrol, A Coruña",
198000,2.0,2.0,3,82199324,5000,,Valdoviño,"Área de Ferrol, A Coruña",
50000,2.0,5.0,2,81124669,200,,Valdoviño,"Área de Ferrol, A Coruña",
233000,2.0,4.0,0,82254536,2100,,Valdoviño,"Área de Ferrol, A Coruña",
260000,3.0,6.0,0,82520661,4500,,Valdoviño,"Área de Ferrol, A Coruña",
90000,2.0,4.0,0,33624509,190,,Valdoviño,"Área de Ferrol, A Coruña",
75000,1.0,2.0,1,82826669,60,,Valdoviño,"Área de Ferrol, A Coruña",
260000,4.0,9.0,0,1819105,1250,330,Valdoviño,"Área de Ferrol, A Coruña",
120000,1.0,1.0,2,34700150,11150,99,Valdoviño,"Área de Ferrol, A Coruña",
51000,1.0,2.0,1,36014483,70,,Valdoviño,"Área de Ferrol, A Coruña",
69000,1.0,2.0,3,39293338,70,,Valdoviño,"Área de Ferrol, A Coruña",
220000,2.0,5.0,0,33004199,1000,,Valdoviño,"Área de Ferrol, A Coruña",
93000,1.0,3.0,1,28772892,105,95,Valdoviño,"Área de Ferrol, A Coruña",
130000,2.0,3.0,1,83634219,88,,Valdoviño,"Área de Ferrol, A Coruña",
85000,1.0,4.0,2,84085667,90,,Valdoviño,"Área de Ferrol, A Coruña",
40000,2.0,4.0,0,305671,3500,,Valdoviño,"Área de Ferrol, A Coruña",
40000,1.0,0.0,10,82775485,38,,Valdoviño,"Área de Ferrol, A Coruña",
110000,0.0,0.0,3,83201200,3000,,Valdoviño,"Área de Ferrol, A Coruña",
90000,2.0,4.0,0,84528060,204,,Valdoviño,"Área de Ferrol, A Coruña",
90000,1.0,2.0,1,84830621,75,,Valdoviño,"Área de Ferrol, A Coruña",
150000,2.0,3.0,0,32816652,1000,,Valdoviño,"Área de Ferrol, A Coruña",
39000,1.0,2.0,1,84074290,60,,Valdoviño,"Área de Ferrol, A Coruña",
248000,2.0,4.0,0,32815694,150,,Valdoviño,"Área de Ferrol, A Coruña",
200000,2.0,5.0,0,36493599,2300,,Valdoviño,"Área de Ferrol, A Coruña",
260000,3.0,4.0,0,36840573,600,,Valdoviño,"Área de Ferrol, A Coruña",
185000,2.0,4.0,0,39526659,5000,,Valdoviño,"Área de Ferrol, A Coruña",
56000,2.0,3.0,0,39864928,180,,Valdoviño,"Área de Ferrol, A Coruña",
87000,1.0,3.0,0,39864929,713,,Valdoviño,"Área de Ferrol, A Coruña",
130000,2.0,4.0,2,29255120,1500,,Valdoviño,"Área de Ferrol, A Coruña",
33000,1.0,3.0,1,27948210,70,,Valdoviño,"Área de Ferrol, A Coruña",
90000,1.0,2.0,0,82985480,70,,Valdoviño,"Área de Ferrol, A Coruña",
340000,3.0,4.0,0,1725046,1465,353,Valdoviño,"Área de Ferrol, A Coruña",
132000,1.0,2.0,1,315158,80,,Valdoviño,"Área de Ferrol, A Coruña",
130000,2.0,4.0,6,28944031,2000,260,Valdoviño,"Área de Ferrol, A Coruña",
150000,2.0,4.0,2,81833832,150,,Valdoviño,"Área de Ferrol, A Coruña",
230000,2.0,3.0,0,82745892,965,,Valdoviño,"Área de Ferrol, A Coruña",
189000,2.0,4.0,1,83458012,200,180,Valdoviño,"Área de Ferrol, A Coruña",
91000,1.0,3.0,3,33647849,2000,,Valdoviño,"Área de Ferrol, A Coruña",
94000,1.0,3.0,7,38373754,2250,,Valdoviño,"Área de Ferrol, A Coruña",
119000,2.0,2.0,1,83332806,70,,Valdoviño,"Área de Ferrol, A Coruña",
130000,2.0,3.0,0,1862141,3200,,Valdoviño,"Área de Ferrol, A Coruña",
110000,2.0,5.0,2,26781657,8000,125,Valdoviño,"Área de Ferrol, A Coruña",
150000,2.0,5.0,3,28185104,11230,300,Valdoviño,"Área de Ferrol, A Coruña",
500000,6.0,9.0,0,28494212,2000,500,Valdoviño,"Área de Ferrol, A Coruña",
200000,2.0,5.0,0,30100016,2400,160,Valdoviño,"Área de Ferrol, A Coruña",
240000,1.0,4.0,0,34283735,110,,Valdoviño,"Área de Ferrol, A Coruña",
100000,1.0,5.0,6,37574969,1900,,Valdoviño,"Área de Ferrol, A Coruña",
38000,1.0,1.0,1,40289904,40,33,Valdoviño,"Área de Ferrol, A Coruña",
39500,1.0,2.0,1,40405385,68,50,Valdoviño,"Área de Ferrol, A Coruña",1993
95000,2.0,4.0,1,83709232,120,,Valdoviño,"Área de Ferrol, A Coruña",
385000,4.0,5.0,0,83879311,7500,,Valdoviño,"Área de Ferrol, A Coruña",
87266,1.0,3.0,0,38626201,108,75,Valdoviño,"Área de Ferrol, A Coruña",
450000,3.0,3.0,0,82987427,2000,,Valdoviño,"Área de Ferrol, A Coruña",2004
270000,2.0,3.0,0,36493771,3000,,Valdoviño,"Área de Ferrol, A Coruña",
175000,2.0,5.0,0,36820752,2000,150,Valdoviño,"Área de Ferrol, A Coruña",1974
150000,2.0,4.0,0,40192751,17500,,Valdoviño,"Área de Ferrol, A Coruña",
200000,3.0,8.0,0,81956543,280,,Valdoviño,"Área de Ferrol, A Coruña",
248000,2.0,4.0,0,84303721,650,150,Valdoviño,"Área de Ferrol, A Coruña",
60000,1.0,3.0,7,35504933,1414,,Valdoviño,"Área de Ferrol, A Coruña",1950
