,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,648,648.0,648.0,648.0,648,648,499,648,648,217,648.0
unique,90,,,,648,111,111,32,7,71,
top,1200,,,,84881792,90,60,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,
freq,68,,,,1,38,27,505,555,18,
mean,,1.625,2.425925925925926,16.478395061728396,,,,,,,0.17746913580246915
std,,0.7416458992513559,1.0315310602948815,1.446467493048301,,,,,,,0.3823603772459433
min,,1.0,0.0,16.0,,,,,,,0.0
25%,,1.0,2.0,16.0,,,,,,,0.0
50%,,1.5,2.0,16.0,,,,,,,0.0
75%,,2.0,3.0,16.0,,,,,,,0.0
max,,5.0,6.0,24.0,,,,,,,1.0
