price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
700,1.0,1.0,16,84881792,60,,Eibar,"Bajo Deba, Guipúzcoa",,1
700,1.0,2.0,16,83169712,65,,Lezo,"Donostialdea, Guipúzcoa",,1
880,1.0,1.0,16,83114823,60,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
1500,2.0,4.0,17,38257631,120,,Lezo,"Donostialdea, Guipúzcoa",,1
1500,1.0,4.0,18,31008847,420,417,Ikaztegieta,"Tolosaldea, Guipúzcoa",,1
1250,1.0,3.0,16,32249349,70,67,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1200,2.0,2.0,16,82877731,100,87,Hondarribia,"Bajo Bidasoa, Guipúzcoa",,0
1450,1.0,2.0,16,39724295,86,,Irun,"Bajo Bidasoa, Guipúzcoa",,1
1250,1.0,3.0,16,28411980,75,70,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1600,2.0,2.0,16,83033432,78,75,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
1600,4.0,4.0,19,83492325,240,150,Hernani,"Donostialdea, Guipúzcoa",,1
1400,2.0,2.0,16,82468697,85,72,Hondarribia,"Bajo Bidasoa, Guipúzcoa",,0
800,1.0,2.0,16,83664537,65,64,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
600,1.0,2.0,16,1642069,80,,Eibar,"Bajo Deba, Guipúzcoa",,0
1500,1.0,2.0,16,40184362,55,50,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
900,2.0,4.0,16,83794669,100,,Eskoriatza,"Alto Deba, Guipúzcoa",,0
1200,1.0,2.0,16,83953427,62,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
950,2.0,2.0,16,84152932,85,,Hondarribia,"Bajo Bidasoa, Guipúzcoa",,1
600,1.0,0.0,20,84708463,40,,Pasaia,"Donostialdea, Guipúzcoa",,0
1200,1.0,4.0,16,558299,100,90,Hondarribia,"Bajo Bidasoa, Guipúzcoa",,0
1150,1.0,1.0,16,84271827,50,45,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1200,1.0,2.0,16,82905110,60,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
