,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,7057,7057.0,7057.0,7057.0,7057,7057,4886,7057,7057,2955,7057.0
unique,813,,,,7031,517,368,88,8,129,
top,180000,,,,house_id,70,70,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,
freq,129,,,,27,333,198,2030,3242,171,
mean,,1.7659061924330453,2.992773133059374,1.3076378064333287,,,,,,,0.2848235794246847
std,,1.0339528693240683,1.300435531754107,2.7803957756497084,,,,,,,0.45136235659345897
min,,0.0,0.0,0.0,,,,,,,0.0
25%,,1.0,2.0,0.0,,,,,,,0.0
50%,,2.0,3.0,0.0,,,,,,,0.0
75%,,2.0,3.0,0.0,,,,,,,1.0
max,,15.0,13.0,15.0,,,,,,,1.0
