price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
280000,2.0,4.0,0,83073991,114,,Orio,"Urola Kosta, Guipúzcoa",,0
108000,1.0,4.0,0,39735041,90,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
360000,2.0,3.0,1,81822662,300,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
165000,2.0,3.0,0,82144233,106,,Azpeitia,"Urola Kosta, Guipúzcoa",,1
132000,1.0,3.0,0,447508,78,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
235000,2.0,4.0,0,40119659,105,,Azpeitia,"Urola Kosta, Guipúzcoa",,1
378000,1.0,2.0,2,36709763,180000,350,Aia,"Urola Kosta, Guipúzcoa",,1
565000,4.0,4.0,3,28042174,675,350,Aia,"Urola Kosta, Guipúzcoa",,1
360000,4.0,4.0,3,31733348,300,280,Aizarnazabal,"Urola Kosta, Guipúzcoa",,1
108000,1.0,3.0,0,37331715,72,70,Azpeitia,"Urola Kosta, Guipúzcoa",,0
986000,2.0,3.0,0,33447430,150,,Zarautz,"Urola Kosta, Guipúzcoa",,1
450000,2.0,2.0,0,81534159,86,,Orio,"Urola Kosta, Guipúzcoa",,1
310000,1.0,3.0,0,39187996,83,73,Zarautz,"Urola Kosta, Guipúzcoa",,0
148400,2.0,3.0,0,38980680,88,74,Zestoa,"Urola Kosta, Guipúzcoa",,1
850000,3.0,3.0,1,38090381,10000,,Zarautz,"Urola Kosta, Guipúzcoa",,1
295000,1.0,2.0,0,82187712,65,60,Orio,"Urola Kosta, Guipúzcoa",2017,1
190000,1.0,3.0,0,81842384,75,,Aizarnazabal,"Urola Kosta, Guipúzcoa",,0
280000,2.0,3.0,0,82491143,66,,Orio,"Urola Kosta, Guipúzcoa",,1
90000,1.0,3.0,0,81545905,90,85,Azkoitia,"Urola Kosta, Guipúzcoa",,0
390000,2.0,4.0,0,82645750,105,100,Zumaia,"Urola Kosta, Guipúzcoa",,0
110000,1.0,3.0,0,84419086,87,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
190000,1.0,3.0,0,84727585,100,85,Azpeitia,"Urola Kosta, Guipúzcoa",,0
150000,1.0,3.0,0,84707629,80,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
286000,2.0,3.0,0,84799330,81,,Orio,"Urola Kosta, Guipúzcoa",,1
180000,2.0,3.0,3,84233400,180,,Errezil,"Urola Kosta, Guipúzcoa",,1
165000,1.0,3.0,0,27492312,80,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
420000,2.0,3.0,0,83261960,115,,Zarautz,"Urola Kosta, Guipúzcoa",,0
225000,1.0,1.0,1,83423876,45000,,Aia,"Urola Kosta, Guipúzcoa",,0
160000,1.0,2.0,0,84028344,69,,Orio,"Urola Kosta, Guipúzcoa",,0
375000,2.0,3.0,4,84028201,500,,Orio,"Urola Kosta, Guipúzcoa",,0
845000,2.0,4.0,0,84028280,141,,Zarautz,"Urola Kosta, Guipúzcoa",,1
250000,2.0,2.0,0,84380522,80,,Zestoa,"Urola Kosta, Guipúzcoa",,1
260000,2.0,2.0,5,34982793,145,235,Zumaia,"Urola Kosta, Guipúzcoa",2008,1
550000,2.0,3.0,6,32489909,175,160,Zarautz,"Urola Kosta, Guipúzcoa",,0
95000,1.0,2.0,0,39241920,70,65,Azpeitia,"Urola Kosta, Guipúzcoa",,0
156000,1.0,2.0,0,1934829,70,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
195000,2.0,3.0,0,25032831,95,90,Aia,"Urola Kosta, Guipúzcoa",,1
300000,3.0,4.0,6,30482671,140,,Zestoa,"Urola Kosta, Guipúzcoa",,1
195000,1.0,1.0,0,36407710,40,,Zarautz,"Urola Kosta, Guipúzcoa",,0
239999,2.0,2.0,6,37921771,120,,Aia,"Urola Kosta, Guipúzcoa",,0
120000,1.0,3.0,0,38740322,96,,Zestoa,"Urola Kosta, Guipúzcoa",,0
179000,1.0,2.0,0,373544,131,111,Azkoitia,"Urola Kosta, Guipúzcoa",,0
450000,2.0,4.0,7,82108945,4000,330,Azkoitia,"Urola Kosta, Guipúzcoa",,1
198000,3.0,8.0,7,83080142,25000,300,Azpeitia,"Urola Kosta, Guipúzcoa",,0
350000,2.0,3.0,1,83646863,12000,,Azkoitia,"Urola Kosta, Guipúzcoa",1985,0
352000,2.0,3.0,0,36188506,92,,Azpeitia,"Urola Kosta, Guipúzcoa",,1
90000,1.0,3.0,0,28389292,78,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
125000,2.0,2.0,0,29429082,75,73,Azpeitia,"Urola Kosta, Guipúzcoa",,1
385000,2.0,3.0,6,2000825,100,83,Orio,"Urola Kosta, Guipúzcoa",,1
180000,2.0,3.0,0,25414203,100,,Aia,"Urola Kosta, Guipúzcoa",,0
85000,1.0,3.0,0,81955168,83,82,Azkoitia,"Urola Kosta, Guipúzcoa",,0
280000,1.0,3.0,0,82655093,65,,Zumaia,"Urola Kosta, Guipúzcoa",,0
370000,2.0,3.0,0,83004825,105,,Zumaia,"Urola Kosta, Guipúzcoa",,0
330000,2.0,2.0,0,83774043,72,68,Orio,"Urola Kosta, Guipúzcoa",2005,1
350000,1.0,2.0,0,84135928,48,,Zarautz,"Urola Kosta, Guipúzcoa",,0
130000,1.0,2.0,0,39007449,40,,Orio,"Urola Kosta, Guipúzcoa",,0
165000,2.0,2.0,6,1744497,70,,Zestoa,"Urola Kosta, Guipúzcoa",,0
199000,2.0,3.0,0,371353,96,85,Zestoa,"Urola Kosta, Guipúzcoa",,1
185000,3.0,4.0,6,1657819,140,128,Zestoa,"Urola Kosta, Guipúzcoa",,1
140000,1.0,3.0,0,2032265,78,,Azpeitia,"Urola Kosta, Guipúzcoa",,1
360000,3.0,3.0,3,1630636,50,,Aia,"Urola Kosta, Guipúzcoa",,1
560000,2.0,3.0,0,25626875,110,105,Zarautz,"Urola Kosta, Guipúzcoa",,1
240000,1.0,3.0,0,26128574,94,90,Azpeitia,"Urola Kosta, Guipúzcoa",,1
550000,3.0,6.0,7,27629413,18000,448,Zestoa,"Urola Kosta, Guipúzcoa",,0
550000,3.0,6.0,7,28134871,18000,448,Aizarnazabal,"Urola Kosta, Guipúzcoa",,0
170000,2.0,3.0,0,29941736,140,136,Zestoa,"Urola Kosta, Guipúzcoa",,0
190000,2.0,3.0,0,25876995,90,85,Aia,"Urola Kosta, Guipúzcoa",,0
130000,1.0,3.0,0,31583919,88,80,Zestoa,"Urola Kosta, Guipúzcoa",,0
150000,1.0,4.0,0,31639895,105,100,Azpeitia,"Urola Kosta, Guipúzcoa",,0
197000,2.0,12.0,5,32080047,550,,Zestoa,"Urola Kosta, Guipúzcoa",,0
590000,2.0,4.0,0,32492976,133,122,Zarautz,"Urola Kosta, Guipúzcoa",,1
180000,2.0,3.0,0,32834646,75,,Zestoa,"Urola Kosta, Guipúzcoa",,0
175000,1.0,3.0,0,32854256,100,90,Azpeitia,"Urola Kosta, Guipúzcoa",,0
120000,1.0,2.0,0,33668422,65,,Azkoitia,"Urola Kosta, Guipúzcoa",,0
115000,1.0,3.0,8,26841116,98,92,Azpeitia,"Urola Kosta, Guipúzcoa",,0
220000,2.0,3.0,0,34428152,90,85,Aia,"Urola Kosta, Guipúzcoa",,1
48000,1.0,3.0,0,36145142,54,,Azpeitia,"Urola Kosta, Guipúzcoa",,0
200000,2.0,2.0,0,37456815,104,100,Orio,"Urola Kosta, Guipúzcoa",,0
