,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1811,1811.0,1811.0,1811.0,1811,1811,841,1811,1811,377
unique,485,,,,1809,416,208,27,3,77
top,170000,,,,house_id,70,50,Roses,"Alt Empordà, Girona",2007
freq,31,,,,3,61,27,1082,1248,24
mean,,1.6576477084483712,2.720596355604638,2.6758696852567643,,,,,,
std,,1.0026874328407582,2.1673903849162928,3.372519387560696,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,1.0,,,,,,
50%,,1.0,3.0,1.0,,,,,,
75%,,2.0,3.0,3.0,,,,,,
max,,13.0,56.0,17.0,,,,,,
