price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
275000,2.0,3.0,0,84583299,197,166,Toses,"Ripollès, Girona",
200000,2.0,3.0,1,32480175,140,,Ripoll,"Ripollès, Girona",
119500,1.0,3.0,1,35944672,64,,Ripoll,"Ripollès, Girona",
115000,1.0,3.0,1,81158906,82,,Sant Joan de les Abadesses,"Ripollès, Girona",
80000,1.0,1.0,2,81410845,62,,Ribes de Freser,"Ripollès, Girona",
180000,2.0,4.0,3,38197092,2327,,Ripoll,"Ripollès, Girona",
300000,3.0,4.0,3,321374,660,,Campdevánol,"Ripollès, Girona",
220000,2.0,3.0,4,36260745,102,,Llanars,"Ripollès, Girona",
155000,2.0,3.0,1,32206943,90,,Toses,"Ripollès, Girona",
170000,2.0,3.0,1,35064729,85,,Camprodon,"Ripollès, Girona",
230000,2.0,5.0,5,37457107,150,,Planoles,"Ripollès, Girona",
210000,2.0,3.0,4,81551558,95,,Setcases,"Ripollès, Girona",
86000,1.0,1.0,1,82393342,50,,Camprodon,"Ripollès, Girona",
150000,2.0,4.0,1,29455495,105,,Ripoll,"Ripollès, Girona",
120000,1.0,1.0,1,396602,40,,Vilallonga de Ter,"Ripollès, Girona",
170000,1.0,2.0,1,2103439,54,44,Vilallonga de Ter,"Ripollès, Girona",
700000,4.0,7.0,6,29026042,680,,Sant Joan de les Abadesses,"Ripollès, Girona",
495000,2.0,5.0,3,30268282,800,,Ribes de Freser,"Ripollès, Girona",
125000,1.0,2.0,1,31576916,60,,Camprodon,"Ripollès, Girona",
70000,1.0,3.0,1,26717912,70,66,Ripoll,"Ripollès, Girona",
145000,1.0,2.0,1,36463265,72,,Ripoll,"Ripollès, Girona",
359990,5.0,7.0,6,40526254,803,,Vallfogona de Ripollès,"Ripollès, Girona",
39000,1.0,2.0,1,27228625,48,45,Campdevánol,"Ripollès, Girona",
240000,2.0,3.0,7,34343065,800,,Camprodon,"Ripollès, Girona",
100000,1.0,3.0,1,1802871,85,70,Sant Joan de les Abadesses,"Ripollès, Girona",
135000,2.0,4.0,8,30052249,150,,Planoles,"Ripollès, Girona",
130000,1.0,2.0,2,1889948,60,,Sant Joan de les Abadesses,"Ripollès, Girona",
124000,1.0,4.0,1,35426917,125,,Ripoll,"Ripollès, Girona",
209000,2.0,4.0,4,82254095,122,,Llanars,"Ripollès, Girona",
210000,2.0,4.0,3,34223883,800,,Camprodon,"Ripollès, Girona",
169000,2.0,3.0,4,40031692,130,,Ribes de Freser,"Ripollès, Girona",
210000,2.0,3.0,1,38671035,104,,Sant Pau de Segúries,"Ripollès, Girona",
240000,3.0,5.0,9,34217117,120,,Camprodon,"Ripollès, Girona",
130000,2.0,3.0,1,27672800,117,,Ripoll,"Ripollès, Girona",
80000,1.0,2.0,2,39780145,68,,Camprodon,"Ripollès, Girona",
129000,1.0,3.0,1,83561149,62,56,Camprodon,"Ripollès, Girona",
240000,2.0,3.0,3,38927005,800,,Ogassa,"Ripollès, Girona",
255000,3.0,4.0,9,84590436,275,,Campdevánol,"Ripollès, Girona",
220000,1.0,2.0,1,84984415,80,,Vilallonga de Ter,"Ripollès, Girona",
99000,2.0,0.0,10,40373124,462,277,Ripoll,"Ripollès, Girona",
121000,2.0,0.0,10,40373125,400,240,Ripoll,"Ripollès, Girona",
126500,2.0,0.0,10,40373126,400,240,Ripoll,"Ripollès, Girona",
145200,2.0,0.0,10,40373127,400,240,Ripoll,"Ripollès, Girona",
121000,2.0,0.0,10,40373138,711,427,Ripoll,"Ripollès, Girona",
99000,2.0,0.0,10,40373139,408,245,Ripoll,"Ripollès, Girona",
99000,2.0,0.0,10,40373140,412,247,Ripoll,"Ripollès, Girona",
99000,2.0,0.0,10,40373142,412,247,Ripoll,"Ripollès, Girona",
110000,2.0,0.0,10,40373143,405,243,Ripoll,"Ripollès, Girona",
110000,2.0,0.0,10,40373144,405,243,Ripoll,"Ripollès, Girona",
115500,2.0,0.0,10,40373145,444,266,Ripoll,"Ripollès, Girona",
126500,2.0,0.0,10,40373146,478,287,Ripoll,"Ripollès, Girona",
126500,2.0,0.0,10,40373147,491,295,Ripoll,"Ripollès, Girona",
121000,2.0,0.0,10,40373148,431,259,Ripoll,"Ripollès, Girona",
137500,2.0,0.0,10,40373149,528,317,Ripoll,"Ripollès, Girona",
137500,2.0,0.0,10,40373150,546,328,Ripoll,"Ripollès, Girona",
137500,2.0,0.0,10,40373151,604,362,Ripoll,"Ripollès, Girona",
67000,1.0,2.0,1,82457798,50,,Sant Joan de les Abadesses,"Ripollès, Girona",
120000,1.0,4.0,5,36053001,558,,Sant Pau de Segúries,"Ripollès, Girona",
168000,2.0,2.0,11,28953923,100,,Ribes de Freser,"Ripollès, Girona",
45000,1.0,3.0,1,39954959,70,,Ripoll,"Ripollès, Girona",
74000,1.0,3.0,1,83242504,75,,Ripoll,"Ripollès, Girona",
74000,1.0,3.0,1,83339360,70,,Ripoll,"Ripollès, Girona",
90000,1.0,3.0,3,83590730,80,,Ripoll,"Ripollès, Girona",
79500,2.0,2.0,4,84254198,67,,Sant Joan de les Abadesses,"Ripollès, Girona",
600000,3.0,6.0,3,33985847,290,,Ribes de Freser,"Ripollès, Girona",
100000,4.0,6.0,5,36432418,320,260,Planoles,"Ripollès, Girona",
145000,1.0,2.0,1,40482397,70,,Ribes de Freser,"Ripollès, Girona",
120000,2.0,3.0,9,81168737,238,220,Sant Pau de Segúries,"Ripollès, Girona",1960
31000,0.0,1.0,1,81580593,64,,Camprodon,"Ripollès, Girona",
150000,3.0,4.0,1,82933486,110,100,Camprodon,"Ripollès, Girona",
110000,1.0,3.0,1,84451769,70,,Ribes de Freser,"Ripollès, Girona",
47700,1.0,3.0,1,84909725,84,,Ripoll,"Ripollès, Girona",
830000,4.0,3.0,3,81599291,1010,274,Llanars,"Ripollès, Girona",2007
83000,2.0,3.0,1,37735087,95,81,Ribes de Freser,"Ripollès, Girona",
92400,2.0,3.0,1,37735086,95,81,Ribes de Freser,"Ripollès, Girona",
265000,2.0,3.0,3,1660932,800,,Camprodon,"Ripollès, Girona",
290000,2.0,3.0,11,1923626,50,,Vilallonga de Ter,"Ripollès, Girona",2011
85000,1.0,3.0,1,1752965,90,85,Ripoll,"Ripollès, Girona",
260000,3.0,6.0,3,25950147,433,304,Ripoll,"Ripollès, Girona",
190000,2.0,4.0,3,27577745,1000,120,Camprodon,"Ripollès, Girona",
120000,2.0,2.0,4,30285888,85,80,Ripoll,"Ripollès, Girona",
80000,0.0,0.0,5,32083116,300,,Campelles,"Ripollès, Girona",
110000,1.0,4.0,1,28865643,104,,Camprodon,"Ripollès, Girona",
68000,1.0,2.0,1,38028399,65,,Ripoll,"Ripollès, Girona",
250000,1.0,5.0,6,81411348,500,,Sant Pau de Segúries,"Ripollès, Girona",
75900,1.0,3.0,1,37091151,72,70,Sant Joan de les Abadesses,"Ripollès, Girona",
250000,3.0,4.0,4,83703926,183,,Camprodon,"Ripollès, Girona",
94000,2.0,1.0,4,83786730,70,60,Sant Joan de les Abadesses,"Ripollès, Girona",
150000,1.0,2.0,1,35965795,55,,Vilallonga de Ter,"Ripollès, Girona",
160000,1.0,3.0,0,84687762,180,170,Sant Pau de Segúries,"Ripollès, Girona",1900
