,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,658,658.0,658.0,658.0,658,658,240,658,658,59
unique,220,,,,658,210,102,50,3,38
top,150000,,,,83846390,100,120,Valverde del Camino,"El Andévalo, Huelva",2007
freq,27,,,,1,35,16,59,427,5
mean,,1.541033434650456,3.2993920972644375,2.9483282674772036,,,,,,
std,,0.7579031568923926,1.4450986582842347,2.204272577698789,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,2.0,,,,,,
50%,,1.0,3.0,3.0,,,,,,
75%,,2.0,4.0,4.0,,,,,,
max,,7.0,12.0,14.0,,,,,,
