price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
110000,1.0,2.0,0,83846390,5010,125,Zalamea la Real,"El Andévalo, Huelva",
18000,1.0,2.0,1,39648980,70,,Tharsis,"El Andévalo, Huelva",
25000,1.0,2.0,2,81378857,60,,Nerva,"El Andévalo, Huelva",
30000,1.0,2.0,3,82328410,71,,Minas de Riotinto,"El Andévalo, Huelva",
95000,1.0,4.0,4,37962845,140,,El Almendro,"El Andévalo, Huelva",
85000,2.0,4.0,2,37977635,180,,Puebla de Guzman,"El Andévalo, Huelva",
96000,2.0,4.0,2,39983372,192,180,Zalamea la Real,"El Andévalo, Huelva",2015
100000,2.0,3.0,4,81163294,150,,Villanueva de los Castillejos,"El Andévalo, Huelva",
130000,1.0,3.0,2,31459797,90,,Puebla de Guzman,"El Andévalo, Huelva",
125000,2.0,3.0,4,35290713,110,,Valverde del Camino,"El Andévalo, Huelva",
36000,1.0,2.0,2,35265135,100,,Sanlucar de Guadiana,"El Andévalo, Huelva",
79000,2.0,3.0,3,38389069,110,,El Almendro,"El Andévalo, Huelva",
60000,2.0,3.0,4,81217118,99,,Villanueva de los Castillejos,"El Andévalo, Huelva",
60000,1.0,3.0,4,35072254,70,,Minas de Riotinto,"El Andévalo, Huelva",
90000,2.0,3.0,3,31252552,170,,Zalamea la Real,"El Andévalo, Huelva",
160000,1.0,0.0,2,29514376,200,,Puebla de Guzman,"El Andévalo, Huelva",
25000,1.0,2.0,2,81378864,60,,Nerva,"El Andévalo, Huelva",
14000,1.0,2.0,2,38370901,90,,Calañas,"El Andévalo, Huelva",
119000,2.0,3.0,5,28424728,80,80,El Campillo,"El Andévalo, Huelva",
80000,1.0,3.0,2,32198066,180,,Nerva,"El Andévalo, Huelva",
185000,1.0,3.0,1,38469739,900,140,Minas de Riotinto,"El Andévalo, Huelva",
93000,1.0,4.0,3,27941801,127,90,Nerva,"El Andévalo, Huelva",
115000,2.0,4.0,2,82464564,170,,Cabezas Rubias,"El Andévalo, Huelva",
65000,1.0,5.0,3,39505472,150,95,Villanueva de los Castillejos,"El Andévalo, Huelva",
65000,1.0,3.0,3,443899,121,90,Alosno,"El Andévalo, Huelva",
90000,2.0,3.0,2,31459643,90,,Santa Barbara de Casa,"El Andévalo, Huelva",
70000,1.0,4.0,1,341750,120,,Nerva,"El Andévalo, Huelva",
45000,2.0,3.0,2,37880223,110,,Minas de Riotinto,"El Andévalo, Huelva",
49900,1.0,3.0,4,40161481,105,,Valverde del Camino,"El Andévalo, Huelva",
59000,1.0,3.0,4,81149608,92,,Valverde del Camino,"El Andévalo, Huelva",
160000,3.0,5.0,1,82029644,1060,,El Campillo,"El Andévalo, Huelva",
35000,1.0,3.0,3,82140803,70,,Minas de Riotinto,"El Andévalo, Huelva",
60000,1.0,2.0,4,82342845,70,,Zalamea la Real,"El Andévalo, Huelva",
180000,2.0,5.0,2,37842539,280,,Calañas,"El Andévalo, Huelva",
50000,1.0,3.0,4,306886,55,,El Campillo,"El Andévalo, Huelva",
53000,1.0,3.0,6,26419729,100,98,Minas de Riotinto,"El Andévalo, Huelva",
35000,1.0,2.0,4,35261072,60,,Nerva,"El Andévalo, Huelva",
75000,2.0,4.0,1,35284662,200,,Calañas,"El Andévalo, Huelva",
110000,2.0,3.0,1,35653053,132,120,Villanueva de los Castillejos,"El Andévalo, Huelva",
200000,1.0,2.0,7,37704619,90000,,Minas de Riotinto,"El Andévalo, Huelva",
72000,1.0,3.0,1,28656180,100,,Calañas,"El Andévalo, Huelva",
30000,1.0,3.0,2,38390291,80,,Minas de Riotinto,"El Andévalo, Huelva",
80000,1.0,3.0,2,38400402,100,,Calañas,"El Andévalo, Huelva",
429000,1.0,5.0,8,30577977,100000,250,El Cerro de Andévalo,"El Andévalo, Huelva",
45000,1.0,3.0,7,25607416,30,,Zalamea la Real,"El Andévalo, Huelva",
250000,2.0,4.0,1,81214898,316,,Valverde del Camino,"El Andévalo, Huelva",
50000,1.0,3.0,1,81339261,160,,Nerva,"El Andévalo, Huelva",
67000,2.0,3.0,4,82817244,103,,San Bartolomé de la Torre,"El Andévalo, Huelva",
48000,1.0,2.0,2,37981144,140,,Cabezas Rubias,"El Andévalo, Huelva",
49000,2.0,6.0,2,25595935,200,,Santa Barbara de Casa,"El Andévalo, Huelva",
35500,1.0,2.0,4,81331258,75,,Minas de Riotinto,"El Andévalo, Huelva",1987
90000,2.0,3.0,1,29152495,548,,Minas de Riotinto,"El Andévalo, Huelva",
150000,2.0,4.0,7,25873836,10000,130,Valverde del Camino,"El Andévalo, Huelva",
75000,2.0,3.0,2,40066910,140,120,Calañas,"El Andévalo, Huelva",
125000,2.0,5.0,2,82561836,200,,Puebla de Guzman,"El Andévalo, Huelva",
150000,1.0,4.0,2,37842568,400,,Alosno,"El Andévalo, Huelva",
96500,2.0,4.0,1,1797831,195,185,Zalamea la Real,"El Andévalo, Huelva",
69000,1.0,3.0,7,33899772,108,,Valverde del Camino,"El Andévalo, Huelva",
80000,1.0,5.0,2,81607175,230,,Calañas,"El Andévalo, Huelva",
53000,1.0,2.0,6,81712578,86,,El Campillo,"El Andévalo, Huelva",
37500,1.0,2.0,5,83801616,76,,Calañas,"El Andévalo, Huelva",
31200,2.0,3.0,4,84155220,100,,Valverde del Camino,"El Andévalo, Huelva",
100000,1.0,2.0,0,29143172,2000,,Zalamea la Real,"El Andévalo, Huelva",
55000,1.0,2.0,2,35254256,90,,Tharsis,"El Andévalo, Huelva",
70000,1.0,1.0,0,83095840,15000,,Valverde del Camino,"El Andévalo, Huelva",
160000,2.0,4.0,3,83197451,150,,San Bartolomé de la Torre,"El Andévalo, Huelva",
63000,2.0,3.0,4,83210724,95,,Villanueva de los Castillejos,"El Andévalo, Huelva",
210000,3.0,3.0,2,83679901,315,,El Almendro,"El Andévalo, Huelva",
50000,1.0,3.0,4,83692713,78,,Minas de Riotinto,"El Andévalo, Huelva",
100000,1.0,3.0,1,83769757,150,,Zalamea la Real,"El Andévalo, Huelva",
100000,1.0,2.0,1,83818340,75,,Valverde del Camino,"El Andévalo, Huelva",
40000,1.0,1.0,1,83818344,60,,Valverde del Camino,"El Andévalo, Huelva",
45000,1.0,2.0,2,84069656,100,,Calañas,"El Andévalo, Huelva",
35000,1.0,3.0,4,84070543,70,,Nerva,"El Andévalo, Huelva",
65000,1.0,3.0,2,84284141,150,,Calañas,"El Andévalo, Huelva",
36000,1.0,3.0,2,84299987,100,,Villanueva de las Cruces,"El Andévalo, Huelva",
150000,1.0,6.0,2,32403083,1000,,Zalamea la Real,"El Andévalo, Huelva",
70000,1.0,3.0,2,81834234,50,100,Tharsis,"El Andévalo, Huelva",
95000,1.0,4.0,1,82752664,250,,Paymogo,"El Andévalo, Huelva",
75000,1.0,3.0,2,82985376,221,96,Puebla de Guzman,"El Andévalo, Huelva",
75000,1.0,1.0,0,83168253,160000,,Berrocal,"El Andévalo, Huelva",
130000,2.0,4.0,4,83361392,160,,Valverde del Camino,"El Andévalo, Huelva",
64500,2.0,4.0,3,83025711,115,,Villanueva de las Cruces,"El Andévalo, Huelva",
37500,1.0,2.0,3,83087569,76,,Calañas,"El Andévalo, Huelva",
140000,3.0,4.0,4,84707516,190,,Nerva,"El Andévalo, Huelva",
91000,2.0,3.0,3,82863082,140,,Valverde del Camino,"El Andévalo, Huelva",
26750,1.0,3.0,3,83087575,81,,Tharsis,"El Andévalo, Huelva",
21550,1.0,3.0,3,39110754,75,,Tharsis,"El Andévalo, Huelva",
32750,1.0,1.0,1,36769633,103,,Nerva,"El Andévalo, Huelva",
31200,1.0,1.0,1,37110908,100,,Valverde del Camino,"El Andévalo, Huelva",
98500,2.0,3.0,1,84309569,106,,El Almendro,"El Andévalo, Huelva",
66000,1.0,3.0,4,84309570,86,,Valverde del Camino,"El Andévalo, Huelva",
85500,2.0,4.0,3,84309574,100,,San Bartolomé de la Torre,"El Andévalo, Huelva",
72000,2.0,3.0,3,84499046,30,99,Minas de Riotinto,"El Andévalo, Huelva",
80000,1.0,3.0,2,84962945,440,,San Bartolomé de la Torre,"El Andévalo, Huelva",
117000,2.0,4.0,3,84963278,100,,Valverde del Camino,"El Andévalo, Huelva",
56273,1.0,1.0,3,40054836,116,,Calañas,"El Andévalo, Huelva",
40000,1.0,3.0,4,84994494,126,,Nerva,"El Andévalo, Huelva",
