,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,5255,5255.0,5255.0,5255.0,5255,5255,2281,5255,5255,2252
unique,1208,,,,5249,378,238,3,3,114
top,260000,,,,house_id,70,70,Madrid,"Madrid capital, Madrid",1960
freq,60,,,,7,163,84,4974,4974,218
mean,,1.7474785918173168,2.7195052331113225,0.6095147478591817,,,,,,
std,,0.9524180445496904,1.249632661183316,1.7003730228808076,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,0.0,,,,,,
50%,,2.0,3.0,0.0,,,,,,
75%,,2.0,3.0,0.0,,,,,,
max,,13.0,15.0,9.0,,,,,,
