price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
164900,1.0,3.0,0,83346506,103,96,Pinto,"Zona sur, Madrid",1976
370000,2.0,4.0,1,38939811,120,,Pinto,"Zona sur, Madrid",
190000,2.0,3.0,0,29193861,99,,Pinto,"Zona sur, Madrid",
450000,3.0,4.0,2,37200315,240,215,Pinto,"Zona sur, Madrid",
282000,2.0,4.0,3,1806508,169,100,Pinto,"Zona sur, Madrid",2000
190000,2.0,2.0,0,36503576,84,,Pinto,"Zona sur, Madrid",
600000,3.0,7.0,4,40444637,1300,,Pinto,"Zona sur, Madrid",1986
159000,1.0,2.0,0,400052,50,,Pinto,"Zona sur, Madrid",
380000,2.0,4.0,5,81337808,140,,Pinto,"Zona sur, Madrid",
137000,1.0,2.0,0,83212059,65,,Pinto,"Zona sur, Madrid",
500000,2.0,4.0,3,82699215,110,95,Pinto,"Zona sur, Madrid",
117800,1.0,3.0,0,84563426,96,,Pinto,"Zona sur, Madrid",
105700,1.0,1.0,0,84562427,58,,Pinto,"Zona sur, Madrid",
150000,1.0,2.0,0,85007763,75,,Pinto,"Zona sur, Madrid",
147900,1.0,3.0,0,81464369,90,89,Pinto,"Zona sur, Madrid",
187500,2.0,3.0,0,83305206,98,,Pinto,"Zona sur, Madrid",
162500,1.0,3.0,1,84263555,130,,Pinto,"Zona sur, Madrid",
600000,1.0,3.0,4,1888708,187,,Pinto,"Zona sur, Madrid",
185000,1.0,2.0,0,1648290,60,,Pinto,"Zona sur, Madrid",
156000,1.0,3.0,0,81303652,74,,Pinto,"Zona sur, Madrid",
139900,1.0,2.0,0,82532857,61,52,Pinto,"Zona sur, Madrid",
116000,1.0,2.0,0,83055428,72,,Pinto,"Zona sur, Madrid",
229900,2.0,3.0,0,83310462,131,,Pinto,"Zona sur, Madrid",1991
103000,1.0,1.0,3,84134130,58,,Pinto,"Zona sur, Madrid",
156000,1.0,3.0,0,84397306,96,75,Pinto,"Zona sur, Madrid",
90000,1.0,3.0,0,84459166,79,66,Pinto,"Zona sur, Madrid",
129900,1.0,3.0,0,84501110,77,65,Pinto,"Zona sur, Madrid",
129000,1.0,3.0,0,84877363,70,69,Pinto,"Zona sur, Madrid",
180000,1.0,1.0,0,1620644,79,60,Pinto,"Zona sur, Madrid",
135000,1.0,2.0,0,304923,65,,Pinto,"Zona sur, Madrid",
180000,1.0,1.0,0,1880887,55,50,Pinto,"Zona sur, Madrid",
199900,2.0,2.0,3,2050197,80,70,Pinto,"Zona sur, Madrid",
133021,1.0,3.0,0,36572783,92,,Pinto,"Zona sur, Madrid",
185000,2.0,4.0,0,82946053,130,115,Pinto,"Zona sur, Madrid",
210000,2.0,2.0,0,36553167,90,70,Pinto,"Zona sur, Madrid",2000
340000,2.0,3.0,5,83760028,120,,Pinto,"Zona sur, Madrid",
195000,1.0,2.0,0,1892318,82,69,Pinto,"Zona sur, Madrid",2004
139000,2.0,3.0,0,83888640,116,,Pinto,"Zona sur, Madrid",
135000,1.0,3.0,0,84117623,97,,Pinto,"Zona sur, Madrid",1974
138000,2.0,3.0,0,84522650,116,114,Pinto,"Zona sur, Madrid",
129000,1.0,3.0,0,84685577,80,73,Pinto,"Zona sur, Madrid",
158000,1.0,2.0,0,39184155,55,,Pinto,"Zona sur, Madrid",
124900,1.0,3.0,0,40250944,90,,Pinto,"Zona sur, Madrid",
82900,1.0,2.0,0,82680079,58,,Pinto,"Zona sur, Madrid",1966
149900,1.0,3.0,0,83716210,87,76,Pinto,"Zona sur, Madrid",1983
900000,2.0,7.0,4,84029552,1000,,Pinto,"Zona sur, Madrid",
166900,2.0,4.0,0,84320313,102,77,Pinto,"Zona sur, Madrid",1997
180000,1.0,3.0,0,84927056,75,,Pinto,"Zona sur, Madrid",
148500,1.0,4.0,0,33142347,125,,Pinto,"Zona sur, Madrid",
77000,1.0,2.0,0,39607866,68,,Pinto,"Zona sur, Madrid",
179000,2.0,2.0,0,82421929,97,85,Pinto,"Zona sur, Madrid",
650000,3.0,5.0,1,84266308,480,,Pinto,"Zona sur, Madrid",1992
329000,3.0,4.0,2,84267258,256,,Pinto,"Zona sur, Madrid",
185000,2.0,3.0,3,83968332,100,98,Pinto,"Zona sur, Madrid",
139000,2.0,4.0,0,84246103,110,,Pinto,"Zona sur, Madrid",1979
146000,1.0,3.0,0,84633499,75,,Pinto,"Zona sur, Madrid",
638000,5.0,9.0,1,82140865,338,210,Pinto,"Zona sur, Madrid",
175900,2.0,4.0,0,84271216,124,80,Pinto,"Zona sur, Madrid",1969
214900,2.0,3.0,0,84351322,83,,Pinto,"Zona sur, Madrid",2010
250000,2.0,3.0,0,82279811,104,90,Pinto,"Zona sur, Madrid",2014
129300,1.0,3.0,0,34772149,82,,Pinto,"Zona sur, Madrid",
256000,2.0,4.0,0,84722688,105,,Pinto,"Zona sur, Madrid",2002
216000,3.0,3.0,3,84783200,114,95,Pinto,"Zona sur, Madrid",2002
120000,1.0,1.0,0,27654985,51,,Pinto,"Zona sur, Madrid",
260000,2.0,3.0,5,84162391,90,,Pinto,"Zona sur, Madrid",2003
119000,1.0,1.0,0,84359461,65,,Pinto,"Zona sur, Madrid",2007
270000,2.0,3.0,0,40452797,110,96,Pinto,"Zona sur, Madrid",2014
350000,4.0,6.0,1,29102972,446,382,Pinto,"Zona sur, Madrid",
159000,2.0,3.0,0,40249281,96,82,Pinto,"Zona sur, Madrid",
125000,1.0,1.0,0,81819022,55,,Pinto,"Zona sur, Madrid",
156900,2.0,2.0,3,40130587,66,,Pinto,"Zona sur, Madrid",
329000,5.0,4.0,1,81612849,256,,Pinto,"Zona sur, Madrid",
138000,1.0,3.0,0,82006120,78,65,Pinto,"Zona sur, Madrid",
199900,2.0,3.0,0,82529397,100,85,Pinto,"Zona sur, Madrid",
210000,3.0,5.0,1,81960665,161,,Pinto,"Zona sur, Madrid",
169800,2.0,3.0,0,83257788,97,80,Pinto,"Zona sur, Madrid",
189000,2.0,3.0,3,83839276,110,92,Pinto,"Zona sur, Madrid",2003
182260,2.0,3.0,0,83871186,93,83,Pinto,"Zona sur, Madrid",1995
120000,1.0,2.0,0,83892523,67,56,Pinto,"Zona sur, Madrid",
166900,2.0,3.0,0,84050890,94,89,Pinto,"Zona sur, Madrid",1977
281000,2.0,3.0,0,84485185,120,,Pinto,"Zona sur, Madrid",2011
106000,1.0,2.0,0,84525134,58,,Pinto,"Zona sur, Madrid",1970
158000,1.0,2.0,0,84725358,55,,Pinto,"Zona sur, Madrid",
234900,2.0,3.0,0,84890032,89,,Pinto,"Zona sur, Madrid",2011
213000,2.0,2.0,0,84621179,90,,Pinto,"Zona sur, Madrid",
180000,1.0,1.0,0,36091572,79,60,Pinto,"Zona sur, Madrid",
230000,2.0,3.0,0,27830969,113,90,Pinto,"Zona sur, Madrid",
230000,2.0,3.0,0,28830684,113,,Pinto,"Zona sur, Madrid",
530000,4.0,6.0,2,36970028,315,,Pinto,"Zona sur, Madrid",2003
530000,4.0,6.0,2,36928666,315,,Pinto,"Zona sur, Madrid",2003
147900,1.0,2.0,0,81372477,93,,Pinto,"Zona sur, Madrid",
213000,2.0,2.0,0,82407029,87,,Pinto,"Zona sur, Madrid",
235000,2.0,3.0,0,82471710,90,,Pinto,"Zona sur, Madrid",2003
259000,3.0,3.0,3,449542,135,,Pinto,"Zona sur, Madrid",
138000,1.0,3.0,0,82817274,96,94,Pinto,"Zona sur, Madrid",
232900,2.0,3.0,0,82858750,96,,Pinto,"Zona sur, Madrid",
274900,2.0,3.0,3,83733443,120,100,Pinto,"Zona sur, Madrid",2012
118000,1.0,1.0,3,83668534,78,,Pinto,"Zona sur, Madrid",
350000,2.0,3.0,5,29548584,200,130,Pinto,"Zona sur, Madrid",
160000,2.0,3.0,0,84698925,92,85,Pinto,"Zona sur, Madrid",1987
132500,2.0,2.0,0,84769018,93,75,Pinto,"Zona sur, Madrid",1994
119900,1.0,3.0,0,84813257,73,60,Pinto,"Zona sur, Madrid",1976
177200,2.0,2.0,0,84847541,95,74,Pinto,"Zona sur, Madrid",2003
143500,1.0,2.0,0,84882671,79,72,Pinto,"Zona sur, Madrid",1993
100000,1.0,1.0,0,84675160,60,50,Pinto,"Zona sur, Madrid",
94500,1.0,2.0,0,84710759,55,50,Pinto,"Zona sur, Madrid",
115000,1.0,1.0,0,84861688,53,50,Pinto,"Zona sur, Madrid",
290200,2.0,3.0,0,30294667,115,,Pinto,"Zona sur, Madrid",2003
260000,2.0,3.0,0,81551823,120,100,Pinto,"Zona sur, Madrid",
149000,2.0,2.0,0,82783432,94,89,Pinto,"Zona sur, Madrid",1977
149900,1.0,3.0,0,83772260,113,80,Pinto,"Zona sur, Madrid",
129000,2.0,4.0,0,84081695,120,106,Pinto,"Zona sur, Madrid",1958
159000,1.0,2.0,0,84459127,73,,Pinto,"Zona sur, Madrid",1996
198000,2.0,3.0,3,84554871,114,,Pinto,"Zona sur, Madrid",2002
210000,2.0,2.0,0,84854450,87,,Pinto,"Zona sur, Madrid",
168000,1.0,3.0,0,84915482,101,,Pinto,"Zona sur, Madrid",
127000,1.0,1.0,0,83476950,51,,Pinto,"Zona sur, Madrid",2007
232100,3.0,4.0,3,84038242,130,117,Pinto,"Zona sur, Madrid",1995
94500,1.0,2.0,0,84211036,55,50,Pinto,"Zona sur, Madrid",
255000,3.0,4.0,0,84727068,141,,Pinto,"Zona sur, Madrid",
216000,3.0,3.0,3,26751488,105,,Pinto,"Zona sur, Madrid",
129900,1.0,3.0,0,82703982,92,,Pinto,"Zona sur, Madrid",
129900,1.0,3.0,0,84087486,92,,Pinto,"Zona sur, Madrid",
95550,1.0,2.0,0,84578459,57,47,Pinto,"Zona sur, Madrid",1961
95550,1.0,2.0,0,84716358,57,,Pinto,"Zona sur, Madrid",
269900,3.0,3.0,1,81927956,87,,Pinto,"Zona sur, Madrid",
158000,1.0,3.0,0,84249243,90,75,Pinto,"Zona sur, Madrid",1970
180000,2.0,3.0,0,84921217,93,78,Pinto,"Zona sur, Madrid",
164000,2.0,2.0,0,84923374,88,73,Pinto,"Zona sur, Madrid",
190000,2.0,3.0,0,84928816,116,100,Pinto,"Zona sur, Madrid",
450000,2.0,4.0,1,36544005,250,250,Pinto,"Zona sur, Madrid",
499000,4.0,4.0,1,81567033,176,,Pinto,"Zona sur, Madrid",
216900,2.0,4.0,3,82653726,142,,Pinto,"Zona sur, Madrid",1994
850000,3.0,5.0,4,84116445,600,450,Pinto,"Zona sur, Madrid",1986
399900,3.0,4.0,6,84402277,265,,Pinto,"Zona sur, Madrid",2000
255000,3.0,3.0,3,84545093,100,,Pinto,"Zona sur, Madrid",
189000,2.0,2.0,0,84590089,82,,Pinto,"Zona sur, Madrid",2003
95550,1.0,2.0,0,84674219,57,47,Pinto,"Zona sur, Madrid",1961
125000,1.0,1.0,0,82082824,56,,Pinto,"Zona sur, Madrid",
557000,4.0,6.0,1,84578010,200,300,Pinto,"Zona sur, Madrid",
272100,2.0,3.0,0,84823620,105,86,Pinto,"Zona sur, Madrid",2009
198000,2.0,3.0,0,84164118,100,,Pinto,"Zona sur, Madrid",
189000,2.0,2.0,0,1857109,83,,Pinto,"Zona sur, Madrid",
725000,3.0,3.0,4,38899707,404,,Pinto,"Zona sur, Madrid",
374900,4.0,4.0,1,82243710,197,242,Pinto,"Zona sur, Madrid",
180000,1.0,2.0,0,82644480,73,65,Pinto,"Zona sur, Madrid",
168000,1.0,2.0,0,83278481,80,76,Pinto,"Zona sur, Madrid",1995
210000,2.0,4.0,3,83724692,96,78,Pinto,"Zona sur, Madrid",
399900,3.0,4.0,2,84350603,265,,Pinto,"Zona sur, Madrid",2000
199000,2.0,4.0,3,83004587,122,,Pinto,"Zona sur, Madrid",2003
335000,2.0,3.0,0,83611285,108,,Pinto,"Zona sur, Madrid",
349900,3.0,3.0,1,84666729,224,,Pinto,"Zona sur, Madrid",
