,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1222,1222.0,1222.0,1222.0,1222,1222,643,1222,1222,336
unique,402,,,,1219,486,232,19,3,60
top,110000,,,,house_id,120,100,Tacoronte,"La Palma, Santa Cruz de Tenerife",2000
freq,27,,,,4,23,18,436,610,23
mean,,2.0261865793780687,3.234860883797054,3.169394435351882,,,,,,
std,,1.2098293953342452,1.610671549057625,4.064381081097719,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,2.0,0.0,,,,,,
50%,,2.0,3.0,1.0,,,,,,
75%,,2.75,4.0,7.0,,,,,,
max,,18.0,18.0,14.0,,,,,,
