price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
900000,2.0,3.0,0,84610105,5266,173,Tijarafe,"La Palma, Santa Cruz de Tenerife",1981
79000,1.0,1.0,1,38935496,60,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
180000,2.0,3.0,0,82686512,259,,Breña Alta,"La Palma, Santa Cruz de Tenerife",
250000,2.0,3.0,2,81855630,2000,120,Villa de Mazo,"La Palma, Santa Cruz de Tenerife",
125000,2.0,3.0,1,36330457,82,73,Breña Baja,"La Palma, Santa Cruz de Tenerife",
70000,1.0,2.0,0,29988909,170,,Villa de Mazo,"La Palma, Santa Cruz de Tenerife",
85000,1.0,2.0,1,33513302,60,,Breña Baja,"La Palma, Santa Cruz de Tenerife",
85000,1.0,2.0,1,37959684,60,59,Breña Baja,"La Palma, Santa Cruz de Tenerife",
96000,1.0,2.0,1,322435,50,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
150000,2.0,4.0,1,81399131,111,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
135000,2.0,3.0,1,35107720,87,78,Breña Alta,"La Palma, Santa Cruz de Tenerife",
40000,0.0,7.0,3,37610559,1368,94,Garafia,"La Palma, Santa Cruz de Tenerife",
180000,2.0,3.0,4,37864965,187,,San Andrés y Sauces,"La Palma, Santa Cruz de Tenerife",
138000,1.0,3.0,5,38506871,104,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
160000,2.0,3.0,1,81699812,120,107,Santa Cruz de la Palma,"La Palma, Santa Cruz de Tenerife",
115000,1.0,3.0,2,82118909,300,90,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
140000,1.0,3.0,0,450940,438,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
350000,1.0,2.0,0,81534225,100,,Tazacorte,"La Palma, Santa Cruz de Tenerife",
200000,2.0,4.0,1,36261493,209,,Santa Cruz de la Palma,"La Palma, Santa Cruz de Tenerife",
180000,2.0,3.0,1,37791396,111,,Santa Cruz de la Palma,"La Palma, Santa Cruz de Tenerife",
263000,2.0,4.0,0,38484848,8000,150,Villa de Mazo,"La Palma, Santa Cruz de Tenerife",
71000,2.0,5.0,0,81298653,2800,,Los Llanos de Aridane,"La Palma, Santa Cruz de Tenerife",
330000,5.0,6.0,0,26011071,400,80,Villa de Mazo,"La Palma, Santa Cruz de Tenerife",
150000,3.0,8.0,1,31302287,160,157,San Andrés y Sauces,"La Palma, Santa Cruz de Tenerife",
250000,2.0,4.0,0,82585247,1800,250,Breña Alta,"La Palma, Santa Cruz de Tenerife",
160000,2.0,3.0,0,82687204,2200,250,Breña Alta,"La Palma, Santa Cruz de Tenerife",
110000,2.0,4.0,0,83737734,110,,Santa Cruz de la Palma,"La Palma, Santa Cruz de Tenerife",2000
150000,1.0,3.0,0,84304593,123,,Breña Alta,"La Palma, Santa Cruz de Tenerife",
