,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1529,1529.0,1529.0,1529.0,1529,1529,722,1529,1529,412
unique,386,,,,1527,383,177,99,5,75
top,120000,,,,house_id,100,100,Segovia,"Área de Segovia, Segovia",2005
freq,36,,,,3,42,37,613,613,22
mean,,1.8567691301504252,3.3217789404839766,2.0843688685415303,,,,,,
std,,1.856718457115691,2.0541881559137956,2.855154750479782,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,0.0,,,,,,
50%,,2.0,3.0,1.0,,,,,,
75%,,2.0,4.0,3.0,,,,,,
max,,58.0,58.0,18.0,,,,,,
