price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
60000,1.0,3.0,0,39706574,75,,Riaza,"Área de Riaza, Segovia",
50000,1.0,3.0,0,81339547,90,80,Riaza,"Área de Riaza, Segovia",
65000,1.0,3.0,1,81912382,50,78,Campo de San Pedro,"Área de Riaza, Segovia",
160000,2.0,3.0,2,82077546,2500,,Fresno de Cantespino,"Área de Riaza, Segovia",
59000,1.0,4.0,0,28623289,71,70,Riaza,"Área de Riaza, Segovia",
650000,12.0,7.0,3,81380097,26000,500,Fresno de Cantespino,"Área de Riaza, Segovia",2006
70000,1.0,1.0,0,1630474,65,59,Riaza,"Área de Riaza, Segovia",
60000,1.0,3.0,2,32309944,77,,Aldeanueva de la Serrezuela,"Área de Riaza, Segovia",
160000,2.0,3.0,2,82600999,131,,Fresno de Cantespino,"Área de Riaza, Segovia",
39000,1.0,3.0,4,1809006,181,,Fresno de Cantespino,"Área de Riaza, Segovia",
97000,2.0,3.0,5,32945844,138,,Campo de San Pedro,"Área de Riaza, Segovia",
185000,2.0,4.0,2,81317280,2500,,Fresno de Cantespino,"Área de Riaza, Segovia",1999
185000,2.0,3.0,0,40094872,90,,Riaza,"Área de Riaza, Segovia",
30000,1.0,3.0,1,82800937,40,,Moral de Hornuez,"Área de Riaza, Segovia",
165000,2.0,3.0,2,84464729,2500,,Fresno de Cantespino,"Área de Riaza, Segovia",
76000,1.0,2.0,0,30089506,87,63,Riaza,"Área de Riaza, Segovia",
120000,1.0,3.0,2,37834451,1394,,Fresno de Cantespino,"Área de Riaza, Segovia",
30000,1.0,3.0,1,83296967,47,,Ayllon,"Área de Riaza, Segovia",
160000,3.0,3.0,0,27406647,160,130,Riaza,"Área de Riaza, Segovia",
79000,1.0,1.0,0,34412993,73,,Riaza,"Área de Riaza, Segovia",
155000,2.0,3.0,0,82560881,105,90,Riaza,"Área de Riaza, Segovia",
65000,1.0,1.0,0,1638759,43,37,Riaza,"Área de Riaza, Segovia",
165000,2.0,4.0,5,1686872,40,100,Ayllon,"Área de Riaza, Segovia",
140000,1.0,2.0,0,1808455,89,87,Riaza,"Área de Riaza, Segovia",
95000,1.0,2.0,6,2089431,81,67,Riaza,"Área de Riaza, Segovia",
25000,1.0,4.0,1,34399835,800,,Ayllon,"Área de Riaza, Segovia",
99990,2.0,7.0,1,37359285,500,,Ayllon,"Área de Riaza, Segovia",
30000,1.0,5.0,1,37711649,250,,Cedillo de la Torre,"Área de Riaza, Segovia",
159000,2.0,3.0,2,31470636,2500,120,Fresno de Cantespino,"Área de Riaza, Segovia",
18000,1.0,5.0,1,40236623,148,,Moral de Hornuez,"Área de Riaza, Segovia",
110000,1.0,2.0,0,81353514,73,,Riaza,"Área de Riaza, Segovia",
100000,2.0,3.0,4,423203,145,,Fresno de Cantespino,"Área de Riaza, Segovia",
350000,3.0,5.0,2,32299077,300,,Ayllon,"Área de Riaza, Segovia",
105000,1.0,2.0,0,34428227,90,,Riaza,"Área de Riaza, Segovia",
60000,2.0,2.0,6,35025456,73,60,Riaza,"Área de Riaza, Segovia",1992
153000,2.0,3.0,7,81733344,727,96,Riaza,"Área de Riaza, Segovia",1982
98000,4.0,4.0,2,83756150,235,,Fresno de Cantespino,"Área de Riaza, Segovia",
53200,1.0,4.0,0,81871088,122,100,Campo de San Pedro,"Área de Riaza, Segovia",
136900,1.0,2.0,0,81947166,115,91,Riaza,"Área de Riaza, Segovia",
150000,2.0,3.0,0,1728850,100,90,Riaza,"Área de Riaza, Segovia",
65600,1.0,1.0,0,1741274,64,58,Riaza,"Área de Riaza, Segovia",
119000,2.0,3.0,2,378113,111,,Riaza,"Área de Riaza, Segovia",2012
39000,1.0,4.0,2,1884639,270,220,Alconada de Maderuelo,"Área de Riaza, Segovia",
160000,2.0,4.0,4,1894321,150,,Ayllon,"Área de Riaza, Segovia",
200000,3.0,5.0,4,1905987,161,,Riaza,"Área de Riaza, Segovia",
90000,2.0,3.0,8,1966213,82,,Riaza,"Área de Riaza, Segovia",
60000,1.0,5.0,8,2084151,200,,Campo de San Pedro,"Área de Riaza, Segovia",
52000,1.0,6.0,2,2135785,110,,Fresno de Cantespino,"Área de Riaza, Segovia",
68000,1.0,1.0,0,26152470,50,45,Riaza,"Área de Riaza, Segovia",
115000,2.0,2.0,6,1750531,92,75,Riaza,"Área de Riaza, Segovia",
155500,2.0,3.0,5,26614946,507,100,Riaza,"Área de Riaza, Segovia",
65000,1.0,3.0,1,27130107,400,100,Riaguas de San Bartolomé,"Área de Riaza, Segovia",
155000,2.0,3.0,0,27803829,105,95,Riaza,"Área de Riaza, Segovia",
67995,2.0,3.0,5,28908523,64,92,Campo de San Pedro,"Área de Riaza, Segovia",
225000,3.0,4.0,4,29019686,100,,Riaguas de San Bartolomé,"Área de Riaza, Segovia",
125000,1.0,1.0,0,29148737,55,,Riaza,"Área de Riaza, Segovia",
90000,1.0,2.0,0,29393113,90,85,Riaza,"Área de Riaza, Segovia",
19000,0.0,1.0,3,29989588,150,200,Ayllon,"Área de Riaza, Segovia",
165000,2.0,4.0,4,30068853,138,,Ayllon,"Área de Riaza, Segovia",
250000,1.0,3.0,3,31125621,2400,,Aldealengua de Santa Maria,"Área de Riaza, Segovia",
159000,2.0,3.0,0,33023568,107,90,Riaza,"Área de Riaza, Segovia",
90000,1.0,2.0,0,33983228,70,,Riaza,"Área de Riaza, Segovia",
155000,2.0,4.0,7,83783171,141,,Riaza,"Área de Riaza, Segovia",
165000,3.0,3.0,4,25473733,20,,Riaza,"Área de Riaza, Segovia",
45000,1.0,1.0,0,33385342,42,40,Riaza,"Área de Riaza, Segovia",
80000,2.0,3.0,0,36698250,77,,Riaza,"Área de Riaza, Segovia",
75000,1.0,1.0,6,81222241,50,45,Riaza,"Área de Riaza, Segovia",
98900,1.0,1.0,0,83451091,75,56,Riaza,"Área de Riaza, Segovia",
61000,1.0,4.0,0,83729868,105,,Riaza,"Área de Riaza, Segovia",
65000,2.0,4.0,8,83730021,113,,Riaza,"Área de Riaza, Segovia",
100000,3.0,3.0,4,84532506,160,,Riaza,"Área de Riaza, Segovia",
80000,1.0,1.0,0,84641579,75,56,Riaza,"Área de Riaza, Segovia",
148900,1.0,2.0,0,84641580,130,99,Riaza,"Área de Riaza, Segovia",
69000,1.0,1.0,0,346027,49,,Riaza,"Área de Riaza, Segovia",
160000,1.0,6.0,4,2017755,253,,Maderuelo,"Área de Riaza, Segovia",
159000,2.0,4.0,2,25513552,1000,,Fresno de Cantespino,"Área de Riaza, Segovia",
155000,1.0,2.0,0,25966737,85,80,Riaza,"Área de Riaza, Segovia",
240000,2.0,3.0,2,26849523,2500,,Fresno de Cantespino,"Área de Riaza, Segovia",
155000,2.0,3.0,0,30456809,97,,Riaza,"Área de Riaza, Segovia",
110000,2.0,3.0,0,30849651,97,,Riaza,"Área de Riaza, Segovia",
65000,1.0,3.0,0,33117583,95,,Riaza,"Área de Riaza, Segovia",
35000,1.0,3.0,2,33217181,160,,Sequera de Fresno,"Área de Riaza, Segovia",
