,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,2863,2863.0,2863.0,2863.0,2863,2863,1229,2863,2863,779,2863.0
unique,725,,,,2858,579,237,25,4,69,
top,120000,,,,house_id,120,90,Mairena del Aljarafe,"Aljarafe, Sevilla",2005,
freq,56,,,,6,95,56,624,1655,56,
mean,,2.1718477121900106,3.5351030387705205,3.4177436255675864,,,,,,,0.5036674816625917
std,,1.6965302410216827,1.7979938879693804,2.796272515398093,,,,,,,0.5000738909211739
min,,0.0,0.0,0.0,,,,,,,0.0
25%,,1.0,3.0,1.0,,,,,,,0.0
50%,,2.0,3.0,3.0,,,,,,,1.0
75%,,3.0,4.0,6.0,,,,,,,1.0
max,,75.0,73.0,14.0,,,,,,,1.0
