price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
212000,3.0,5.0,0,83082391,302,200,Guillena,"Sierra norte, Sevilla",2007,1
280000,3.0,5.0,1,39747404,500,,Almadén de la Plata,"Sierra norte, Sevilla",,1
50000,1.0,2.0,2,81496837,200,,El Pedroso,"Sierra norte, Sevilla",,0
90000,1.0,3.0,2,81791682,200,,Guadalcanal,"Sierra norte, Sevilla",,1
125000,3.0,4.0,3,81884725,120,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
78000,1.0,3.0,3,81928510,150,,La Puebla de los Infantes,"Sierra norte, Sevilla",,0
30000,1.0,2.0,1,82099385,100,,Almadén de la Plata,"Sierra norte, Sevilla",,0
95000,1.0,3.0,2,82119031,134,,Aznalcollar,"Sierra norte, Sevilla",,0
425000,1.0,3.0,4,82612772,15000,,Constantina,"Sierra norte, Sevilla",,0
110000,2.0,4.0,1,82836585,75,,Almadén de la Plata,"Sierra norte, Sevilla",,0
145000,2.0,5.0,5,81845760,800,,Constantina,"Sierra norte, Sevilla",,1
250000,1.0,2.0,5,81919006,30000,,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
85000,2.0,5.0,2,37477539,120,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
95000,1.0,3.0,1,82387079,164,,Aznalcollar,"Sierra norte, Sevilla",,0
16000,1.0,2.0,2,82821786,70,,Guadalcanal,"Sierra norte, Sevilla",,1
380000,3.0,5.0,1,83635448,300,,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
90000,2.0,5.0,2,36676852,124,,El Real de la Jara,"Sierra norte, Sevilla",,0
55000,2.0,4.0,1,82101258,100,,Las Navas de la Concepcion,"Sierra norte, Sevilla",,0
78131,2.0,5.0,1,338528,230,,El Real de la Jara,"Sierra norte, Sevilla",,1
48000,1.0,2.0,2,28979848,120,,Las Navas de la Concepcion,"Sierra norte, Sevilla",,0
90000,1.0,3.0,2,35172125,95,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
19000,1.0,1.0,1,1682351,3000,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,1
570000,3.0,3.0,1,37545550,860,,El Castillo de las Guardas,"Sierra norte, Sevilla",,1
72000,1.0,3.0,6,35147486,240,,La Puebla de los Infantes,"Sierra norte, Sevilla",,0
79000,3.0,4.0,6,379494,97,87,El Garrobo,"Sierra norte, Sevilla",,1
150000,2.0,4.0,1,26856836,100,150,El Castillo de las Guardas,"Sierra norte, Sevilla",,1
100000,1.0,4.0,2,36849155,195,,El Pedroso,"Sierra norte, Sevilla",,0
100000,2.0,3.0,2,38052790,101,,El Castillo de las Guardas,"Sierra norte, Sevilla",,0
95000,2.0,3.0,6,39159978,180,,El Ronquillo,"Sierra norte, Sevilla",,0
115000,2.0,3.0,5,82602079,1000,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
49000,2.0,2.0,2,39951655,90,70,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
32000,1.0,3.0,7,82686914,150,,El Ronquillo,"Sierra norte, Sevilla",1950,0
95000,1.0,3.0,3,1891471,79,73,Constantina,"Sierra norte, Sevilla",,1
56000,1.0,3.0,3,25508294,100,99,Aznalcollar,"Sierra norte, Sevilla",,0
120000,3.0,3.0,6,28354257,160,110,Gerena,"Sierra norte, Sevilla",,1
185000,1.0,3.0,6,32455309,120,,Guadalcanal,"Sierra norte, Sevilla",,1
36000,1.0,2.0,2,32927847,250,80,El Ronquillo,"Sierra norte, Sevilla",,0
80000,1.0,4.0,1,28188725,300,140,El Pedroso,"Sierra norte, Sevilla",,1
165000,2.0,3.0,2,37478817,280,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
265000,2.0,3.0,1,81876823,10000,,Las Navas de la Concepcion,"Sierra norte, Sevilla",,1
150000,1.0,4.0,8,81993051,200,150,El Castillo de las Guardas,"Sierra norte, Sevilla",,1
75000,1.0,2.0,3,82031805,65,,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
175000,2.0,3.0,6,82655760,30,,Guillena,"Sierra norte, Sevilla",,0
78930,2.0,3.0,3,35969161,105,,Guillena,"Sierra norte, Sevilla",2007,0
77000,1.0,2.0,1,27282833,135,130,El Pedroso,"Sierra norte, Sevilla",,0
36000,1.0,2.0,2,34757364,50,,Constantina,"Sierra norte, Sevilla",,0
140000,2.0,4.0,2,35165829,144,,El Castillo de las Guardas,"Sierra norte, Sevilla",,0
165000,2.0,3.0,1,37513639,190,,Aznalcollar,"Sierra norte, Sevilla",,1
95000,1.0,3.0,3,37517558,90,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,1
187000,2.0,4.0,1,28994886,8000,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
80000,1.0,3.0,1,35193227,120,90,El Pedroso,"Sierra norte, Sevilla",,1
48000,1.0,2.0,3,39138566,72,,Guillena,"Sierra norte, Sevilla",,0
260000,1.0,2.0,5,82315168,15000,,Guillena,"Sierra norte, Sevilla",,0
350000,2.0,4.0,5,28634627,30000,140,Guadalcanal,"Sierra norte, Sevilla",,0
55000,1.0,2.0,1,1795389,64,60,El Castillo de las Guardas,"Sierra norte, Sevilla",,0
80000,2.0,4.0,6,313071,120,,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
79000,2.0,2.0,6,1976886,80,,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
65000,1.0,1.0,5,29265702,60,55,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
105000,3.0,3.0,6,29326908,150,149,Gerena,"Sierra norte, Sevilla",,1
118000,3.0,4.0,6,26119106,105,95,Gerena,"Sierra norte, Sevilla",,1
250000,2.0,4.0,1,30302144,1100,180,Guillena,"Sierra norte, Sevilla",,1
80000,2.0,5.0,1,31003250,2500,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
60000,1.0,1.0,8,32433037,1000,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
90000,2.0,4.0,6,33823593,110,90,Cazalla de la Sierra,"Sierra norte, Sevilla",,0
90000,2.0,3.0,6,34326211,180,160,Gerena,"Sierra norte, Sevilla",,0
120000,2.0,4.0,2,35173848,172,,Almadén de la Plata,"Sierra norte, Sevilla",,0
170000,2.0,4.0,1,402207,60000,,Almadén de la Plata,"Sierra norte, Sevilla",,0
62000,2.0,4.0,6,35241348,50,,El Castillo de las Guardas,"Sierra norte, Sevilla",,0
135000,2.0,4.0,6,35336003,120,,La Puebla de los Infantes,"Sierra norte, Sevilla",,0
100000,2.0,3.0,6,339586,94,,Guillena,"Sierra norte, Sevilla",,0
60000,2.0,3.0,6,25778949,88,83,El Pedroso,"Sierra norte, Sevilla",,0
75000,1.0,3.0,8,37300237,1700,,Guillena,"Sierra norte, Sevilla",,0
75000,1.0,3.0,2,37487927,130,,Aznalcollar,"Sierra norte, Sevilla",,0
70000,2.0,3.0,1,37528724,121,,Constantina,"Sierra norte, Sevilla",,1
95000,1.0,3.0,2,37562298,100,,Aznalcollar,"Sierra norte, Sevilla",,0
130000,1.0,5.0,2,37577058,200,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
250000,2.0,4.0,2,37587446,200,,Aznalcollar,"Sierra norte, Sevilla",,0
100000,1.0,2.0,2,37682174,170,,El Garrobo,"Sierra norte, Sevilla",,0
65000,1.0,3.0,2,30775035,125,,Guadalcanal,"Sierra norte, Sevilla",,0
150000,2.0,6.0,1,38068231,332,,Cazalla de la Sierra,"Sierra norte, Sevilla",,1
90000,2.0,4.0,2,38560817,170,,Aznalcollar,"Sierra norte, Sevilla",,0
132000,3.0,4.0,6,39290703,150,,Gerena,"Sierra norte, Sevilla",,1
110000,2.0,3.0,8,40399302,125,120,Cazalla de la Sierra,"Sierra norte, Sevilla",,1
240000,2.0,3.0,5,40480690,55000,,Gerena,"Sierra norte, Sevilla",,0
100000,2.0,3.0,3,36141506,120,100,Constantina,"Sierra norte, Sevilla",,0
65000,1.0,3.0,2,82045355,80,,Almadén de la Plata,"Sierra norte, Sevilla",,0
215000,1.0,3.0,5,82056162,105,,El Madroño,"Sierra norte, Sevilla",,0
180000,2.0,2.0,1,82430175,150,,Guillena,"Sierra norte, Sevilla",,0
45000,1.0,2.0,2,82501594,60,,Constantina,"Sierra norte, Sevilla",,0
72000,1.0,3.0,6,82539721,120,,El Pedroso,"Sierra norte, Sevilla",,0
26000,2.0,4.0,5,82540906,1550,,Castilblanco de los Arroyos,"Sierra norte, Sevilla",,0
125000,3.0,5.0,2,34245532,216,,Las Navas de la Concepcion,"Sierra norte, Sevilla",,0
210000,1.0,4.0,1,37199569,1200,,El Castillo de las Guardas,"Sierra norte, Sevilla",,1
