,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,109,109.0,109.0,109.0,109,109,64,109,109,16,109.0
unique,44,,,,109,54,39,29,4,13,
top,550,,,,85034335,60,90,Soria,"Área de Soria, Soria",2003,
freq,9,,,,1,8,5,45,54,3,
mean,,1.9541284403669725,3.165137614678899,15.055045871559633,,,,,,,0.3302752293577982
std,,1.786706680215894,1.5426874186391717,1.725810933302355,,,,,,,0.4724844867443451
min,,1.0,1.0,14.0,,,,,,,0.0
25%,,1.0,2.0,14.0,,,,,,,0.0
50%,,2.0,3.0,14.0,,,,,,,0.0
75%,,2.0,4.0,16.0,,,,,,,1.0
max,,15.0,11.0,21.0,,,,,,,1.0
