price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
470,2.0,1.0,14,85034335,60,55,Soria,"Área de Soria, Soria",,0
325,1.0,1.0,15,81333035,45,,Golmayo,"Área de Soria, Soria",,1
320,1.0,2.0,14,83180154,110,,Medinaceli,"Almazán, Soria",,0
550,2.0,3.0,14,83711122,98,89,Soria,"Área de Soria, Soria",,0
600,2.0,3.0,14,82718673,100,88,Soria,"Área de Soria, Soria",,1
450,1.0,3.0,14,30158852,85,79,Soria,"Área de Soria, Soria",,0
300,1.0,2.0,14,25033253,73,67,Arcos de Jalon,"Almazán, Soria",,0
340,2.0,4.0,14,83262462,110,90,Navaleno,"Pinares y Tierras Altas, Soria",,1
320,1.0,2.0,14,84379405,78,,San esteban de Gormaz,"Burgo de Osma, Soria",,0
460,1.0,3.0,16,84723763,85,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,0
420,1.0,3.0,14,84908951,100,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,1
600,2.0,4.0,14,83742712,100,90,Soria,"Área de Soria, Soria",,0
440,1.0,4.0,14,83673272,105,,Soria,"Área de Soria, Soria",,0
440,1.0,4.0,14,83554249,105,94,Soria,"Área de Soria, Soria",,0
350,1.0,2.0,14,37656348,50,,Vozmediano,"Área de Soria, Soria",,0
550,1.0,3.0,14,84944653,80,,Soria,"Área de Soria, Soria",,0
630,1.0,4.0,14,83673271,95,,Soria,"Área de Soria, Soria",,0
1700,2.0,5.0,17,25642162,220,210,Molinos de Duero,"Pinares y Tierras Altas, Soria",,0
320,1.0,1.0,14,28656377,50,45,Agreda,"Área de Soria, Soria",,0
475,2.0,4.0,14,34294609,95,90,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,1
300,2.0,5.0,16,39984462,300,,Berlanga de Duero,"Almazán, Soria",,1
300,2.0,3.0,14,32058785,90,,Covaleda,"Pinares y Tierras Altas, Soria",,1
300,1.0,3.0,14,39717380,80,,Navaleno,"Pinares y Tierras Altas, Soria",,1
1000,2.0,4.0,16,82190571,100,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",2003,1
700,2.0,4.0,16,27176711,400,140,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,1
450,2.0,4.0,16,83944204,140,,Navaleno,"Pinares y Tierras Altas, Soria",,0
400,1.0,3.0,14,84219427,74,70,Soria,"Área de Soria, Soria",,0
350,2.0,3.0,17,33224746,170,,Almazan,"Almazán, Soria",,0
289,2.0,3.0,14,1814432,100,,San Leonardo de Yague,"Pinares y Tierras Altas, Soria",,0
980,2.0,4.0,14,1884906,150,130,Soria,"Área de Soria, Soria",,1
550,1.0,2.0,14,2039774,88,69,Soria,"Área de Soria, Soria",,0
1000,3.0,3.0,18,25093027,360,110,Cidones,"Área de Soria, Soria",,0
450,2.0,1.0,14,25832613,60,55,Soria,"Área de Soria, Soria",,1
550,2.0,3.0,14,2030275,120,90,Soria,"Área de Soria, Soria",,1
400,2.0,4.0,14,28384015,94,90,San Leonardo de Yague,"Pinares y Tierras Altas, Soria",,1
300,1.0,3.0,14,30318974,90,85,San Leonardo de Yague,"Pinares y Tierras Altas, Soria",,0
390,2.0,2.0,14,84476809,78,,Vinuesa,"Pinares y Tierras Altas, Soria",,1
300,1.0,3.0,14,82076470,75,,Arcos de Jalon,"Almazán, Soria",,0
600,2.0,4.0,14,34999924,115,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,0
250,1.0,4.0,14,38340761,100,,Navaleno,"Pinares y Tierras Altas, Soria",,0
350,2.0,3.0,18,1796463,60,100,Valdenebro,"Burgo de Osma, Soria",,0
725,2.0,3.0,14,1860732,120,100,Soria,"Área de Soria, Soria",,1
