,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,1264,1264.0,1264.0,1264.0,1264,1264,617,1264,1264,233,1264.0
unique,334,,,,1262,295,162,123,5,66,
top,120000,,,,house_id,100,90,Soria,"Área de Soria, Soria",2008,
freq,32,,,,3,47,30,436,642,12,
mean,,1.7349683544303798,3.4651898734177213,1.9944620253164558,,,,,,,0.33939873417721517
std,,1.2083813921370872,1.6916890495608528,3.000522682650991,,,,,,,0.47369267779773444
min,,0.0,0.0,0.0,,,,,,,0.0
25%,,1.0,3.0,0.0,,,,,,,0.0
50%,,2.0,3.0,0.0,,,,,,,0.0
75%,,2.0,4.0,3.0,,,,,,,1.0
max,,17.0,16.0,13.0,,,,,,,1.0
