price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
36700,1.0,3.0,0,85016959,82,,Almazan,"Almazán, Soria",,0
12000,0.0,4.0,1,341277,210,,Monteagudo de las Vicarias,"Almazán, Soria",,0
60000,2.0,4.0,0,29441395,99,,Soria,"Área de Soria, Soria",,0
49500,1.0,4.0,1,35627682,110,,Arcos de Jalon,"Almazán, Soria",,0
60000,2.0,6.0,1,82854038,240,,San Pedro Manrique,"Pinares y Tierras Altas, Soria",,0
145000,2.0,3.0,0,37170443,90,,Almazan,"Almazán, Soria",,0
15000,1.0,2.0,2,81317118,250,67,Santa Maria de Huerta,"Almazán, Soria",,0
98000,1.0,2.0,0,82155153,74,69,Golmayo,"Área de Soria, Soria",,0
49000,1.0,5.0,1,39553780,350,250,Olvega,"Área de Soria, Soria",1920,0
20000,1.0,4.0,3,81536123,195,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,0
720000,2.0,5.0,1,355316,298,,Soria,"Área de Soria, Soria",,1
100000,1.0,2.0,0,29185415,70,,Berlanga de Duero,"Almazán, Soria",,0
150000,2.0,4.0,1,29227408,300,,Medinaceli,"Almazán, Soria",,1
150000,2.0,3.0,0,29477121,107,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,0
139000,3.0,4.0,1,81247327,200,,San Leonardo de Yague,"Pinares y Tierras Altas, Soria",,1
40000,2.0,4.0,1,81987826,88,,Soria,"Área de Soria, Soria",,0
210000,2.0,4.0,1,82408876,385,,Burgo de Osma-Ciudad de Osma,"Burgo de Osma, Soria",,1
50000,2.0,4.0,0,82546729,92,,Vinuesa,"Pinares y Tierras Altas, Soria",,0
36000,3.0,3.0,3,31371763,120,,Espejon,"Burgo de Osma, Soria",,0
38000,2.0,5.0,3,29048173,280,,Calatañazor,"Área de Soria, Soria",,0
18000,1.0,6.0,3,38300670,146,145,Rioseco de Soria,"Pinares y Tierras Altas, Soria",,0
48000,1.0,3.0,0,38645190,78,76,Navaleno,"Pinares y Tierras Altas, Soria",,0
175000,4.0,8.0,1,1850450,417,,Vinuesa,"Pinares y Tierras Altas, Soria",,0
55000,1.0,4.0,0,28490476,120,110,Almazan,"Almazán, Soria",,0
36000,1.0,4.0,1,26786978,140,100,Muriel Viejo,"Pinares y Tierras Altas, Soria",,0
60000,1.0,3.0,1,1898650,212,,San esteban de Gormaz,"Burgo de Osma, Soria",,1
85000,1.0,0.0,4,35791499,50,45,Golmayo,"Área de Soria, Soria",,1
10000,1.0,5.0,5,81164676,150,,Fuentestrun,"Área de Soria, Soria",,0
25000,2.0,5.0,3,32048550,210,180,Olvega,"Área de Soria, Soria",,0
10000,1.0,5.0,3,82800084,120,,Soria,"Área de Soria, Soria",,0
140000,2.0,5.0,1,393596,300,,Baraona,"Almazán, Soria",,1
100000,2.0,1.0,0,33897221,55,,Vinuesa,"Pinares y Tierras Altas, Soria",,1
160000,0.0,0.0,6,34086484,700,,Yanguas,"Pinares y Tierras Altas, Soria",,0
120000,2.0,6.0,3,36950440,260,,Fuentearmegil,"Burgo de Osma, Soria",,0
120000,1.0,3.0,7,37737898,114,,Quintana Redonda,"Área de Soria, Soria",,0
85000,2.0,3.0,0,39742761,80,,Soria,"Área de Soria, Soria",,0
110000,2.0,4.0,8,81232871,90,,Soria,"Área de Soria, Soria",,1
