,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,1404,1404.0,1404.0,1404.0,1404,1404,799,1404,1404,601
unique,455,,,,1402,281,145,12,4,85
top,70000,,,,house_id,100,90,Sagunto/Sagunt,"Valencia, València",1970
freq,26,,,,3,61,52,664,676,27
mean,,1.665954415954416,3.2528490028490027,2.6018518518518516,,,,,,
std,,0.8944003438686424,1.1585741611776084,2.52492001597843,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,2.0,,,,,,
50%,,2.0,3.0,2.0,,,,,,
75%,,2.0,4.0,2.0,,,,,,
max,,13.0,15.0,14.0,,,,,,
