price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
67500,1.0,4.0,0,84926697,80,162,Ademuz,"El Rincón de Ademuz, València",
60000,2.0,5.0,1,374094,176,,Casas Bajas,"El Rincón de Ademuz, València",
18000,1.0,3.0,1,28228285,55,,Ademuz,"El Rincón de Ademuz, València",
60000,1.0,4.0,2,82134694,105,,Ademuz,"El Rincón de Ademuz, València",
10000,1.0,3.0,3,29512920,50,,Castielfabib,"El Rincón de Ademuz, València",
30000,2.0,4.0,3,31356811,160,,Vallanca,"El Rincón de Ademuz, València",
49000,2.0,5.0,3,31122802,78,,Ademuz,"El Rincón de Ademuz, València",
50000,1.0,1.0,3,36189350,312,,Vallanca,"El Rincón de Ademuz, València",
30000,1.0,3.0,4,83622908,180,,Ademuz,"El Rincón de Ademuz, València",
60000,1.0,5.0,3,31165754,132,,Castielfabib,"El Rincón de Ademuz, València",
12000,1.0,3.0,3,82772225,70,,Ademuz,"El Rincón de Ademuz, València",
43000,2.0,8.0,3,35984677,960,,Ademuz,"El Rincón de Ademuz, València",
10000,3.0,5.0,5,81995480,150,140,Casas Bajas,"El Rincón de Ademuz, València",1911
25000,0.0,0.0,6,27202865,210,,Vallanca,"El Rincón de Ademuz, València",
168000,3.0,5.0,7,33012300,120,,Ademuz,"El Rincón de Ademuz, València",
75000,1.0,7.0,3,39664573,440,,Ademuz,"El Rincón de Ademuz, València",
140000,2.0,4.0,1,28995561,190,,Casas Bajas,"El Rincón de Ademuz, València",
64900,1.0,2.0,2,32918637,60,55,Torre Baja,"El Rincón de Ademuz, València",
40000,0.0,1.0,8,31475230,55,,Castielfabib,"El Rincón de Ademuz, València",
64900,1.0,2.0,2,38244577,60,55,Torre Baja,"El Rincón de Ademuz, València",
88000,3.0,4.0,3,81887277,165,150,Ademuz,"El Rincón de Ademuz, València",2010
36000,1.0,5.0,3,82193441,230,,Ademuz,"El Rincón de Ademuz, València",
25000,1.0,5.0,3,82262164,138,,Casas Bajas,"El Rincón de Ademuz, València",
54900,1.0,2.0,2,83166947,60,,Torre Baja,"El Rincón de Ademuz, València",
80000,1.0,2.0,9,84191672,4882,,Ademuz,"El Rincón de Ademuz, València",
70000,1.0,4.0,3,83927904,140,120,Castielfabib,"El Rincón de Ademuz, València",
100000,2.0,3.0,3,39026944,193,,Torre Baja,"El Rincón de Ademuz, València",
12000,1.0,3.0,3,39504587,250,,Ademuz,"El Rincón de Ademuz, València",
22000,2.0,6.0,3,84079931,90,,Ademuz,"El Rincón de Ademuz, València",
36416,2.0,3.0,10,84718229,154,75,Castielfabib,"El Rincón de Ademuz, València",
9000,1.0,4.0,9,37616367,35,34,Casas Altas,"El Rincón de Ademuz, València",
70000,1.0,4.0,1,81541990,165,,Castielfabib,"El Rincón de Ademuz, València",
70000,1.0,8.0,3,34615634,400,320,Ademuz,"El Rincón de Ademuz, València",
40000,1.0,4.0,7,1769956,122,108,Casas Bajas,"El Rincón de Ademuz, València",
28000,0.0,2.0,3,33897577,108,,Ademuz,"El Rincón de Ademuz, València",
60000,2.0,4.0,3,82175848,450,,Torre Baja,"El Rincón de Ademuz, València",
35000,1.0,4.0,3,81858673,66,,Ademuz,"El Rincón de Ademuz, València",1890
18500,1.0,1.0,10,34215567,189,,Castielfabib,"El Rincón de Ademuz, València",1922
63000,1.0,2.0,2,39662751,65,,Torre Baja,"El Rincón de Ademuz, València",2010
74000,2.0,3.0,1,82089124,104,,Torre Baja,"El Rincón de Ademuz, València",1890
100000,3.0,3.0,4,30820862,130,120,Torre Baja,"El Rincón de Ademuz, València",
18000,1.0,3.0,3,34938973,300,270,Castielfabib,"El Rincón de Ademuz, València",
26000,1.0,2.0,4,35011439,80,,Castielfabib,"El Rincón de Ademuz, València",
14000,2.0,3.0,4,35062201,103,,Casas Bajas,"El Rincón de Ademuz, València",
93000,2.0,6.0,4,37927842,329,241,Castielfabib,"El Rincón de Ademuz, València",1985
40000,1.0,4.0,4,36523150,90,,Castielfabib,"El Rincón de Ademuz, València",1980
73000,1.0,5.0,1,82906629,100,,Castielfabib,"El Rincón de Ademuz, València",
50000,2.0,3.0,1,82950686,158,,Castielfabib,"El Rincón de Ademuz, València",1989
628300,2.0,4.0,1,82439166,14000,,Casas Altas,"El Rincón de Ademuz, València",
55000,1.0,2.0,10,84159755,120,90,Ademuz,"El Rincón de Ademuz, València",1890
7480,1.0,5.0,4,37830549,135,37,Ademuz,"El Rincón de Ademuz, València",
89000,2.0,4.0,3,30912095,300,210,Castielfabib,"El Rincón de Ademuz, València",
50000,2.0,2.0,11,32622177,118,,Casas Bajas,"El Rincón de Ademuz, València",
31000,2.0,3.0,9,40226426,200,,Castielfabib,"El Rincón de Ademuz, València",
110000,3.0,4.0,1,40376511,190,,Torre Baja,"El Rincón de Ademuz, València",
77000,2.0,5.0,10,81475073,172,,Castielfabib,"El Rincón de Ademuz, València",1992
45000,2.0,2.0,4,35742147,20,140,Castielfabib,"El Rincón de Ademuz, València",
97000,2.0,4.0,1,84771355,403,,Castielfabib,"El Rincón de Ademuz, València",2007
68000,1.0,2.0,9,34246067,80,70,Ademuz,"El Rincón de Ademuz, València",
75000,2.0,5.0,3,30131464,300,234,Vallanca,"El Rincón de Ademuz, València",
20000,1.0,3.0,11,40179860,99,92,Castielfabib,"El Rincón de Ademuz, València",
price,0.0,0.0,12,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
82500,2.0,4.0,2,84465066,135,126,Sagunto/Sagunt,"Camp de Morvedre, València",
175000,2.0,7.0,1,348494,200,,Sagunto/Sagunt,"Camp de Morvedre, València",
