,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
count,2652,2652.0,2652.0,2652.0,2652,2652,1295,2652,2652,951
unique,726,,,,2645,471,228,13,6,73
top,120000,,,,house_id,100,70,Dos Hermanas,"Área Metropolitana, Sevilla",2007
freq,48,,,,8,77,56,1147,1147,76
mean,,1.916289592760181,3.243212669683258,2.4506033182503772,,,,,,
std,,0.9062872494391327,1.2442440585650185,3.0100127786203608,,,,,,
min,,0.0,0.0,0.0,,,,,,
25%,,1.0,3.0,1.0,,,,,,
50%,,2.0,3.0,1.0,,,,,,
75%,,2.0,4.0,4.0,,,,,,
max,,8.0,10.0,14.0,,,,,,
