price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
199000,2.0,4.0,0,84854870,150,110,Valladolid,"Área Metropolitana Valladolid, Valladolid",1986
105000,1.0,2.0,1,84327681,100,,Valladolid,"Área Metropolitana Valladolid, Valladolid",
78700,1.0,2.0,1,82661082,75,59,Valladolid,"Área Metropolitana Valladolid, Valladolid",
140000,2.0,3.0,2,83970730,153,,Valladolid,"Área Metropolitana Valladolid, Valladolid",
145000,1.0,2.0,3,38891523,50,,Valladolid,"Área Metropolitana Valladolid, Valladolid",
179000,2.0,3.0,0,82590316,30,160,Valladolid,"Área Metropolitana Valladolid, Valladolid",
135000,1.0,2.0,4,84409803,136,90,Valladolid,"Área Metropolitana Valladolid, Valladolid",
105000,2.0,2.0,5,83938035,90,70,Valladolid,"Área Metropolitana Valladolid, Valladolid",
price,0.0,0.0,6,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date
115000,2.0,3.0,1,85029925,125,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
130000,2.0,3.0,1,412733,110,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
56000,1.0,3.0,1,82806156,87,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
100000,2.0,3.0,0,36614336,95,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
120000,2.0,2.0,0,82708714,80,75,Sanlúcar la Mayor,"Aljarafe, Sevilla",
250000,3.0,4.0,7,34611646,160,,Olivares,"Aljarafe, Sevilla",
75000,1.0,4.0,7,82546830,200,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
110000,2.0,3.0,0,1767981,110,85,Albaida del Aljarafe,"Aljarafe, Sevilla",
67000,1.0,0.0,8,38512705,60,56,Olivares,"Aljarafe, Sevilla",
270000,3.0,5.0,4,31991206,2517,,Sanlúcar la Mayor,"Aljarafe, Sevilla",
360000,2.0,4.0,4,27769686,590,589,Sanlúcar la Mayor,"Aljarafe, Sevilla",
130000,2.0,3.0,0,30645012,144,86,Albaida del Aljarafe,"Aljarafe, Sevilla",
150000,3.0,4.0,4,1826775,200,,Olivares,"Aljarafe, Sevilla",
