,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,163,163.0,163.0,163.0,163,163,111,163,163,31,163.0
unique,47,,,,163,75,52,29,8,19,
top,450,,,,81670307,80,90,Zamora,"Área de Zamora, Zamora",2008,
freq,22,,,,1,11,8,89,104,7,
mean,,1.50920245398773,2.8588957055214723,15.809815950920246,,,,,,,0.38650306748466257
std,,0.6021371214934025,1.011521898321491,1.5094441264436087,,,,,,,0.4884487080775536
min,,1.0,1.0,15.0,,,,,,,0.0
25%,,1.0,2.0,15.0,,,,,,,0.0
50%,,1.0,3.0,15.0,,,,,,,0.0
75%,,2.0,3.0,16.0,,,,,,,1.0
max,,3.0,6.0,22.0,,,,,,,1.0
