price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
320,1.0,1.0,15,81670307,60,,Zamora,"Área de Zamora, Zamora",,1
360,2.0,4.0,15,83217510,110,,Zamora,"Área de Zamora, Zamora",,0
350,2.0,3.0,16,83235101,130,,San Cristobal de Entreviñas,"Benavente, Zamora",,1
400,2.0,3.0,17,83628506,135,,Fuentesauco,"Tierra del Vino - La Guareña, Zamora",,1
450,2.0,3.0,15,83888721,77,,Zamora,"Área de Zamora, Zamora",,0
280,1.0,3.0,15,81773102,68,,Benavente,Zamora,,0
420,2.0,3.0,18,29031417,109,90,Zamora,"Área de Zamora, Zamora",,0
280,1.0,1.0,15,25248195,60,55,Villalpando,"Tierra de Campos, Zamora",,1
400,1.0,1.0,15,27375396,50,45,Zamora,"Área de Zamora, Zamora",,1
450,1.0,3.0,15,83774333,80,78,Zamora,"Área de Zamora, Zamora",,0
620,3.0,3.0,17,29423829,50,,Galende,"Sanabria, Zamora",,1
350,2.0,2.0,18,34326116,75,68,Galende,"Sanabria, Zamora",,0
375,1.0,2.0,15,39988389,80,60,Bermillo de Sayago,"Área de Sayago, Zamora",,1
350,2.0,3.0,17,326309,100,,El Cubo de Tierra del Vino,"Tierra del Vino - La Guareña, Zamora",,0
600,2.0,3.0,15,39669159,90,,Zamora,"Área de Zamora, Zamora",,1
550,3.0,5.0,17,84450771,174,,Zamora,"Área de Zamora, Zamora",,1
300,1.0,3.0,15,84661957,90,,Toro,"Alfoz de Toro, Zamora",,0
350,2.0,3.0,15,84659891,84,,Benavente,Zamora,,0
400,1.0,3.0,15,84738159,85,,Zamora,"Área de Zamora, Zamora",,0
400,1.0,3.0,15,84814121,98,,Benavente,Zamora,,0
460,1.0,4.0,15,83063744,104,,Zamora,"Área de Zamora, Zamora",,0
300,2.0,3.0,15,27965720,105,90,Monfarracinos,"Área de Zamora, Zamora",,1
400,2.0,3.0,15,84945403,100,,Benavente,Zamora,,1
450,1.0,4.0,15,35988968,101,90,Zamora,"Área de Zamora, Zamora",1975,0
450,1.0,4.0,15,35988970,101,90,Zamora,"Área de Zamora, Zamora",1975,0
400,1.0,2.0,18,81797008,72,58,Morales del Vino,"Área de Zamora, Zamora",2008,1
450,2.0,3.0,15,81814806,104,84,Morales del Vino,"Área de Zamora, Zamora",2008,1
450,2.0,3.0,15,81814807,83,67,Morales del Vino,"Área de Zamora, Zamora",2008,1
450,2.0,3.0,15,81814808,81,66,Morales del Vino,"Área de Zamora, Zamora",2008,1
385,1.0,1.0,15,83176478,51,50,Zamora,"Área de Zamora, Zamora",,0
450,1.0,3.0,15,83271953,96,80,Zamora,"Área de Zamora, Zamora",,0
380,2.0,4.0,15,38182187,110,95,Zamora,"Área de Zamora, Zamora",1985,1
400,1.0,3.0,15,36300807,84,73,Zamora,"Área de Zamora, Zamora",2003,0
300,2.0,4.0,15,82549773,120,,Benavente,Zamora,,0
350,1.0,3.0,15,82584274,80,,Zamora,"Área de Zamora, Zamora",,0
600,3.0,4.0,15,84272724,180,150,Zamora,"Área de Zamora, Zamora",,1
300,1.0,1.0,15,36836754,60,55,Toro,"Alfoz de Toro, Zamora",,1
300,2.0,3.0,16,39742935,600,120,Villardeciervos,"Sanabria, Zamora",,0
250,2.0,3.0,17,83861025,120,99,Barcial del Barco,"Benavente, Zamora",,1
400,2.0,3.0,17,32532582,200,190,La Hiniesta,"Área de Zamora, Zamora",,1
310,1.0,3.0,15,311725,115,,Monfarracinos,"Área de Zamora, Zamora",,0
450,1.0,4.0,15,27229786,104,95,Zamora,"Área de Zamora, Zamora",1975,0
330,2.0,3.0,15,36458862,115,85,Benavente,Zamora,,0
490,1.0,3.0,15,27229626,120,100,Zamora,"Área de Zamora, Zamora",1989,0
550,2.0,2.0,15,32313780,60,,Zamora,"Área de Zamora, Zamora",2008,1
410,1.0,4.0,15,83221223,128,100,Zamora,"Área de Zamora, Zamora",1978,1
500,2.0,4.0,15,83567046,95,80,Zamora,"Área de Zamora, Zamora",1977,0
380,1.0,3.0,15,39771671,80,75,Zamora,"Área de Zamora, Zamora",,0
450,1.0,3.0,15,84115227,83,,Zamora,"Área de Zamora, Zamora",,0
420,1.0,4.0,15,84132422,113,100,Zamora,"Área de Zamora, Zamora",1988,0
950,3.0,6.0,16,84412834,340,,Zamora,"Área de Zamora, Zamora",,0
585,2.0,4.0,15,84309784,131,111,Zamora,"Área de Zamora, Zamora",,0
275,1.0,2.0,16,1983337,120,50,Cobreros,"Sanabria, Zamora",,1
350,1.0,3.0,15,2099874,80,78,Zamora,"Área de Zamora, Zamora",,0
325,1.0,3.0,17,2102572,150,95,Ferreras de Arriba,"Sanabria, Zamora",,1
400,2.0,2.0,18,2169848,70,,Benavente,Zamora,,1
