,price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
count,3231,3231.0,3231.0,3231.0,3231,3231,2168,3231,3231,1209,3231.0
unique,552,,,,3221,461,246,204,10,86,
top,120000,,,,house_id,100,90,Zamora,"Área de Zamora, Zamora",2008,
freq,88,,,,10,131,129,1556,1870,81,
mean,,1.581553698545342,3.231507273290003,1.7428040854224698,,,,,,,0.38409161250386875
std,,0.9170319265509331,1.474114370169517,2.6672692285869055,,,,,,,0.48645501921780787
min,,0.0,0.0,0.0,,,,,,,0.0
25%,,1.0,3.0,0.0,,,,,,,0.0
50%,,1.0,3.0,0.0,,,,,,,0.0
75%,,2.0,4.0,3.0,,,,,,,1.0
max,,18.0,32.0,23.0,,,,,,,1.0
