price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
63000,1.0,3.0,0,85017409,109,86,Toro,"Alfoz de Toro, Zamora",,0
220000,3.0,4.0,1,81263788,360,,Toro,"Alfoz de Toro, Zamora",,1
60000,1.0,5.0,2,81821822,40,100,Toro,"Alfoz de Toro, Zamora",,0
58000,1.0,3.0,0,40513644,80,,Toro,"Alfoz de Toro, Zamora",,0
35000,1.0,4.0,0,37384103,106,90,Morales de Toro,"Alfoz de Toro, Zamora",,0
90000,1.0,3.0,0,82515883,95,,Toro,"Alfoz de Toro, Zamora",,0
6000,1.0,3.0,3,27417248,380,,Vezdemarban,"Alfoz de Toro, Zamora",,1
55000,1.0,3.0,4,1816196,150,120,Morales de Toro,"Alfoz de Toro, Zamora",,1
68000,2.0,4.0,0,31632389,92,,Toro,"Alfoz de Toro, Zamora",,0
40000,1.0,5.0,2,34030136,110,,Toro,"Alfoz de Toro, Zamora",,1
89000,1.0,2.0,5,2136418,75,65,Toro,"Alfoz de Toro, Zamora",,1
120000,2.0,3.0,0,2155983,80,75,Toro,"Alfoz de Toro, Zamora",,1
30000,1.0,3.0,0,29131617,60,,Morales de Toro,"Alfoz de Toro, Zamora",,0
299000,2.0,5.0,3,36611001,500,,Toro,"Alfoz de Toro, Zamora",,1
60000,1.0,3.0,0,26585523,58,57,Toro,"Alfoz de Toro, Zamora",,0
45000,1.0,4.0,2,82812085,110,,Toro,"Alfoz de Toro, Zamora",,0
91000,2.0,2.0,0,38213836,95,,Toro,"Alfoz de Toro, Zamora",,1
170000,1.0,3.0,3,81887891,6000,,Toro,"Alfoz de Toro, Zamora",,1
25000,2.0,5.0,2,82365794,350,270,Villavendimio,"Alfoz de Toro, Zamora",,1
65000,1.0,3.0,0,82365778,100,85,Toro,"Alfoz de Toro, Zamora",,0
28000,1.0,3.0,2,32977885,30,,Morales de Toro,"Alfoz de Toro, Zamora",,0
90000,2.0,4.0,0,34878931,180,170,Toro,"Alfoz de Toro, Zamora",,0
60000,1.0,3.0,2,82041312,455,,Vezdemarban,"Alfoz de Toro, Zamora",,1
120000,1.0,3.0,2,40097721,473,,Villardondiego,"Alfoz de Toro, Zamora",,1
