ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 29 de marzo,0,0,1.0,0,0,1965.0,no indicado,planta 5ª exterior,0,0,84861203,15,1.0,Vitoria-Gasteiz,Distrito Aranzabela - Aranbizkarra," extremadura , Distrito Aranzabela - Aranbizkarra , Vitoria-Gasteiz , Álava ",extremadura,Álava,95,90.0,2019-03-29,750,0,3.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,1.0,0,0,1993.0,,planta 1ª exterior,0,0,83306410,15,1.0,Vitoria-Gasteiz,Distrito Adurtza," Calle Heraclio Fournier, 33 , Distrito Adurtza , Vitoria-Gasteiz , Álava ","Calle Heraclio Fournier, 33",Álava,89,80.0,2019-03-29,750,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,83537586,15,1.0,Vitoria-Gasteiz,Distrito Lovaina - Aranzabal," Avenida Gasteiz, 50 , Distrito Lovaina - Aranzabal , Vitoria-Gasteiz , Álava ","Avenida Gasteiz, 50",Álava,120,87.0,2019-03-29,1000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,26011638,15,0.0,Labastida,"Calle Marrate, 2"," Calle Marrate, 2 , Labastida , Laguardia-Rioja Alavesa, Álava ",,"Laguardia-Rioja Alavesa, Álava",120,101.0,2019-03-29,1200,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,1993.0,no indicado,bajo exterior,0,0,83624854,15,1.0,Vitoria-Gasteiz,Distrito Armentia - Ciudad Jardín," Calle Maite Zuñiga, 2 , Distrito Armentia - Ciudad Jardín , Vitoria-Gasteiz , Álava ","Calle Maite Zuñiga, 2",Álava,52,87.0,2019-03-29,700,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de febrero,0,0,1.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,84139748,15,0.0,Okondo,"Jandiola Entitatea, 16"," Jandiola Entitatea, 16 , Okondo , Ayala, Álava ",,"Ayala, Álava",80,87.0,2019-03-29,550,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de enero,0,1,5.0,1,0,1993.0,,4 plantas,1,1,84100618,16,1.0,Villabuena de Álava,"Calle Viura, 1"," Calle Viura, 1 , Villabuena de Álava , Laguardia-Rioja Alavesa, Álava ",,"Laguardia-Rioja Alavesa, Álava",360,300.0,2019-03-29,1500,1,4.0,1,1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,1993.0,,bajo exterior,0,0,84737072,15,1.0,Vitoria-Gasteiz,Distrito Zabalgana - Ariznabarra," Gaztelako Atea, 54 , Distrito Zabalgana - Ariznabarra , Vitoria-Gasteiz , Álava ","Gaztelako Atea, 54",Álava,42,41.0,2019-03-29,650,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 12 de febrero,0,0,2.0,1,0,1993.0,en trámite,planta 6ª exterior,0,0,84248636,15,1.0,Vitoria-Gasteiz,Distrito Lakua," Calle Damaso Alonso, 1 , Urb. Estacion , Distrito Lakua , Vitoria-Gasteiz , Álava ",Urb. Estacion,Álava,80,87.0,2019-03-29,800,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 15 de marzo,0,0,2.0,0,0,1993.0,en trámite,planta 2ª,0,0,84684858,15,1.0,Iruña de Oca,Plaza Rita Oraá," Plaza Rita Oraá , Iruña de Oca , Añana, Álava ",,"Añana, Álava",90,87.0,2019-03-29,650,0,3.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
