ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 23 de marzo,0,0,3.0,1,0,,en trámite,,0,1,83122970,0,,Hellín,," , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",414,400,2019-04-12,398000,0,7.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,planta 3ª exterior,0,0,81171345,1,0,Hellín,"Calle Ramón y Cajal, 6"," Calle Ramón y Cajal, 6 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",85,,2019-04-12,55000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,no indicado,planta 1ª exterior,0,0,81204694,1,0,Liétor,"Calle Antonio Rodríguez de Escobar, 8"," Calle Antonio Rodríguez de Escobar, 8 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",125,,2019-04-12,60000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 2ª exterior,0,0,81204698,1,0,Liétor,"Calle Antonio Rodríguez de Escobar, 8"," Calle Antonio Rodríguez de Escobar, 8 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",130,,2019-04-12,50000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 4ª exterior,1,0,82853162,1,1,Hellín,"Calle Melchor de Macanaz, 20"," Calle Melchor de Macanaz, 20 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",96,,2019-04-12,75000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,1,0,369591,2,,Albatana,"Calle la Paz, 16"," Calle la Paz, 16 , Albatana , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",1000,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,1,,,2 plantas,0,0,31532886,3,,Tobarra,"barrio de arriba, 16"," barrio de arriba, 16 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",1500,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,planta 1ª exterior,0,1,39090303,1,0,Ontur,Urb. No," Calle García Lorca, 8 , Urb. No , Ontur , Campo de Hellín, Albacete ","Calle García Lorca, 8","Campo de Hellín, Albacete",70,65,2019-04-12,30000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,1,0,,en trámite,bajo exterior,0,0,2174120,1,0,Hellín,"Calle Buenavista, 24"," Calle Buenavista, 24 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",115,90,2019-04-12,99900,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,,0,0,32193708,2,,Ontur,"Calle pascual abellán, 201"," Calle pascual abellán, 201 , Ontur , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",1035,100,2019-04-12,57000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,en trámite,bajo exterior,0,0,82307310,1,0,Liétor,"Calle las Fontanas, 3"," Calle las Fontanas, 3 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",85,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,28462703,1,0,Hellín,"Calle Sacerdote Ramon Torres, 15"," Calle Sacerdote Ramon Torres, 15 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",82,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,0,0,,no indicado,planta 1ª exterior,1,0,28165635,1,1,Tobarra,"Paseo Príncipe Asturias, 115"," Paseo Príncipe Asturias, 115 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",104,96,2019-04-12,95000,1,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 4ª exterior,0,0,36871421,1,1,Hellín,"Calle Arcipreste Sánchez González, 2"," Calle Arcipreste Sánchez González, 2 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",138,120,2019-04-12,150000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,,0,0,38097970,2,,Hellín,"Polígono Industrial Losilla A, 1"," Polígono Industrial Losilla A, 1 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",120,,2019-04-12,145000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,0,0,82029350,3,,Liétor,"Plaza Mayor, 1"," Plaza Mayor, 1 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",200,,2019-04-12,75000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,0,0,82029353,3,,Liétor,"Puerta Nueva, 49"," Puerta Nueva, 49 , Liétor , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",200,,2019-04-12,40000,0,4.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 3ª exterior,0,0,82549770,1,1,Hellín,"Carretera Murcia, 4"," Carretera Murcia, 4 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",93,,2019-04-12,122000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,bajo exterior,1,0,29604115,1,1,Hellín,"Calle Hospital, 4"," Calle Hospital, 4 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",75,,2019-04-12,85000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,no indicado,1 planta,1,1,1766858,2,,Hellín,"Calle Escunatas, 1"," Calle Escunatas, 1 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",26000,190,2019-04-12,250000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,planta 3ª exterior,1,0,30840060,1,1,Hellín,"Calle periodista antonio andújar, 1"," Calle periodista antonio andújar, 1 , Hellín , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",180,,2019-04-12,230000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,34978310,2,,Tobarra,"Calle Alta Iglesia, 18"," Calle Alta Iglesia, 18 , Tobarra , Campo de Hellín, Albacete ",,"Campo de Hellín, Albacete",100,,2019-04-12,60000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
