ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 1 de abril,1,0,3.0,1,0,,en trámite,,1,1,84515051,0,,Villena,," , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",4600,315,2019-04-14,305000,0,5.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,3 plantas,0,0,81456076,1,,Villena,"Calle de los Parrales, 54"," Calle de los Parrales, 54 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",137,,2019-04-14,144000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,81547993,2,0,Villena,"Calle Pintor Juan Gris, 30"," Calle Pintor Juan Gris, 30 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",101,,2019-04-14,68000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,82294451,2,1,Villena,"Calle San Antón, 11"," Calle San Antón, 11 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",48,,2019-04-14,120000,0,1.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,81806893,1,,Sax,Polígono La Suerte s/n," Polígono La Suerte s/n , Sax , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",60,,2019-04-14,100000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,,planta 3ª exterior,0,1,82039750,2,0,Biar,"San cristobal, 9"," San cristobal, 9 , Biar , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",120,112,2019-04-14,52000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 2ª exterior,0,0,37262346,2,1,Villena,"Calle de la Leona, 14"," Calle de la Leona, 14 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",62,,2019-04-14,80000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,no indicado,planta 2ª exterior,1,0,37262306,2,1,Villena,"Calle de Gil Osorio, 15"," Calle de Gil Osorio, 15 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",90,,2019-04-14,85000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,1,0,30035774,3,,Salinas,"Calle Nicaragua, 26"," Calle Nicaragua, 26 , Salinas , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",121,97,2019-04-14,115000,0,5.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,37263956,1,,Villena,"Calle Libertad, 10"," Calle Libertad, 10 , Villena , Alt Vinalopó, Alicante ",,"Alt Vinalopó, Alicante",200,,2019-04-14,80000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
