ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: eléctrica,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 4 de abril,1,0,2.0,1,0,,en trámite,planta 3ª exterior,1,1,36266563,0,1,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," Urb. Camp Furne , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. Camp Furne,"Ibiza, Balears (Illes)",150,,2019-04-08,550000,0,2.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,1,0,1.0,1,0,,,planta 1ª interior,0,0,38223244,1,1,Santa Eulalia del Río,Distrito Santa Eulalia del Río," Calle del Mar, 1 bis 1D , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ","Calle del Mar, 1 bis 1D","Ibiza, Balears (Illes)",55,47,2019-04-08,240000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 4ª exterior,0,0,81803540,1,1,Santa Eulalia del Río,Distrito Santa Eulalia del Río," Calle de Sant Joan, 6 , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ","Calle de Sant Joan, 6","Ibiza, Balears (Illes)",130,,2019-04-08,775000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,,planta 1ª interior,1,1,81380167,1,0,Santa Eulalia del Río,Distrito Santa Eulalia del Río," Calle des Munt Kilimanjaro, 62 , Urb. Cala Llonga , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. Cala Llonga,"Ibiza, Balears (Illes)",70,60,2019-04-08,300000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,1,0,,en trámite,planta 2ª exterior,1,1,82243761,0,1,Santa Eulalia del Río,Distrito San Carlos," Calle Isla espalmador, 75 , Urb. La Joya , Distrito San Carlos , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. La Joya,"Ibiza, Balears (Illes)",150,144,2019-04-08,485000,0,3.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 2 de enero,0,0,3.0,0,0,,en trámite,2 plantas,0,1,83571510,2,,Santa Eulalia del Río,Distrito Santa Gertrudis," , Distrito Santa Gertrudis , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",2305,,2019-04-08,950000,0,4.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de mayo,0,0,3.0,0,0,,en trámite,,0,0,26291651,2,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",300,,2019-04-08,1500000,0,7.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de marzo,0,0,2.0,0,0,,no indicado,,0,1,40142637,1,1,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",120,100,2019-04-08,550000,0,2.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de marzo,0,0,2.0,0,0,,no indicado,,0,1,40220038,3,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",199,166,2019-04-08,990000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de noviembre,1,0,2.0,0,0,,no indicado,,0,0,81511855,1,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",140,,2019-04-08,457000,0,3.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,1,0,2.0,0,0,,en trámite,interior,0,0,81563335,1,0,Santa Eulalia del Río,Distrito Santa Gertrudis," , Distrito Santa Gertrudis , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",100,,2019-04-08,520000,0,3.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de febrero,1,0,2.0,0,0,2008,,,0,0,81883831,2,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",143,,2019-04-08,545000,0,3.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 28 de marzo,0,0,2.0,0,0,,,,0,1,81906892,4,,Santa Eulalia del Río,Distrito Santa Gertrudis," , Distrito Santa Gertrudis , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",400,360,2019-04-08,2000000,0,4.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,0,0,1.0,1,0,1976,en trámite,,0,0,82574486,1,0,Santa Eulalia del Río,Distrito Santa Eulalia del Río," Urb. Siesta , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. Siesta,"Ibiza, Balears (Illes)",99,,2019-04-08,450000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,1,0,2.0,0,0,2006,en trámite,,1,0,82614839,5,1,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",114,,2019-04-08,550000,0,2.0,1,1,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,1,0,2.0,1,0,1999,,,0,0,82613332,1,0,Santa Eulalia del Río,Distrito San Carlos," , Distrito San Carlos , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",96,,2019-04-08,525000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,1,0,2.0,1,0,1979,,,0,0,82613171,1,0,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",90,,2019-04-08,355000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de febrero,1,0,1.0,1,0,1980,,,0,0,82579700,1,1,Santa Eulalia del Río,Distrito Santa Eulalia del Río," Urb. Siesta , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. Siesta,"Ibiza, Balears (Illes)",84,,2019-04-08,349000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,2.0,1,0,1985,en trámite,,0,0,82575061,1,0,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," Urb. Urbanización Roca Llisa , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",Urb. Urbanización Roca Llisa,"Ibiza, Balears (Illes)",85,,2019-04-08,620000,0,2.0,0,1,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 16 de noviembre,1,0,5.0,1,0,1970,en trámite,,1,1,82626372,2,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",2392,,2019-04-08,950000,0,6.0,0,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de diciembre,1,0,2.0,1,0,2001,en trámite,,1,0,82626508,1,0,Santa Eulalia del Río,Distrito San Carlos," , Distrito San Carlos , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",144,,2019-04-08,485000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de abril,1,0,2.0,1,0,2012,en trámite,,1,1,82627328,6,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",345,,2019-04-08,750000,0,3.0,1,1,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de diciembre,1,0,3.0,1,0,2003,en trámite,,1,0,82656647,1,1,Santa Eulalia del Río,Distrito San Carlos," , Distrito San Carlos , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",129,,2019-04-08,350000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de marzo,0,0,3.0,0,0,1985,en trámite,,0,0,82681711,2,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",815,,2019-04-08,965000,0,3.0,1,1,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de diciembre,0,0,2.0,0,0,,no indicado,,0,0,82695118,1,0,Santa Eulalia del Río,Distrito Santa Gertrudis," , Distrito Santa Gertrudis , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",115,,2019-04-08,483000,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de noviembre,1,0,2.0,0,0,,no indicado,,0,1,82708785,3,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",167,,2019-04-08,690000,0,3.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,1,0,2.0,0,0,,no indicado,,0,0,82663544,1,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",140,,2019-04-08,990000,0,3.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 16 de noviembre,1,0,2.0,0,0,,no indicado,,0,0,82047070,1,,Santa Eulalia del Río,Distrito Santa Eulalia del Río," , Distrito Santa Eulalia del Río , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",80,,2019-04-08,330000,0,2.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de noviembre,1,0,5.0,0,0,,no indicado,,0,0,82362120,3,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",650,,2019-04-08,1500000,0,5.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de noviembre,1,0,2.0,0,0,,no indicado,,0,1,82333072,1,,Santa Eulalia del Río,Distrito Jesús/Nuestra Señora de Jesús," , Distrito Jesús/Nuestra Señora de Jesús , Santa Eulalia del Río , Ibiza, Balears (Illes) ",,"Ibiza, Balears (Illes)",80,,2019-04-08,550000,0,2.0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
