ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,1996.0,,planta 1ª,0,0,84689154,0,1.0,Vilafranca del Penedès,Distrito Centre Vila," , Distrito Centre Vila , Vilafranca del Penedès , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",70,55.0,2019-04-12,57000,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,1960.0,no indicado,3 plantas,1,1,81252831,1,1.0,Torrelavit,"Calle de Joan i Jaume Ràfols, 18"," Calle de Joan i Jaume Ràfols, 18 , Torrelavit , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",351,300.0,2019-04-12,120000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,0,0,1996.0,,2 plantas,1,1,1941720,2,1.0,Vilafranca del Penedès,Distrito Sant Julià," Pasaje Joan Fuster, 7 , Urb. pla del diable , Distrito Sant Julià , Vilafranca del Penedès , Alt Penedès, Barcelona ",Urb. pla del diable,"Alt Penedès, Barcelona",401,99.0,2019-04-12,620000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
más de 5 meses sin actualizar,1,0,2.0,1,0,1996.0,en trámite,planta 2ª exterior,1,0,37945359,0,1.0,Gelida,Avenida Europa s/n," Avenida Europa s/n , Gelida , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",87,99.0,2019-04-12,190000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,0,0,3.0,1,0,1996.0,en trámite,3 plantas,1,1,29190654,2,1.0,Gelida,"Calle Coral Artesans, 7"," Calle Coral Artesans, 7 , Gelida , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",2200,420.0,2019-04-12,450000,0,5.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,0,0,1996.0,,planta 1ª exterior,0,0,37608772,3,0.0,Vilafranca del Penedès,Distrito Centre Vila," Calle de puigmoltó, 11 , Distrito Centre Vila , Vilafranca del Penedès , Alt Penedès, Barcelona ","Calle de puigmoltó, 11","Alt Penedès, Barcelona",370,270.0,2019-04-12,360000,0,7.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,no indicado,planta 1ª exterior,1,0,81235808,0,1.0,Santa Margarida i els Monjos,"Avenida de Cal Salines, 10"," Avenida de Cal Salines, 10 , Santa Margarida i els Monjos , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",85,99.0,2019-04-12,103000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1996.0,no indicado,planta 1ª exterior,0,0,35879258,0,1.0,Sant Quintí de Mediona,"Avenida de Catalunya, 39"," Avenida de Catalunya, 39 , Sant Quintí de Mediona , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",70,99.0,2019-04-12,121000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1960.0,no indicado,bajo exterior,0,0,82648406,0,0.0,Sant Quintí de Mediona,"juan maragall, 41"," juan maragall, 41 , Sant Quintí de Mediona , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",60,55.0,2019-04-12,55000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,1996.0,no indicado,3 plantas,0,0,37369375,2,1.0,Olèrdola,"Calle del Sindicat, 9"," Calle del Sindicat, 9 , Olèrdola , Alt Penedès, Barcelona ",,"Alt Penedès, Barcelona",240,99.0,2019-04-12,300000,0,6.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
