ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gas propano/butano,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_no dispone de calefacción,heating_no dispone de calefacción: gas propano/butano,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 1 de enero,0,1,4.0,1,0,1976.0,en trámite,3 plantas,1,1,40391059,0,1.0,Gordexola,Ibarra," Ibarra , Gordexola , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",5600,85.0,2019-03-29,630000,0,3.0,1,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,0,0,1976.0,no indicado,3 plantas,0,0,29962907,0,1.0,Arcentales,"Lehendakari Agirre Hiribidea, 2"," Lehendakari Agirre Hiribidea, 2 , Arcentales , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",580,85.0,2019-03-29,199000,0,8.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,no indicado,2 plantas,0,0,36046434,1,1.0,Sopuerta,"Las Muñecas Auzoa, 32"," Las Muñecas Auzoa, 32 , Sopuerta , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",260,85.0,2019-03-29,114000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,,planta 1ª exterior,0,0,304179,2,0.0,Balmaseda,"Calle Correria, 38"," Calle Correria, 38 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",80,85.0,2019-03-29,147000,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,0.0,0,0,1976.0,no indicado,2 plantas,0,0,81987796,3,1.0,Carranza,"Aldeacueva Auzoa, 27"," Aldeacueva Auzoa, 27 , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",120,110.0,2019-03-29,40000,0,0.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,1976.0,no indicado,,0,0,82518974,1,1.0,Carranza,Barrio Aldeacueba s/n," Barrio Aldeacueba s/n , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",430,85.0,2019-03-29,40000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,0.0,0,1,1976.0,no indicado,3 plantas,0,1,25511044,1,1.0,Güeñes,"Ribera de Iorgi, 13"," Ribera de Iorgi, 13 , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",600,85.0,2019-03-29,180000,0,0.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,1976.0,,planta 1ª exterior,0,0,25846411,4,0.0,Carranza,"Calle Ambasaguas Auzoa, 83"," Calle Ambasaguas Auzoa, 83 , Carranza , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",94,92.0,2019-03-29,138000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
más de 5 meses sin actualizar,0,0,2.0,1,0,1976.0,en trámite,planta 2ª exterior,0,1,26556081,2,1.0,Güeñes,"Calle Euskadi Plaza, 3"," Calle Euskadi Plaza, 3 , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",70,85.0,2019-03-29,249000,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1976.0,no indicado,planta 2ª exterior,0,0,33370153,5,0.0,Balmaseda,"Calle correria, 39"," Calle correria, 39 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",127,85.0,2019-03-29,160000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1976.0,,planta 2ª exterior,0,0,36123014,2,0.0,Güeñes,"Calle Askatasuna, 6"," Calle Askatasuna, 6 , Güeñes , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",70,85.0,2019-03-29,100000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1976.0,,planta 1ª exterior,1,0,25479817,2,1.0,Balmaseda,"Paseo de la Magdalena, 17"," Paseo de la Magdalena, 17 , Balmaseda , Encartaciones, Vizcaya ",,"Encartaciones, Vizcaya",120,96.0,2019-03-29,270000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
