ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gas propano/butano,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_no dispone de calefacción,heating_no dispone de calefacción: gas propano/butano,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 31 de marzo,0,0,1,0,0,1976.0,,planta 2ª interior,0,0,82371665,15,1.0,Bilbao,Distrito Begoña - Santutxu," Calle Santa Cecilia, 5 , Barrio Santutxu-Basarrate , Distrito Begoña - Santutxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Santutxu-Basarrate,"Gran Bilbao, Vizcaya",60,55.0,2019-03-31,700,0,2,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,no indicado,planta 1ª exterior,0,0,83109863,15,0.0,Getxo,Distrito Algorta," Calle Illeta Kalea, 7 , Barrio Villamonte , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Villamonte,"Gran Bilbao, Vizcaya",70,85.0,2019-03-31,850,0,2,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,,planta 2ª exterior,1,0,83543803,16,1.0,Muskiz,"barrio los molinos, 2"," barrio los molinos, 2 , Muskiz , Gran Bilbao, Vizcaya ",,"Gran Bilbao, Vizcaya",122,85.0,2019-03-31,900,0,4,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,en trámite,planta 4ª exterior,0,0,83305207,15,0.0,Leioa,Distrito Aldekoena-Artatzagana-Sarriena," Calle Artazagane, 41 , Distrito Aldekoena-Artatzagana-Sarriena , Leioa , Gran Bilbao, Vizcaya ","Calle Artazagane, 41","Gran Bilbao, Vizcaya",95,85.0,2019-03-31,850,0,4,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,1,1,0,1976.0,en trámite,planta 5ª exterior,0,0,83170677,15,1.0,Bilbao,Distrito San Adrián - La Peña," goikotorre, 3 , Barrio San Adrián , Distrito San Adrián - La Peña , Bilbao , Gran Bilbao, Vizcaya ",Barrio San Adrián,"Gran Bilbao, Vizcaya",76,74.0,2019-03-31,1000,1,3,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 2 meses sin actualizar,0,1,1,0,0,1976.0,no indicado,planta 6ª exterior,0,0,40578293,17,0.0,Bilbao,Distrito Ibaiondo," Calle Iturribide, 60 , Barrio Solokoetxe , Distrito Ibaiondo , Bilbao , Gran Bilbao, Vizcaya ",Barrio Solokoetxe,"Gran Bilbao, Vizcaya",50,85.0,2019-03-31,1000,0,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1,0,0,1976.0,no indicado,planta 3ª exterior,0,0,372372,15,0.0,Barakaldo,Distrito Cruces," Calle Barandiaran, 5 , Distrito Cruces , Barakaldo , Gran Bilbao, Vizcaya ","Calle Barandiaran, 5","Gran Bilbao, Vizcaya",50,85.0,2019-03-31,700,0,2,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,no indicado,planta 6ª interior,1,0,29714470,15,1.0,Bilbao,Distrito Indautxu," Calle Poza Lizentziatuaren, 60 , Barrio Sabino Arana-Jesuitas , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Sabino Arana-Jesuitas,"Gran Bilbao, Vizcaya",100,85.0,2019-03-31,1000,1,3,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,2,1,0,1976.0,inmueble exento,planta 12ª exterior,0,0,83515653,15,1.0,Santurtzi,Distrito Larrea - San Juan de Dios - Peñota," Avenida Murrieta Etorbidea, 13 , Distrito Larrea - San Juan de Dios - Peñota , Santurtzi , Gran Bilbao, Vizcaya ","Avenida Murrieta Etorbidea, 13","Gran Bilbao, Vizcaya",120,110.0,2019-03-31,900,0,4,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2,0,0,1976.0,no indicado,planta 4ª exterior,0,0,36146927,15,0.0,Mundaka,"Calle Juan Bautista Longa, 8"," Calle Juan Bautista Longa, 8 , Mundaka , Busturialdea, Vizcaya ",,"Busturialdea, Vizcaya",120,110.0,2019-03-31,650,0,3,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
