ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
Anuncio actualizado el 12 de abril,0,0,1.0,0,0,2009.0,en trámite,,0,0,82211554,0,0.0,Espera,"Antonio Ramos Ramírez, 4"," Antonio Ramos Ramírez, 4 , Espera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",99,80.0,2019-04-14,65000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,1 planta,0,0,35127651,1,0.0,Villamartin,"Calle de la Fuentezuela, 93"," Calle de la Fuentezuela, 93 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",227,80.0,2019-04-14,43000,0,4.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª interior,0,0,37692012,2,0.0,Villamartin,"Avenida Sevilla, 35"," Avenida Sevilla, 35 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",56,80.0,2019-04-14,52000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,40558920,2,0.0,Benaocaz,"Encinalejo, 5"," Encinalejo, 5 , Benaocaz , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",55,80.0,2019-04-14,85000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 1ª exterior,0,0,81361345,2,0.0,Espera,"Calle Sol, 12"," Calle Sol, 12 , Espera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",62,80.0,2019-04-14,50000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,2004.0,no indicado,planta 1ª exterior,0,0,82681453,2,1.0,Olvera,"Calle Mercado, 17"," Calle Mercado, 17 , Olvera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",75,80.0,2019-04-14,65000,0,1.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,,0,0,35075352,3,0.0,Arcos de la Frontera,"Calle grupo poetico alcaravan, 27"," Calle grupo poetico alcaravan, 27 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",130,80.0,2019-04-14,130000,0,4.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,2004.0,no indicado,planta 1ª exterior,1,0,35110504,2,0.0,Olvera,"Calle Albéniz, 16"," Calle Albéniz, 16 , Olvera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",130,80.0,2019-04-14,135000,0,3.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,2004.0,no indicado,exterior,0,0,36749333,2,0.0,Villamartin,"Calle lepanto, 2"," Calle lepanto, 2 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",177,80.0,2019-04-14,85000,0,4.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,bajo exterior,0,0,37733580,2,0.0,Prado del Rey,"Calle Clara Campoamor, 1"," Calle Clara Campoamor, 1 , Prado del Rey , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",67,80.0,2019-04-14,60000,0,2.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 2ª exterior,0,0,37746986,2,1.0,Bornos,"Calle Río Guadalete, 54"," Calle Río Guadalete, 54 , Bornos , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",78,80.0,2019-04-14,60000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,1.0,1,0,2004.0,no indicado,planta 2ª exterior,0,0,81278325,2,0.0,Arcos de la Frontera,"Calle Sevilla, 4"," Calle Sevilla, 4 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",74,70.0,2019-04-14,62200,0,2.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,1,1,2004.0,no indicado,1 planta,0,1,81552719,1,0.0,Grazalema,"Calle Nacimiento, 16"," Calle Nacimiento, 16 , Grazalema , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",170,165.0,2019-04-14,150000,0,5.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,1,1,2.0,0,0,2004.0,,2 plantas,0,0,82009963,0,0.0,Arcos de la Frontera,"Calle Corredera, 20"," Calle Corredera, 20 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",150,80.0,2019-04-14,300000,0,3.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2004.0,,2 plantas,1,0,82146591,3,0.0,Arcos de la Frontera,Urb. EL PORTICHUELO," EL PORTICHUELO s/n , Urb. EL PORTICHUELO , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",EL PORTICHUELO s/n,"Sierra de Cádiz, Cádiz",105,80.0,2019-04-14,140000,0,4.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,1 planta,0,0,82381007,0,0.0,Ubrique,Distrito Casco antiguo - Convento - Caldereto," Avenida Juan de la Rosa, 13 , Distrito Casco antiguo - Convento - Caldereto , Ubrique , Sierra de Cádiz, Cádiz ","Avenida Juan de la Rosa, 13","Sierra de Cádiz, Cádiz",103,80.0,2019-04-14,90000,0,3.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2004.0,no indicado,planta 1ª interior,0,0,82535257,2,0.0,Arcos de la Frontera,"Calle de las Nieves, 23"," Calle de las Nieves, 23 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",167,80.0,2019-04-14,80000,0,4.0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,2004.0,no indicado,planta 2ª exterior,1,0,452477,2,0.0,Arcos de la Frontera,"Calle Fuente de Rio, 28"," Calle Fuente de Rio, 28 , Arcos de la Frontera , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",72,80.0,2019-04-14,69000,0,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,1,2004.0,inmueble exento,2 plantas,0,1,37339754,4,0.0,Villamartin,"Calle Villamartín, 8"," Calle Villamartín, 8 , Villamartin , Sierra de Cádiz, Cádiz ",,"Sierra de Cádiz, Cádiz",3000,98.0,2019-04-14,135000,0,3.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
