ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 9 de julio,0,1,5.0,0,1,1700,no indicado,2 plantas,1,0,25523182,0,,Villanueva de los Infantes,"Calle Quevedo, 18"," Calle Quevedo, 18 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",770,1100,2019-04-12,390000,0,9.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,28980361,0,,San Carlos del Valle,"Calle Cervantes, 28"," Calle Cervantes, 28 , San Carlos del Valle , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",182,,2019-04-12,40000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,1,,no indicado,,1,0,81620290,0,,Torre de Juan Abad,"Calle Calvario, 41"," Calle Calvario, 41 , Torre de Juan Abad , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",274,,2019-04-12,95000,0,6.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,,,0,0,81926660,1,,Castellar de Santiago,"Calle del Gil, 15"," Calle del Gil, 15 , Castellar de Santiago , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",200,,2019-04-12,33000,0,3.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,82275911,0,,Carrizosa,"Calle Cerrete, 13"," Calle Cerrete, 13 , Carrizosa , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",230,,2019-04-12,24000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,1 planta,0,0,33977108,0,,Carrizosa,"Calle mártires, 58"," Calle mártires, 58 , Carrizosa , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",273,,2019-04-12,18000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,9.0,0,0,,no indicado,,1,1,432749,1,,Almedina,Carretera Montiel Almedina s/n," Carretera Montiel Almedina s/n , Almedina , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",1500,,2019-04-12,400000,0,7.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,3 plantas,0,0,28187821,1,,Villanueva de los Infantes,"Calle Jara, 16"," Calle Jara, 16 , Villanueva de los Infantes , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",230,,2019-04-12,45000,0,6.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,1,,no indicado,1 planta,0,0,82270445,2,,Castellar de Santiago,"Carretera CR-610, 3 km"," Carretera CR-610, 3 km , Castellar de Santiago , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",3385,,2019-04-12,60000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,82502774,3,,Almedina,"Calle Tahona, 31"," Calle Tahona, 31 , Almedina , Montiel, Ciudad Real ",,"Montiel, Ciudad Real",160,,2019-04-12,100000,0,6.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
