ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 10 de abril,0,0,2.0,0,0,1970,en trámite,2 plantas,0,1,84326617,0,,Santa Comba,TAPIA s/n," TAPIA s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",800,,2019-04-13,79500,0,5.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,1,0,27381814,1,1,Santa Comba,"Calle de Carme Santiso, 5"," Calle de Carme Santiso, 5 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",70,57,2019-04-13,80000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,1,0,81199802,0,,Santa Comba,"grixoax de esternande, 44"," grixoax de esternande, 44 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",60,,2019-04-13,30000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,1,0,81742284,2,,Mazaricos,Urb. A picota," Calle castelao, 4 , Urb. A picota , Mazaricos , Xallas, A Coruña ","Calle castelao, 4","Xallas, A Coruña",200,,2019-04-13,235000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,82040280,0,,Santa Comba,randufe s/n," randufe s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",80,,2019-04-13,75000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,planta 2ª exterior,1,1,30577161,1,1,Santa Comba,Urb. los tilos," Calle Coruña s/n , Urb. los tilos , Santa Comba , Xallas, A Coruña ",Calle Coruña s/n,"Xallas, A Coruña",65,60,2019-04-13,65000,0,2.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,1,81953271,0,,Santa Comba,AC-546 s/n," AC-546 s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",5000,110,2019-04-13,140000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anuncio actualizado el 4 de marzo,0,0,0.0,0,0,,no indicado,2 plantas,0,0,28065841,3,,Mazaricos,Avenida Vilariño de Beba s/n," Avenida Vilariño de Beba s/n , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",250,,2019-04-13,16000,0,0.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de diciembre,0,0,1.0,0,0,,no indicado,2 plantas,0,0,35978429,2,,Santa Comba,"Avenida do Brasil, 10"," Avenida do Brasil, 10 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",160,,2019-04-13,80000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de febrero,0,0,2.0,0,0,,no indicado,,1,0,1909238,4,,Mazaricos,"Mazaricos, 1"," Mazaricos, 1 , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",50,,2019-04-13,18000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 28 de marzo,0,0,1.0,0,0,,no indicado,planta 4ª exterior,1,0,83576825,5,1,Santa Comba,"Calle Lugo, 47"," Calle Lugo, 47 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",85,,2019-04-13,85000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,1991,en trámite,planta 1ª,0,0,82330527,1,,Santa Comba,," , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",75,,2019-04-13,65000,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de febrero,0,0,2.0,0,0,,en trámite,2 plantas,1,0,31923749,0,,Santa Comba,grixoa s/n," grixoa s/n , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",100,80,2019-04-13,80000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de enero,0,0,2.0,0,0,,no indicado,2 plantas,0,0,33491235,2,,Mazaricos,"Ronda progreso, 9"," Ronda progreso, 9 , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",156,,2019-04-13,240405,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,,no indicado,planta 3ª exterior,0,0,36486730,1,0,Santa Comba,"Camino Mourelle, 54"," Camino Mourelle, 54 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",140,139,2019-04-13,50000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de enero,0,0,3.0,1,0,,no indicado,,1,0,2175891,4,,Santa Comba,Urb. as cerdeiras," urbanización das Cerdeiras, 12 , Urb. as cerdeiras , Santa Comba , Xallas, A Coruña ","urbanización das Cerdeiras, 12","Xallas, A Coruña",247,,2019-04-13,100000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,0,2.0,0,0,,,planta 2ª exterior,0,0,40386250,1,0,Mazaricos,Calle da Igrexa s/n," Calle da Igrexa s/n , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",100,95,2019-04-13,62000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de noviembre,0,1,2.0,0,0,,,,1,1,82233507,0,,Santa Comba,"Calle Vello de Mourelle, 53"," Calle Vello de Mourelle, 53 , Santa Comba , Xallas, A Coruña ",,"Xallas, A Coruña",1500,,2019-04-13,160000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,1,2.0,0,0,,no indicado,2 plantas,0,0,82581468,0,,Mazaricos,PINO DE VAL s/n," PINO DE VAL s/n , Mazaricos , Xallas, A Coruña ",,"Xallas, A Coruña",1137,200,2019-04-13,125000,0,5.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
