ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,heating_no dispone de calefacción: gas natural,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 25 de febrero,0,0,2.0,1,0,,en trámite,planta 1ª,0,0,83073991,0,1,Orio,," , Orio , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",114,,2019-04-01,280000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,39735041,0,0,Azkoitia,"Calle Klara Donea, 22"," Calle Klara Donea, 22 , Azkoitia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",90,,2019-04-01,108000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,1 planta,0,0,81822662,1,,Azkoitia,Urb. Azkoitia," Martires, 75 , Urb. Azkoitia , Azkoitia , Urola Kosta, Guipúzcoa ","Martires, 75","Urola Kosta, Guipúzcoa",300,,2019-04-01,360000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,planta 1ª exterior,1,0,82144233,0,1,Azpeitia,"Calle Grupo Garmendi, 13"," Calle Grupo Garmendi, 13 , Azpeitia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",106,,2019-04-01,165000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,447508,0,0,Azkoitia,"Barrio Txalon-Erreka, 6"," Barrio Txalon-Erreka, 6 , Azkoitia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",78,,2019-04-01,132000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,1,2.0,0,0,,,planta 6ª exterior,1,0,40119659,0,1,Azpeitia,"Bārrenetxe Āvzvneā, 8"," Bārrenetxe Āvzvneā, 8 , Azpeitia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",105,,2019-04-01,235000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,en trámite,3 plantas,1,1,36709763,2,,Aia,"Laurgain Auzoa Barreiatua, 3"," Laurgain Auzoa Barreiatua, 3 , Aia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",180000,350,2019-04-01,378000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,4.0,1,0,,,3 plantas,1,1,28042174,3,,Aia,Urb. ARMENDIGAIN," Calle Armendi-Gain Kalea, 10 , Urb. ARMENDIGAIN , Aia , Urola Kosta, Guipúzcoa ","Calle Armendi-Gain Kalea, 10","Urola Kosta, Guipúzcoa",675,350,2019-04-01,565000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,4.0,1,0,,en trámite,4 plantas,1,1,31733348,3,,Aizarnazabal,"Calle gaiko, 2"," Calle gaiko, 2 , Aizarnazabal , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",300,280,2019-04-01,360000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 3ª exterior,0,0,37331715,0,0,Azpeitia,"Erdi Kale, 12"," Erdi Kale, 12 , Azpeitia , Urola Kosta, Guipúzcoa ",,"Urola Kosta, Guipúzcoa",72,70,2019-04-01,108000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
