ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 27 de marzo,0,0,2.0,0,0,1993.0,,2 plantas,1,1,81717634,0,1.0,Urcabustaiz,La iglesia," La iglesia , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",1000,172.0,2019-03-29,310000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,2006.0,no indicado,planta 2ª exterior,0,0,29588074,1,1.0,Legutiano,"la Union Plazatxoa, 8"," la Union Plazatxoa, 8 , Legutiano , Zuya, Álava ",,"Zuya, Álava",86,87.0,2019-03-29,139000,1,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,1993.0,no indicado,3 plantas,1,1,37453116,2,1.0,Aramaio,Calle Etxaguen s/n," Calle Etxaguen s/n , Aramaio , Zuya, Álava ",,"Zuya, Álava",3000,87.0,2019-03-29,480000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,1,1,1993.0,en trámite,3 plantas,0,1,82568918,2,1.0,Urcabustaiz,"CP 01449, 1449 CP"," CP 01449, 1449 CP , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",86,87.0,2019-03-29,150000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1993.0,no indicado,planta 1ª exterior,1,1,29135242,3,1.0,Urcabustaiz,"Calle Nueva Plaza, 9"," Calle Nueva Plaza, 9 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",76,74.0,2019-03-29,90000,0,2.0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
más de 5 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,3 plantas,1,0,36141335,0,1.0,Zuya,"Carretera Guillerna, 11"," Carretera Guillerna, 11 , Zuya , Álava ",,Álava,1000,273.0,2019-03-29,545000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 1ª exterior,1,1,38440698,3,1.0,Urcabustaiz,"Calle Ugarte, 8"," Calle Ugarte, 8 , Urcabustaiz , Zuya, Álava ",,"Zuya, Álava",100,87.0,2019-03-29,195000,1,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,1,1993.0,no indicado,,1,0,81178589,4,1.0,Legutiano,Calle olaeta s/n," Calle olaeta s/n , Legutiano , Zuya, Álava ",,"Zuya, Álava",800,87.0,2019-03-29,350000,0,7.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 2ª exterior,0,0,366036,1,1.0,Legutiano,"Plaza Unión, 8"," Plaza Unión, 8 , Legutiano , Zuya, Álava ",,"Zuya, Álava",82,80.0,2019-03-29,139000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,1,0,1993.0,,2 plantas,1,1,40219389,0,1.0,Zigoitia,"Basalanda Kalea, Etxabarri Ibiña, 19"," Basalanda Kalea, Etxabarri Ibiña, 19 , Zigoitia , Zuya, Álava ",,"Zuya, Álava",240,210.0,2019-03-29,499000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
